id	cookingActivityId	kitchenwareId	foodGroupId	foodId	isCookedByIngredients	foodProcessable	isOneMachineToOneFood	autoIdleIfFinish	autoCooking	isDisposable	status
int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	1	1	1	1	1	0	0	1	1
2	1	2	2	5	1	1	1	0	0	1	1
3	1	3	3	9	0	0	0	1	0	0	1
4	1	4	4	10	0	0	1	1	1	0	1
5	2	5	5	11	1	1	1	0	0	1	1
6	2	6	6	15	1	1	1	0	0	1	1
7	2	7	7	19	0	0	0	1	0	0	1
8	2	8	8	20	0	0	1	1	1	0	1
9	3	9	9	21	1	1	1	0	0	1	1
10	3	10	10	25	1	1	1	0	0	1	1
11	3	11	11	29	0	0	0	1	0	0	1
12	3	12	12	30	0	0	1	1	1	0	1
