id	halfLiHui	status
int	int	int
1	173:managegame_npc_img_5	1
2	173:managegame_npc_img_6	1
3	173:managegame_npc_img_7	1
4	173:managegame_npc_img_8	1
5	173:managegame_npc_img_9	1
6	173:managegame_npc_img_10	1
7	173:managegame_npc_img_12	1
8	173:managegame_npc_img_14	1
9	173:managegame_npc_img_16	1
10	173:managegame_npc_img_5	1
11	173:managegame_npc_img_6	1
12	173:managegame_npc_img_7	1
13	173:managegame_npc_img_8	1
14	173:managegame_npc_img_9	1
15	173:managegame_npc_img_10	1
16	173:managegame_npc_img_12	1
17	173:managegame_npc_img_14	1
18	173:managegame_npc_img_16	1
