id	group	day	rewardId	rewardNum	tag	status
int	int	int	int	int	int	int
1	1	1	5100001;4122001	5;10	0	1
2	1	2	4102901;4122001	2;10	0	1
3	1	3	5100001;4122001	5;10	0	1
4	1	4	4102901;4122001	3;10	0	1
5	1	5	5100001;4122001	5;10	0	1
6	1	6	4102901;4122001	4;10	0	1
7	1	7	3000002;4102901;4122001	1000;5;10	1	1
8	2	1	5100001;4122001	5;10	0	1
9	2	2	4102901;4122001	2;10	0	1
10	2	3	5100001;4122001	5;10	0	1
11	2	4	4102901;4122001	3;10	0	1
12	2	5	5100001;4122001	5;10	0	1
13	2	6	4102902;4122001	4;10	0	1
14	2	7	3000002;4102902;4122001	1000;5;10	1	1
15	3	1	9100001;4122001	1;1	0	1
16	3	2	4100032;4122001	20;1	0	1
17	3	3	4100032;4122001	20;1	0	1
18	3	4	4190004;4122001	1000;1	0	1
19	3	5	4100032;4122001	30;1	0	1
20	3	6	4100032;4122001	30;1	0	1
21	3	7	5112006;4122001	1;1	1	1
