id	group	openDay	Numtype	startType	taskContentType	taskContentId	taskContenNum	point	exp	rewardId	rewardNum	openType	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1	1	101	1	1103	0	2	10	0	4122001	5	236	1	累计参与2次协力战	累計參與2次協力戰	Complete 2 Invasions in total.	協同作戦に2回参加する	협력전 누적 2회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 2​ ครั้ง​	累计参与2次协力战	累計參與2次協力戰	Complete 2 Invasions in total.	協同作戦に2回参加する	협력전 누적 2회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 2​ ครั้ง​
102	1	1	102	1	1101	1	5	10	0	4122001	5	233	1	累计通关任意装备副本5次	累計通關任意裝備副本5次	Complete any Equipment Stage 5 times.	装備ステージを5回クリアする	장비 던전 누적 5회 클리어	ผ่าน​ด่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​	累计通关任意装备副本5次	累計通關任意裝備副本5次	Complete any Equipment Stage 5 times.	装備ステージを5回クリアする	장비 던전 누적 5회 클리어	ผ่าน​ด่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 5​ ครั้ง​
103	1	1	104	1	1405	0	1	10	0	4122001	5	518	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
104	1	1	105	1	1403	0	5	10	0	4122001	5	517	1	累计配送5次外卖订单	累計配送5次外賣訂單	Complete 5 delivery orders in total.	出前を5回完了する	배달 주문 누적 5건	ส่ง​อาหาร​ครบ​ 5​ ออเดอร์​	累计配送5次外卖订单	累計配送5次外賣訂單	Complete 5 delivery orders in total.	出前を5回完了する	배달 주문 누적 5건	ส่ง​อาหาร​ครบ​ 5​ ออเดอร์​
105	1	1	106	1	1803	0	150	20	0	4122001	10	301	1	每日活跃度累计达到150	每日活躍度累計達到150	Reach 150 Daily Activeness in total.	活躍度が累計で150に到達する	매일 활약도 누적 150 달성	ค่าแอ็กทีฟรายวันถึง 150	每日活跃度累计达到150	每日活躍度累計達到150	Reach 150 Daily Activeness in total.	活躍度が累計で150に到達する	매일 활약도 누적 150 달성	ค่าแอ็กทีฟรายวันถึง 150
106	1	2	101	1	1103	0	5	10	0	4122001	5	236	1	累计参与5次协力战	累計參與5次協力戰	Complete 5 Invasions in total.	協同作戦に5回参加する	협력전 누적 5회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 5​ ครั้ง​	累计参与5次协力战	累計參與5次協力戰	Complete 5 Invasions in total.	協同作戦に5回参加する	협력전 누적 5회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 5​ ครั้ง​
107	1	2	102	1	1101	1	10	10	0	4122001	5	233	1	累计通关任意装备副本10次	累計通關任意裝備副本10次	Complete any Equipment Stage 10 times.	装備ステージを10回クリアする	장비 던전 누적 10회 클리어	ผ่าน​ด่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 10​ ครั้ง​	累计通关任意装备副本10次	累計通關任意裝備副本10次	Complete any Equipment Stage 10 times.	装備ステージを10回クリアする	장비 던전 누적 10회 클리어	ผ่าน​ด่าน​ดัน​เจี้ยน​อุปกรณ์​ใด​ก็ได้​ 10​ ครั้ง​
108	1	2	104	1	1405	0	3	10	0	4122001	5	517	1	完成3次离岛空运	完成3次離島空運	Complete Air Express 3 times.	離島空便を3回完了する	항공 운송 3회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 3​ ครั้ง​	完成3次离岛空运	完成3次離島空運	Complete Air Express 3 times.	離島空便を3回完了する	항공 운송 3회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 3​ ครั้ง​
109	1	2	105	1	1403	0	10	10	0	4122001	5	517	1	累计配送10次外卖订单	累計配送10次外賣訂單	Complete 10 delivery orders in total.	出前を10回完了する	배달 주문 누적 10건	ส่ง​อาหาร​ครบ​ 10​ ออเดอร์​	累计配送10次外卖订单	累計配送10次外賣訂單	Complete 10 delivery orders in total.	出前を10回完了する	배달 주문 누적 10건	ส่ง​อาหาร​ครบ​ 10​ ออเดอร์​
110	1	2	106	1	1803	0	300	20	0	4122001	10	301	1	每日活跃度累计达到300	每日活躍度累計達到300	Reach 300 Daily Activeness in total.	活躍度が累計で300に到達する	매일 활약도 누적 300 달성	ค่าแอ็กทีฟรายวันถึง 300	每日活跃度累计达到300	每日活躍度累計達到300	Reach 300 Daily Activeness in total.	活躍度が累計で300に到達する	매일 활약도 누적 300 달성	ค่าแอ็กทีฟรายวันถึง 300
111	1	3	101	1	1103	0	8	10	0	4122001	5	236	1	累计参与8次协力战	累計參與8次協力戰	Complete 8 Invasions in total.	協同作戦に8回参加する	협력전 누적 8회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 8​ ครั้ง​	累计参与8次协力战	累計參與8次協力戰	Complete 8 Invasions in total.	協同作戦に8回参加する	협력전 누적 8회 참여	เข้าร่วม​ผนึก​กำลัง​สะสม​ 8​ ครั้ง​
112	1	3	107	1	7	3000004	500	10	0	4122001	5		1	累计消耗500体力	累計消耗500體力	Consume 500 Pathos in total.	エモーションを合計500消費する	체력 누적 500 소모	ใช้พลังงานสะสม 500	累计消耗500体力	累計消耗500體力	Consume 500 Pathos in total.	エモーションを合計500消費する	체력 누적 500 소모	ใช้พลังงานสะสม 500
