id	type	regionLevel	Exp	cardExp	unlockNum	isEnd	proposalLevel	condition	num	powerMin	powerTeamMin	SceneId	rounds	battleRules	monsterShow	repeatButton	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
2301001	1	1			0	0	200000	10018	6	100	100	10501	12	3		0	1
2301002	1	2			2301001	0	210000	10018	6	100	100	10501	12	3		0	1
2301003	1	3			2301002	0	220000	10018	6	100	100	10501	12	3		0	1
2301004	1	4			2301003	0	230000	10018	6	100	100	10501	12	3		0	1
2301005	1	5			2301004	0	240000	10018	6	100	100	10501	12	3		0	1
2301006	1	6			2301005	1	245000	10018	6	100	100	10501	12	3		0	1
2302001	2	1			0	0	200000	10018	6	100	100	10501	12	3		0	1
2302002	2	2			2302001	0	210000	10018	6	100	100	10501	12	3		0	1
2302003	2	3			2302002	0	220000	10018	6	100	100	10501	12	3		0	1
2302004	2	4			2302003	0	230000	10018	6	100	100	10501	12	3		0	1
2302005	2	5			2302004	0	240000	10018	6	100	100	10501	12	3		0	1
2302006	2	6			2302005	1	245000	10018	6	100	100	10501	12	3		0	1
2303001	3	1			0	0	200000	10018	6	100	100	10501	12	3		0	1
2303002	3	2			2303001	0	210000	10018	6	100	100	10501	12	3		0	1
2303003	3	3			2303002	0	220000	10018	6	100	100	10501	12	3		0	1
2303004	3	4			2303003	0	230000	10018	6	100	100	10501	12	3		0	1
2303005	3	5			2303004	0	240000	10018	6	100	100	10501	12	3		0	1
2303006	3	6			2303005	1	245000	10018	6	100	100	10501	12	3		0	1
2304001	4	1			0	0	200000	10018	6	100	100	10501	25	3		0	1
2304002	4	2			2304001	0	210000	10018	6	100	100	10501	25	3		0	1
2304003	4	3			2304002	0	220000	10018	6	100	100	10501	25	3		0	1
2304004	4	4			2304003	0	230000	10018	6	100	100	10501	25	3		0	1
2304005	4	5			2304004	0	240000	10018	6	100	100	10501	25	3		0	1
2304006	4	6			2304005	1	245000	10018	6	100	100	10501	25	3		0	1
