id	fristRewards	fristRewardsNum	showItem	showItemTag	showItemNum	showReward	status
int	int	int	int	int	int	int	int
2301001	419001;419002	700;2000	419001;419002	3;3	700;2000	419001;419002	1
2301002	419001;419002	750;2000	419001;419002	3;3	750;2000	419001;419002	1
2301003	419001;419002	800;2000	419001;419002	3;3	800;2000	419001;419002	1
2301004	419001;419002	850;2000	419001;419002	3;3	850;2000	419001;419002	1
2301005	419001;419002	900;2000	419001;419002	3;3	900;2000	419001;419002	1
2301006	419001;419002;620122	1000;2000;1	419001;419002;620122	3;3;3	1000;2000;1	419001;419002;620122	1
2302001	419001;419002	700;2000	419001;419002	3;3	700;2000	419001;419002	1
2302002	419001;419002	750;2000	419001;419002	3;3	750;2000	419001;419002	1
2302003	419001;419002	800;2000	419001;419002	3;3	800;2000	419001;419002	1
2302004	419001;419002	850;2000	419001;419002	3;3	850;2000	419001;419002	1
2302005	419001;419002	900;2000	419001;419002	3;3	900;2000	419001;419002	1
2302006	419001;419002;620123	1000;2000;1	419001;419002;620123	3;3;3	1000;2000;1	419001;419002;620123	1
2303001	419001;419002	700;2000	419001;419002	3;3	700;2000	419001;419002	1
2303002	419001;419002	750;2000	419001;419002	3;3	750;2000	419001;419002	1
2303003	419001;419002	800;2000	419001;419002	3;3	800;2000	419001;419002	1
2303004	419001;419002	850;2000	419001;419002	3;3	850;2000	419001;419002	1
2303005	419001;419002	900;2000	419001;419002	3;3	900;2000	419001;419002	1
2303006	419001;419002;620124	1000;2000;1	419001;419002;620124	3;3;3	1000;2000;1	419001;419002;620124	1
2304001	419001;419002	700;2000	419001;419002	3;3	700;2000	419001;419002	1
2304002	419001;419002	750;2000	419001;419002	3;3	750;2000	419001;419002	1
2304003	419001;419002	800;2000	419001;419002	3;3	800;2000	419001;419002	1
2304004	419001;419002	850;2000	419001;419002	3;3	850;2000	419001;419002	1
2304005	419001;419002	900;2000	419001;419002	3;3	900;2000	419001;419002	1
2304006	419001;419002;620125	1000;2000;1	419001;419002;620125	3;3;3	1000;2000;1	419001;419002;620125	1
