id	type	unlockNum	SceneId	rounds	fristRewards	fristRewardsNum	showItem	showItemTag	showItemNum	petLineup	roleNun	extraSkill	battleRules	proposalLevel	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11000201	1	0	10801	10	0	0	0	0	0	11000201	1	900014	9	15000	1	涤荡者	滌蕩者	Combat Mode	穢れを浄化せし者	메이드	คอมแบทโหมด	战斗训练	戰鬥訓練	Battle Practice	戦闘訓練	전투 훈련	โหมดฝึก						
11000202	2	0	14901	10	0	0	0	0	0	11000202	1	900014	9	16000	1	耀夜之星	耀夜之星	Luminous Star	モーニングスター	나이트 스타	ดวงดาวรัตติกาล	战斗训练	戰鬥訓練	Battle Practice	戦闘訓練	전투 훈련	โหมดฝึก						
11000203	3	0	14901	10	0	0	0	0	0	11000203	3	900014	9	16000	1																		
11000204	4	0	15001	10	0	0	0	0	0	11000204	2	900014	9	16000	1																		
11000205	5	0	11201	10	0	0	0	0	0	11000205	2	900014	9	16000	1																		
11000206	6	0	15001	10	0	0	0	0	0	11000206	1	900014	9	16000	1																		
11000207	7	0	15001	10	0	0	0	0	0	11000207	2	900014	9	16000	1																		
11000208	8	0	15901	10	0	0	0	0	0	11000208	3	900014	9	16000	1																		
11000209	9	0	15901	10	0	0	0	0	0	11000209	2	900014	9	16000	1																		
11000210	10	0	15801	10	0	0	0	0	0	11000210	1	900014	9	16000	1																		
11000211	11	0	12201	10	0	0	0	0	0	11000211	4	900014	9	16000	1																		
11000212	12	0	10801	10	0	0	0	0	0	11000212	2	900014	9	16000	1																		
11000213	13	0	10801	10	0	0	0	0	0	11000213	1	900014	9	16000	1																		
11000214	14	0	15901	10	0	0	0	0	0	11000214	2	900014	9	16000	1																		
11000215	15	0	12201	10	0	0	0	0	0	11000215	3	900014	9	16000	1																		
11000216	16	0	10901	10	0	0	0	0	0	11000216	3	900014	9	16000	1																		
11000217	17	0	10901	10	0	0	0	0	0	11000217	3	900014	9	16000	1																		
11000218	18	0	10901	10	0	0	0	0	0	11000218	4	900014	9	16000	1																		
11000219	19	0	13302	10	0	0	0	0	0	11000219	3	900014	9	16000	1																		
11000220	20	0	10801	10	0	0	0	0	0	11000220	2	900014	9	16000	1																		
11000221	21	0	10801	10	0	0	0	0	0	11000221	4	900014	9	16000	1																		
11000222	22	0	14901	10	0	0	0	0	0	11000222	4	900014	9	16000	1																		
11000223	23	0	18201	10	0	0	0	0	0	11000223	2	900014	9	16000	1																		
11000224	24	0	18201	10	0	0	0	0	0	11000224	2	900014	9	16000	1																		
11000225	25	0	10801	10	0	0	0	0	0	11000225	4	900014	9	16000	1																		
11000226	26	0	12201	10	0	0	0	0	0	11000226	3	900014	9	16000	1																		
11000227	27	0	12201	10	0	0	0	0	0	11000227	3	900014	9	16000	1																		
11000228	28	0	10801	10	0	0	0	0	0	11000228	4	900014	9	16000	1																		
11000229	29	0	12201	10	0	0	0	0	0	11000229	1	900014	9	16000	1																		
11000230	30	0	12201	10	0	0	0	0	0	11000230	2	900014	9	16000	1																		
11000231	31	0	12201	10	0	0	0	0	0	11000231	2	900014	9	16000	1																		
11000232	32	0	18301	10	0	0	0	0	0	11000232	2	900014	9	16000	1																		
11000233	33	0	18301	10	0	0	0	0	0	11000233	2	900014	9	16000	1																		
11000234	34	0	18301	10	0	0	0	0	0	11000234	4	900014	9	16000	1																		
11000235	35	0	18401	10	0	0	0	0	0	11000235	1	900014	9	16000	1																		
11000236	36	0	18401	10	0	0	0	0	0	11000236	1	900014	9	16000	1																		
11000237	37	0	18401	10	0	0	0	0	0	11000237	1	900014	9	16000	1																		
11000238	38	0	10801	10	0	0	0	0	0	11000238	2	900014	9	16000	1																		
11000239	39	0	10801	10	0	0	0	0	0	11000239	1	900014	9	16000	1																		
11000240	40	0	15801	10	0	0	0	0	0	11000240	1	900014	9	16000	1																		
11000241	41	0	18501	10	0	0	0	0	0	11000241	1	900014	9	16000	1																		
11000242	42	0	18501	10	0	0	0	0	0	11000242	1	900014	9	16000	1																		
11000243	43	0	10801	10	0	0	0	0	0	11000243	1	900014	9	16000	1																		
11000244	44	0	17801	10	0	0	0	0	0	11000244	1	900014	9	16000	1																		
11000245	45	0	10801	10	0	0	0	0	0	11000245	1	900014	9	16000	1																		
11000246	46	0	17801	10	0	0	0	0	0	11000246	1	900014	9	16000	1																		
11000247	47	0	82311	10	0	0	0	0	0	11000247	1	900014	9	16000	1																		
11000248	48	0	82311	10	0	0	0	0	0	11000248	1	900014	9	16000	1																		
11000249	49	0	82311	10	0	0	0	0	0	11000249	2	900014	9	16000	1																		
11000250	50	0	82311	10	0	0	0	0	0	11000250	1	900014	9	16000	1																		
11000251	51	0	82311	10	0	0	0	0	0	11000251	1	900014	9	16000	1																		
11000252	52	0	82311	10	0	0	0	0	0	11000252	1	900014	9	16000	1																		
11000253	53	0	82311	10	0	0	0	0	0	11000253	2	900014	9	16000	1																		
11000254	54	0	82311	10	0	0	0	0	0	11000254	2	900014	9	16000	1																		
11000255	55	0	82311	10	0	0	0	0	0	11000255	2	900014	9	16000	1																		
11000256	56	0	82311	10	0	0	0	0	0	11000256	1	900014	9	16000	1																		
11000257	57	0	82311	10	0	0	0	0	0	11000257	3	900014	9	16000	1																		
11000258	58	0	82311	10	0	0	0	0	0	11000258	1	900014	9	16000	1																		
11000259	59	0	82311	10	0	0	0	0	0	11000259	1	900014	9	16000	1																		
11000260	60	0	82311	10	0	0	0	0	0	11000260	2	900014	9	16000	1																		
11000261	61	0	82311	10	0	0	0	0	0	11000261	1	900014	9	16000	1																		
11000262	62	0	82311	10	0	0	0	0	0	11000262	4	900014	9	16000	1																		
11000263	63	0	82311	10	0	0	0	0	0	11000263	1	900014	9	16000	1																		
11000264	64	0	10801	10	0	0	0	0	0	11000264	1	900014	9	16000	1																		
11000265	65	0	10801	10	0	0	0	0	0	11000265	2	900014	9	16000	1																		
11000266	66	0	10801	10	0	0	0	0	0	11000266	4	900014	9	16000	1																		
11000267	67	0	10801	10	0	0	0	0	0	11000267	1	900014	9	16000	1																		
11000268	68	0	17801	10	0	0	0	0	0	11000268	2	900014	9	16000	1																		
11000269	69	0	17811	10	0	0	0	0	0	11000269	2	900014	9	16000	1																		
11000270	70	0	17811	10	0	0	0	0	0	11000270	3	900014	9	16000	1																		
11000271	71	0	17811	10	0	0	0	0	0	11000271	2	900014	9	16000	1																		
11000272	72	0	17811	10	0	0	0	0	0	11000272	2	900014	9	16000	1																		
11000273	73	0	12302	10	0	0	0	0	0	11000273	3	900014	9	16000	1																		
11000274	74	0	82307	10	0	0	0	0	0	11000274	3	900014	9	16000	1																		
11000275	75	0	82307	10	0	0	0	0	0	11000275	3	900014	9	16000	1																		
11000276	76	0	82307	10	0	0	0	0	0	11000276	3	900014	9	16000	1																		
11000277	77	0	17811	10	0	0	0	0	0	11000277	3	900014	9	16000	1																		
11000278	78	0	82307	10	0	0	0	0	0	11000278	3	900014	9	16000	1																		
11000279	79	0	17811	10	0	0	0	0	0	11000279	3	900014	9	16000	1																		
11000280	80	0	17811	10	0	0	0	0	0	11000280	3	900014	9	16000	1																		
11000281	81	0	17811	10	0	0	0	0	0	11000281	3	900014	9	16000	1																		
11000282	82	0	17811	10	0	0	0	0	0	11000282	3	900014	9	16000	1																		
11000283	83	0	17811	10	0	0	0	0	0	11000283	3	900014	9	16000	1																		
