id	taskContentType	taskContentId	taskContentNum	activityId	mapId	reward	rewardNum	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1003	12140103	1	1	1	9000023	100	1	在地图中击败BOSS	在地圖中擊敗BOSS	Defeat the Boss on the map.	エリア内でBOSSを倒す	지도에서 보스 처치	เอาชนะบอสในแผนที่
2	6	9000015	1	1	1	9000023	150	1	在地图中找到古物	在地圖中找到古物	Find an antique on the map.	エリア内で古物を見つける	지도에서 골동품 찾기	ค้นหา​วัตถุ​โบราณ​ใน​แผนที่​
3	1002	1	6	1	1	9000023	200	1	在地图中获得6个宝箱	在地圖中獲得6個寶箱	Find 6 treasure chests on the map.	エリア内で宝箱を6個獲得	지도에서 보물 상자 6개 찾기	ได้รับ​หีบ​สมบัติ​ 6​ ใบ​ใน​แผนที่​
4	1003	12140206	1	1	2	9000023	100	1	在地图中击败BOSS	在地圖中擊敗BOSS	Defeat the Boss on the map.	エリア内でBOSSを倒す	지도에서 보스 처치	เอาชนะบอสในแผนที่
5	6	9000016	1	1	2	9000023	150	1	在地图中找到古物	在地圖中找到古物	Find an antique on the map.	エリア内で古物を見つける	지도에서 골동품 찾기	ค้นหา​วัตถุ​โบราณ​ใน​แผนที่​
6	1002	2	5	1	2	9000023	200	1	在地图中获得5个宝箱	在地圖中獲得5個寶箱	Find 5 treasure chests on the map.	エリア内で宝箱を5個獲得	지도에서 보물 상자 5개 찾기	ได้รับ​หีบ​สมบัติ​ 5​ ใบ​ใน​แผนที่​
7	1003	12140303	1	1	3	9000023	100	1	在地图中击败BOSS	在地圖中擊敗BOSS	Defeat the Boss on the map.	エリア内でBOSSを倒す	지도에서 보스 처치	เอาชนะบอสในแผนที่
8	6	9000017	1	1	3	9000023	150	1	在地图中找到古物	在地圖中找到古物	Find an antique on the map.	エリア内で古物を見つける	지도에서 골동품 찾기	ค้นหา​วัตถุ​โบราณ​ใน​แผนที่​
9	1002	3	6	1	3	9000023	200	1	在地图中获得6个宝箱	在地圖中獲得6個寶箱	Find 6 treasure chests on the map.	エリア内で宝箱を6個獲得	지도에서 보물 상자 6개 찾기	ได้รับ​หีบ​สมบัติ​ 6​ ใบ​ใน​แผนที่​
10	1003	12140405	1	1	4	9000023	100	1	在地图中击败特异傀	在地圖中擊敗特異傀	Defeat an Elite Anomaly on the map.	エリア内で特異傀を倒す	지도에서 특이 퍼펫 처치	เอาชนะ​หุ่นเชิด​ที่​ผิดปกติ​ใน​แผนที่​
11	1003	12140406	1	1	4	9000023	150	1	在地图中击败BOSS	在地圖中擊敗BOSS	Defeat the Boss on the map.	エリア内でBOSSを倒す	지도에서 보스 처치	เอาชนะบอสในแผนที่
12	1002	4	5	1	4	9000023	200	1	在地图中获得5个宝箱	在地圖中獲得5個寶箱	Find 5 treasure chests on the map.	エリア内で宝箱を5個獲得	지도에서 보물 상자 5개 찾기	ได้รับ​หีบ​สมบัติ​ 5​ ใบ​ใน​แผนที่​
