id	voicecode	voicecodeLady	interactId	action	specialEffects	face	scene	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1			1	call:2			1	1	调查官你来啦！等你好久了~	調查官你來啦！等你好久了~	You're here, Inspector! I've been waiting for you.	来てくれたんだ、調査官！待ってましたよ～	조사관 왔구나! 기다리고 있었다고~	ผู้ตรวจการ! มาได้สักทีนะ ให้รอซะนานเลย~
2			1	call:1			2	1	别忘了我可是专业的，跟着我准没错！	別忘了我可是專業的，跟著我准沒錯！	Don't forget I'm a pro. Trust me, and you won't regret it!	私について来い！専門家だからな！	내가 전문가라는 걸 잊지 마, 나랑 함께하면 문제없어!	อย่าลืมซะล่ะ ​ว่า​ฉัน​คน​นี้​คือ​ระดับ​ผู้​เชียวชาญ ​ตาม​ฉัน​มา​ไม่มี​คำ​ว่า​พลาด​แน่นอน​~​
3			1				3	1	快点啦调查官，时间可不等人，出发！	快點啦調查官，時間可不等人，出發！	Hurry up, Inspector. Time's ticking. Let's roll!	調査官、早く早く！時間がない、行くぞ！	얼른 서둘러 조사관~ 시간은 기다려주지 않는다고, 자 출발~	เร็วๆ ​หน่อย​สิ​ผู้ตรวจการ ​เวลา​ไม่​รอ​เรา​หรอก​นะ ​ไป​กัน​เร็ว​!​
4			1				8	1	欸？！你要去其它地方吗？好吧……	嗯？！你要去其它地方嗎？好吧……	Eh? Are you going somewhere else? Alright then...	え？！もう行くの？わかった……	으에?! 다른 데 간다고? 알겠어...	เอ๋?! ​อยาก​ไป​ที่​อื่น​ก่อน​งั้น​เหรอ​? ​เอา​งั้น​ก็ได้...​
5			2	call:2			1	1	嗯，暂且是空闲的。怎么了，调查官？	嗯，暫且是空閒的。怎麼了，調查官？	Hmm, I'm available right now. What's up, Inspector?	うん、時間ならあるけど。何か用か、調査官？	응, 잠깐 시간이 비네. 어쩐 일이야 조사관?	อืม... ​ตอนนี้​ยัง​ว่าง​อยู่ ​มี​อะไร​รึ​เปล่า​คะ ​คุณ​ผู้ตรวจการ​?​
6			2				4	1	嗯，修复材料准备完毕，就可以进行下一步了。	嗯，修復材料準備完畢，就可以進行下一步了。	Hmm, with the repair materials ready, we can proceed to the next step.	うん、修復材料は準備できた、次のステップに進もう。	응. 복구 재료는 준비됐으니, 다음 단계로 넘어갈 수 있어.	อื้ม ​เตรียม​วัสดุ​ซ่อมแซม​เรียบร้อย​แล้ว ​เรา​มา​เริ่ม​ขั้น​ตอน​ต่อ​ไป​กัน​ได้​แล้ว​ค่ะ​
7			2				8	1	即是如此，那我们改日再聊吧。再见，调查官。	即是如此，那我們改日再聊吧。再見，調查官。	If that's how it is, let's talk later. See you later, Inspector.	それなら、また別の機会に話しましょう。またね、調査官。	다음에 다시 얘기해야겠네. 다음에 봐 조사관.	งั้นเหรอคะ ​ถ้า​งั้น​พวก​เรา​ไว้​คุย​กัน​อีก​ที​คราว​หลัง​แล้ว​กัน​นะคะ ​ไว้​เจอ​กัน​ค่ะ ​คุณ​ผู้ตรวจการ​
8			3	call:2			1	1	呵呵~见到你真是令人高兴！不过……真的是巧合吗？	呵呵~見到你真是令人高興！不過……真的是巧合嗎？	Oh, nice to meet you! But is this... really a coincidence?	ふふ～会えて嬉しいわ！でも……これは本当に偶然なのかしら？	헤헤~ 만나서 정말 반가워요! 이건… 운명일까요?	คิคิ~ ​ได้​เจอ​กับ​คุณ​แบบ​นี้​ลิ​นน์​มี​ความ​สุข​สุดๆ ​ไป​เลย​ค่ะ​! ​แต่ว่า... ​นี่​มัน​จะ​แค่​บัง​เอิญ​จริงๆ ​มั้ย​น้า​?​
9			3	buy:1			9	1	欢迎光临，调查官。有什么需要吗？小铃可以为你推荐哦！	歡迎光臨，調查官。有什麼需要嗎？小鈴可以為你推薦哦！	Welcome, Inspector. How may I assist you? I am here to offer recommendations if you so desire!	いらっしゃいませ、調査官。リンのおすすめはいかがですか？	어서오세요, 조사관님. 필요한 게 있나요? 린이 추천해 드릴까요?	ยินดีต้อนรับค่ะ ​คุณ​ผู้ตรวจการ ​อยาก​ได้​อะไร​มั้ย​คะ​? ​เดี๋ยว​หนู​ลินน์​จะ​แนะนำ​ให้​เอง​ค่ะ​!​
10			3	buy:2			10	1	要不要试试看自己的运气呢？	要不要試試看自己的運氣呢？	Would you like to test your luck and take a chance?	運試し	운을 시험해 보실래요?	จะลองทดสอบดวงของตัวเองสักหน่อยมั้ยคะ?
11			3	buy:2			11	1	店内有很多商品，可以随意选购哦~	店內有很多商品，可以隨意選購哦~	There's a lot of merchandise here. Feel free to shop around.	店内にはたくさんの商品がありますので、お気軽にお買い物を楽しんでください～	다양한 상품이 많답니다. 편하게 골라보세요~	ในร้านมีสินค้าหลายอย่าง ​เชิญ​เลือก​ซื้อ​ได้​ตาม​สะดวก​เลย​นะคะ​~​
12			3	buy:2			12	1	到了见证命运的时刻呢~	到了見證命運的時刻呢~	It's time to see what fate has for us.	運命の瞬間に立ち会う時が来た～	운명을 시험해볼 시간이랍니다~	ถึง​เวลา​พิสูจน์​โชคชะตา​แล้ว​ล่ะ~​
13			3				8	1	庆典还未结束，希望调查官能愉快度过这段时光。\n欢迎下次光临！	慶典還未結束，希望調查官能愉快度過這段時光。\n歡迎下次光臨！	The festival is still ongoing. Enjoy your time here, Inspector.\nHope to see you again soon!	またのご来店をお待ちしております！	축제가 아직 안 끝났어요. 조사관께서 즐거운 시간을 보내시길 바랍니다!\n다음에 또 오세요!	เทศกาลยังไม่จบ ​หวังว่า​คุณ​ผู้ตรวจการ​จะ​เที่ยว​เล่น​ใน​ช่วง​วัน​เทศกาล​อย่าง​มี​ความ​สุข​นะคะ​\nยินดี​ต้อนรับ​เสมอ​ค่ะ​!​
