id	type1	roleId1	arm1	attribute1	raceId1	type2	roleId2	arm2	attribute2	raceId2	type3	roleId3	arm3	attribute3	raceId3	type4	roleId4	arm4	attribute4	raceId4	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	101	0			0	0	0			0	0	0			0	0	0			1
2	2	101	0			2	102	0			0	0	0			0	0	0			1
3	2	102	0			2	103	0			0	0	0			0	0	0			1
4	1	104	0			1	102	0			0	0	0			0	0	0			1
10101	1	0	101008			1	0	108008			0	0	0			0	0	0			1
10104	1	101	0			1	108	0			0	0	0			0	0	0			1
10102	1	101	0			2	102	0			2	108	0			0	0	0			1
10103	1	101	0			1	102	0			0	0	0			0	0	0			1
10105	1	0	101008			1	0	108008			1	0	102008			0	0	0			1
10106	1	108	0			2	101	0			0	0	0			0	0	0			1
10108	1	101	0			1	102	0			0	0	0			0	0	0			1
10109	1	101	0			1	102	0			0	0	0			0	0	0			1
10114	1	108	0			0	0	0			0	0	0			0	0	0			1
10117	1	101	0			1	102	0			1	108	0			0	0	0			1
10206	1	101	0			1	102	0			0	0	0			0	0	0			1
10207	1	104	0			0	0	0			0	0	0			0	0	0			1
10304	2	101	0			0	0	0			0	0	0			0	0	0			1
10309	2	101	0			2	102	0			2	103	0			2	104	0			1
10310	2	102	0			2	104	0			0	0	0			0	0	0			1
10313	1	101	0			0	0	0			0	0	0			0	0	0			1
10318	1	101	0			0	0	0			0	0	0			0	0	0			1
10412	1	101	0			1	103	0			0	0	0			0	0	0			1
10413	1	101	0			1	103	0			0	0	0			0	0	0			1
10421	2	103	0			0	0	0			0	0	0			0	0	0			1
10501	1	101	0			0	0	0			0	0	0			0	0	0			1
10505	1	0	102008			0	0	0			0	0	0			0	0	0			1
10507	1	103	0			0	0	0			0	0	0			0	0	0			1
10511	1	103	0			0	0	0			0	0	0			0	0	0			1
10521	1	104	0			0	0	0			0	0	0			0	0	0			1
10610	2	101	0			0	0	0			0	0	0			0	0	0			1
10611	2	101	0			0	0	0			0	0	0			0	0	0			1
10612	2	101	0			0	0	0			0	0	0			0	0	0			1
10613	2	101	0			1	102	0			0	0	0			0	0	0			1
10614	2	101	0			1	103	0			1	108	0			0	0	0			1
10615	1	101	0			0	0	0			0	0	0			0	0	0			1
10616	1	101	0			1	102	0			1	103	0			1	104	0			1
10703	1	103	0			0	0	0			0	0	0			0	0	0			1
10712	1	103	0			0	0	0			0	0	0			0	0	0			1
10714	1	101	0			1	102	0			1	103	0			1	104	0			1
10715	1	101	0			1	104	0			0	0	0			0	0	0			1
10719	1	103	0			0	0	0			0	0	0			0	0	0			1
10804	2	103	0			0	0	0			0	0	0			0	0	0			1
10806	2	103	0			0	0	0			0	0	0			0	0	0			1
10808	2	104	0			2	103	0			0	0	0			0	0	0			1
10809	2	104	0			2	103	0			0	0	0			0	0	0			1
10815	2	103	0			0	0	0			0	0	0			0	0	0			1
10816	2	103	0			0	0	0			0	0	0			0	0	0			1
10910	2	102	0			0	0	0			0	0	0			0	0	0			1
10911	2	102	0			0	0	0			0	0	0			0	0	0			1
11002	1	102	0			1	108	0			0	0	0			0	0	0			1
11006	1	108	0			0	0	0			0	0	0			0	0	0			1
11008	1	108	0			0	0	0			0	0	0			0	0	0			1
11011	1	102	0			1	108	0			0	0	0			0	0	0			1
11010	2	102	0			0	0	0			0	0	0			0	0	0			1
99999	2	0	0	1		0	0	0			0	0	0			0	0	0			1
30001	2	0	0	0	2	0	0	0			0	0	0			0	0	0			1
30002	2	0	0	0	3	0	0	0			0	0	0			0	0	0			1
30003	2	0	0	0	4	0	0	0			0	0	0			0	0	0			1
30004	2	0	0	0	1	0	0	0			0	0	0			0	0	0			1
30005	2	0	0	1		0	0	0			0	0	0			0	0	0			1
30006	2	0	0	2		0	0	0			0	0	0			0	0	0			1
30007	2	0	0	3		0	0	0			0	0	0			0	0	0			1
30008	2	0	0	4		0	0	0			0	0	0			0	0	0			1
30009	2	0	0	5		0	0	0			0	0	0			0	0	0			1
