id	ch	en	status
int	int	int	int
1	任务完成	MISS COMPLETED	1
2	任务失败	MISSION FAILED	1
3	经验获得	gainExp	1
4	玩家经验	playexp	1
5	返回	return	1
6	3星奖励	Samsung reward	1
7	稀有奖励	rare reward	1
8	常规奖励	reward	1
9	战斗	combat	1
10	回放	playback	1
11	进入	into	1
12	相册	album	1
13	保存	save	1
14	删除	delete	1
15	选择	choice	1
16	分享	share	1
17	确定	determine	1
18	取消	cancel	1
19	重拍	anew	1
20	背包	knapsack	1
21	道具	item	1
22	图芯卡	photo	1
23	获取方式	acquisitio	1
24	前往	go to	1
25	分解	decompose	1
26	属性	attribute	1
27	套装效果	set bonuses	1
28	强化	intensify	1
29	邮件	mail	1
30	领取	get	1
31	一键领取	A key to get	1
32	战力	rating	1
