id	name	quality	status
int	int	int	int
iPad1,1	iPad	0	1
iPad2,1	iPad2	0	1
iPad2,2	iPad2	0	1
iPad2,3	iPad2	0	1
iPad2,4	iPad2	0	1
iPad2,5	iPad mini	0	1
iPad2,6	iPad mini	0	1
iPad2,7	iPad mini	0	1
iPad3,1	iPad3	0	1
iPad3,2	iPad3	0	1
iPad3,3	iPad3	0	1
iPad3,4	iPad4	0	1
iPad3,5	iPad4	0	1
iPad3,6	iPad4	0	1
iPad4,1	iPad Air	0	1
iPad4,2	iPad Air	0	1
iPad4,3		0	1
iPad4,4	iPad mini2	0	1
iPad4,5	iPad mini2	0	1
iPad4,7	iPad mini3	0	1
iPad4,8	iPad mini3	0	1
iPad4,9		0	1
iPad5,1	iPad mini4	0	1
iPad5,2	iPad mini4	0	1
iPad5,3	iPad Air2	0	1
iPad5,4	iPad Air2	0	1
iPad6,1		0	1
iPad6,2		0	1
iPad6,3	iPad Pro 9.7-inch	1	1
iPad6,4	iPad Pro 9.7-inch	1	1
iPad6,5		0	1
iPad6,6		0	1
iPad6,7	iPad Pro 12.9-inch	2	1
iPad6,8	iPad Pro 12.9-inch	2	1
iPad6,11	iPad 5	1	1
iPad6,12	iPad 5	1	1
iPad7,1	iPad Pro2 12.9-inch	2	1
iPad7,2	iPad Pro2 12.9-inch	2	1
iPad7,3	iPad Pro 10.5-inch	2	1
iPad7,4	iPad Pro 10.5-inch	2	1
iPad7,5	iPad6	1	1
iPad7,6	iPad6	1	1
iPad7,7		2	1
iPad7,11	iPad7 (A10, 3G)	2	1
iPad7,12	iPad7 (A10, 3G)	2	1
iPad8,1	iPad Pro 11-inch(A12X, 4G)	3	1
iPad8,2	iPad Pro 11-inch(A12X, 4G)	3	1
iPad8,3	iPad Pro 11-inch(A12X, 4G)	3	1
iPad8,4	iPad Pro 11-inch(A12X, 4G)	3	1
iPad8,5	iPad Pro3 12.9-inch(A12X, 4G)	3	1
iPad8,6	iPad Pro3 12.9-inch(A12X, 4G)	3	1
iPad8,7	iPad Pro3 12.9-inch(A12X, 4G)	3	1
iPad8,8	iPad Pro3 12.9-inch(A12X, 4G)	3	1
iPad8,9	iPad Pro2 11-inch(A12Z, 6G)	4	1
iPad8,10	iPad Pro2 11-inch(A12Z, 6G)	4	1
iPad8,11	iPad Pro4 12.9-inch(A12Z, 6G)	4	1
iPad8,12	iPad Pro4 12.9-inch(A12Z, 6G)	4	1
iPad11,1	iPad mini5 (A12, 3G)	3	1
iPad11,2	iPad mini5 (A12, 3G)	3	1
iPad11,3	iPad Air3 (A12, 3G)	3	1
iPad11,4	iPad Air3 (A12, 3G)	3	1
iPad11,5		3	1
iPad11,6	iPad8 (A12, 3G)	3	1
iPad11,7	iPad8 (A12, 3G)	3	1
iPad12,1	iPad9 (A13, 3G)	4	1
iPad12,2	iPad9 (A13, 3G)	4	1
iPad13,1	iPad Air4(A14, 4G)	4	1
iPad13,2	iPad Air4(A14, 4G)	4	1
iPad13,4	iPad Pro3 11-inch(M1, 8G)	4	1
iPad13,6	iPad Pro3 11-inch(M1, 8G)	4	1
iPad13,7	iPad Pro3 11-inch(M1, 8G)	4	1
iPad13,8	iPad Pro5 12.9-inch(M1, 8G)	4	1
iPad13,9	iPad Pro5 12.9-inch(M1, 8G)	4	1
iPad13,10	iPad Pro5 12.9-inch(M1, 8G)	4	1
iPad13,11	iPad Pro5 12.9-inch(M1, 8G)	4	1
iPad13,16	iPad Air5 (M1, 8G)	4	1
iPad13,17	iPad Air5 (M1, 8G)	4	1
iPad13,18	iPad 10th	4	1
iPad13,19	iPad 10th	4	1
iPad14,1	iPad mini6 (A15, 4G)	4	1
iPad14,2	iPad mini6 (A15, 4G)	4	1
iPad14,3	iPad Pro 11-inch	4	1
iPad14,4	iPad Pro 11-inch	4	1
iPad14,5	iPad Pro 12.9-inch	4	1
iPad14,6	iPad Pro 12.9-inch	4	1
iPhone1,1		0	1
iPhone1,2		0	1
iPhone2,1		0	1
iPhone3,1	iPhone4	0	1
iPhone3,2	iPhone4	0	1
iPhone3,3	iPhone4	0	1
iPhone4,1	iPhone4s	0	1
iPhone5,1	iPhone5	0	1
iPhone5,2	iPhone5	0	1
iPhone5,3	iPhone5c	0	1
iPhone5,4	iPhone5c	0	1
iPhone6,1	iPhone5s	0	1
iPhone6,2		0	1
iPhone7,1	iPhone6 Plus	0	1
iPhone7,2	iPhone6	0	1
iPhone8,1	iPhone 6s (A9, 2G)	1	1
iPhone8,2	iPhone 6s Plus (A9, 2G)	1	1
iPhone8,4	iPhone SE (A9, 2G)	1	1
iPhone9,1	iPhone 7 (A10, 2G)	2	1
iPhone9,3	iPhone 7 (A10, 2G)	2	1
iPhone9,2	iPhone 7 Plus (A10, 3G)	2	1
iPhone9,4	iPhone 7 Plus (A10, 3G)	2	1
iPhone10,1	iPhone 8 (A11, 2G)	2	1
iPhone10,4	iPhone 8 (A11, 2G)	2	1
iPhone10,2	iPhone 8 Plus (A11, 3G)	2	1
iPhone10,5	iPhone 8 Plus (A11, 3G)	2	1
iPhone10,3	iPhone X (A11, 3G)	2	1
iPhone10,6	iPhone X (A11, 3G)	2	1
iPhone11,2	iPhone XS (A12, 4G)	3	1
iPhone11,4		3	1
iPhone11,6	iPhone XS Max (A12, 4G)	3	1
iPhone11,8	iPhone XR  (A12, 3G)	3	1
iPhone11,1		3	1
iPhone11,3		3	1
iPhone11,5		3	1
iPhone11,7		3	1
iPhone11,9		3	1
iPhone12,1	iPhone 11 (A13, 4G)	4	1
iPhone12,2		4	1
iPhone12,3	iPhone 11 Pro (A13, 4G)	4	1
iPhone12,4		4	1
iPhone12,5	iPhone 11 Pro Max (A13, 4G)	4	1
iPhone12,6		4	1
iPhone12,7		4	1
iPhone12,8	iPhone SE2 (A13, 3G)	4	1
iPhone12,9		4	1
iPhone13,1	iPhone 12 mini (A14, 4G)	4	1
iPhone13,2	iPhone 12 (A14, 4G)	4	1
iPhone13,3	iPhone 12 Pro (A14, 6G)	4	1
iPhone13,4	iPhone 12 Pro Max (A14, 6G)	4	1
iPhone14,1		4	1
iPhone14,2	iPhone 13 Pro	4	1
iPhone14,3	iPhone 13 Pro Max	4	1
iPhone14,4	iPhone 13 mini	4	1
iPhone14,5	iPhone 13	4	1
iPhone14,6	iPhone SE3	4	1
iPhone14,7	iPhone 14	4	1
iPhone14,8	iPhone 14 Plus	4	1
iPhone15,2	iPhone 14 Pro	4	1
iPhone15,3	iPhone 14 Pro Max	4	1
iPhone15,4	iPhone 15	4	1
iPhone15,5	iPhone 15 Plus	4	1
iPhone16,1	iPhone 15 Pro	4	1
iPhone16,2	iPhone 15 Pro Max	4	1
