id	predecessorTask	unlockType	unlockId	unlockNum	taskContentType	taskContentId	taskContentNum	reward	rewardNum	functionId	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	taskDesc	taskDesc_zh_TW	taskDesc_en_UK	taskDesc_ja_JP	taskDesc_ko_KR	taskDesc_th_TH	functionDesc	functionDesc_zh_TW	functionDesc_en_UK	functionDesc_ja_JP	functionDesc_ko_KR	functionDesc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	0	4	0	10101	201	10110	1	419001;412001;413001;300003	300;10;10;30000	100	1	调查官的挑战Ⅰ	調查官的挑戰Ⅰ	Inspector's Challenge I	調査官の挑戦Ⅰ	조사관의 도전 I	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅰ​	通关主线剧情_target_num_	通關主線劇情_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_をクリアする	메인 스토리 클리어 _target_num_	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_num_​	推荐功能	推薦功能	Recommended Feature	おすすめ	추천기능	ฟังก์ชันที่แนะนำ
2	1	4	0	10110	201	10210	1	300002;419001;419002;300003	30;300;200;30000	100;202;203	1	调查官的挑战Ⅱ	調查官的挑戰Ⅱ	Inspector's Challenge II	調査官の挑戦Ⅱ	조사관의 도전 II	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅱ​	通关主线剧情_target_num_	通關主線劇情_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_をクリアする	메인 스토리 클리어 _target_num_	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_num_​	推荐功能	推薦功能	Recommended Feature	おすすめ	추천기능	ฟังก์ชันที่แนะนำ
3	2	4	0	10210	401	0	8	419001;510001;412001;413001	300;1;15;15	201;202;203	1	调查官的挑战Ⅲ	調查官的挑戰Ⅲ	Inspector's Challenge III	調査官の挑戦Ⅲ	조사관의 도전 III	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅲ​	提升调查官等级至_target_num_	提升調查官等級至_target_num_	Raise the Inspector's level to Lv._target_num_.	調査官レベルが_target_num_に達する	조사관 레벨 _target_num_까지 올리기	เพิ่ม​เล​เวล​ผู้ตรวจการ​ถึง​ _target_num_​	升级途径	升級途徑	Upgrade Method	レベルアップ方法	레벨업 경로	ช่องทางอัปเกรด
4	3	1	0	8	201	10310	1	300002;412002;413002;300003	30;10;10;40000	100;202;203	1	调查官的挑战Ⅳ	調查官的挑戰Ⅳ	Inspector's Challenge IV	調査官の挑戦Ⅳ	조사관의 도전 IV	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅳ​	通关主线剧情_target_num_	通關主線劇情_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_をクリアする	메인 스토리 클리어 _target_num_	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_num_​	推荐功能	推薦功能	Recommended Feature	おすすめ	추천기능	ฟังก์ชันที่แนะนำ
5	4	4	0	10310	401	0	12	419001;510001;419002;300003	500;1;200;40000	209;202;203	1	调查官的挑战Ⅴ	調查官的挑戰Ⅴ	Inspector's Challenge V	調査官の挑戦Ⅴ	조사관의 도전 V	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅴ​	提升调查官等级至_target_num_	提升調查官等級至_target_num_	Raise the Inspector's level to Lv._target_num_.	調査官レベルが_target_num_に達する	조사관 레벨 _target_num_까지 올리기	เพิ่ม​เล​เวล​ผู้ตรวจการ​ถึง​ _target_num_​	升级途径	升級途徑	Upgrade Method	レベルアップ方法	레벨업 경로	ช่องทางอัปเกรด
6	5	1	0	12	201	10410	1	300002;419003;413002;419003	50;100;15;100	100;209	1	调查官的挑战Ⅵ	調查官的挑戰Ⅵ	Inspector's Challenge VI	調査官の挑戦Ⅵ	조사관의 도전 VI	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅵ​	通关主线剧情_target_num_	通關主線劇情_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_をクリアする	메인 스토리 클리어 _target_num_	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_num_​	推荐功能	推薦功能	Recommended Feature	おすすめ	추천기능	ฟังก์ชันที่แนะนำ
7	6	4	0	10410	401	0	16	419001;510001;419002;300003	500;1;400;50000	209;202;203	1	调查官的挑战Ⅶ	調查官的挑戰Ⅶ	Inspector's Challenge VII	調査官の挑戦Ⅶ	조사관의 도전 VII	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅶ​	提升调查官等级至_target_num_	提升調查官等級至_target_num_	Raise the Inspector's level to Lv._target_num_.	調査官レベルが_target_num_に達する	조사관 레벨 _target_num_까지 올리기	เพิ่ม​เล​เวล​ผู้ตรวจการ​ถึง​ _target_num_​	升级途径	升級途徑	Upgrade Method	レベルアップ方法	레벨업 경로	ช่องทางอัปเกรด
8	7	1	0	16	201	10510	1	300002;412002;413002;300003	50;15;20;50000	100;205;206	1	调查官的挑战Ⅷ	調查官的挑戰Ⅷ	Inspector's Challenge VIII	調査官の挑戦Ⅷ	조사관의 도전 VIII	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅷ​	通关主线剧情_target_num_	通關主線劇情_target_num_	Clear Main Story _target_num_	メインストーリー_target_num_をクリアする	메인 스토리 클리어 _target_num_	ผ่าน​ด่าน​เนื้อเรื่อง​หลัก​ _target_num_​	推荐功能	推薦功能	Recommended Feature	おすすめ	추천기능	ฟังก์ชันที่แนะนำ
9	8	4	0	10510	401	0	20	419001;510001;419002;419003	800;2;400;300	209;202;203	1	调查官的挑战Ⅸ	調查官的挑戰Ⅸ	Inspector's Challenge IX	調査官の挑戦Ⅸ	조사관의 도전 IX	การ​ท้าทาย​ของ​ผู้ตรวจการ​ Ⅸ​	提升调查官等级至_target_num_	提升調查官等級至_target_num_	Raise the Inspector's level to Lv._target_num_.	調査官レベルが_target_num_に達する	조사관 레벨 _target_num_까지 올리기	เพิ่ม​เล​เวล​ผู้ตรวจการ​ถึง​ _target_num_​	升级途径	升級途徑	Upgrade Method	レベルアップ方法	레벨업 경로	ช่องทางอัปเกรด
