id	modeString	hitPos	bulletHit	floatWord	skillCamera	skillTowards	float	bossDebut	animatorControl	colour	position	direction	timeLineScale	battleScale	effectScale	WhetherLook	bonesLook	habitus	transHabitus	ifRepertory	bossTime	camPosition	camRotation	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101001	101001	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101001	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	2.83	2.3;1.15;5	0;-155;0	1
10100199	10100199	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101001	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	2.83	2.3;1.15;5	0;-155;0	1
101002	101002	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101002	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.06	2.3;1.15;5	0;-155;0	1
10100299	10100299	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101002	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.06	2.3;1.15;5	0;-155;0	1
10100202	10100202	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101002	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.06	2.3;1.15;5	0;-155;0	1
101003	101003	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101003	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.3	2.3;1.15;5	0;-155;0	1
10100399	10100399	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101003	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.3	2.3;1.15;5	0;-155;0	1
101004	101004	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101004	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.53	2.3;1.15;5	0;-155;0	1
10100499	10100499	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101004	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.53	2.3;1.15;5	0;-155;0	1
101005	101005	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101005	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	1	4.43	2.3;1.15;5	0;-155;0	1
10100599	10100599	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101005	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	1	4.43	2.3;1.15;5	0;-155;0	1
101006	101006	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101006	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.46	2.3;1.15;5	0;-155;0	1
10100699	10100699	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101006	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.46	2.3;1.15;5	0;-155;0	1
101007	101007	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101007	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.13	2.3;1.15;5	0;-155;0	1
10100799	10100799	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101007	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	0	3.13	2.3;1.15;5	0;-155;0	1
101008	101008	0;0;0.2	0;1;0.15	0;1.39;0	0;0;0	0;0;0	1	0	101008	0	-0.67;1.05;3.98	2.66;-170;0	1	1	1	1	0	2	2	1	3.03	2.3;1.15;5	0;-155;0	1
