id	unlockType	unlockId	unlockNum	unlockCondition	lockShowType	unlockShowType	unlockIcon	switch	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	realRame	realRame_zh_TW	realRame_en_UK	realRame_ja_JP	realRame_ko_KR	realRame_th_TH	unlockDes	unlockDes_zh_TW	unlockDes_en_UK	unlockDes_ja_JP	unlockDes_ko_KR	unlockDes_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
2	1		1	1	1	1	60:upgrade_icon_0002	1	1	主线故事	主線故事	Main Story	メインストーリー	메인 스토리	เนื้อเรื่องหลัก	主线故事	主線故事	Main Story	メインストーリー	메인 스토리	เนื้อเรื่องหลัก						
14	25		107120	1	1	1	60:upgrade_icon_0014	1	1	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส						
17	1		1	1	0	0		1	1	合卡技	合卡技	Fusion Skill	カード合成	합성 카드 스킬	สกิลรวมการ์ด	合卡技	合卡技	Fusion Skill	カード合成	합성 카드 스킬	สกิลรวมการ์ด						
19	1		1	1	1	0	60:upgrade_icon_0009	1	1	风暴挑战任务	風暴挑戰任務	Challenge of Storms Mission	ストームチャレンジ任務	폭풍 도전 미션	ภารกิจท้าทายคลื่นพายุ	风暴挑战任务	風暴挑戰任務	Challenge of Storms Mission	ストームチャレンジ任務	폭풍 도전 미션	ภารกิจท้าทายคลื่นพายุ						
50	1		1	1	0	0		1	1	召唤	召喚	Summon	召喚	소환	รับสมัคร	召唤	召喚	Summon	召喚	소환	รับสมัคร						
51	1		1	1	0	0		1	1	普通卡池	普通卡池	Standard Banner	通常ガチャ	일반 카드 풀	พูลการ์ดทั่วไป	普通卡池	普通卡池	Standard Banner	通常ガチャ	일반 카드 풀	พูลการ์ดทั่วไป						
52	1		1	1	0	0		1	1	新手卡池	新手卡池	Beginner Banner	初心者召喚	초보자 카드 풀	พูลการ์ดมือใหม่	新手卡池	新手卡池	Beginner Banner	初心者召喚	초보자 카드 풀	พูลการ์ดมือใหม่						
54	1		1	1	0	0		1	1	新手指引	新手指引	Tutorial	初心者ガイド	초보자 가이드	ไกด์มือใหม่	新手指引	新手指引	Tutorial	初心者ガイド	초보자 가이드	ไกด์มือใหม่						
70	1		1	1	1	0		1	1	天梯竞技场改成2007了	天梯競技場改成2007了	The Arena	Pending天梯竞技场改成2007了	래더 아레나가 2007로 변경되었습니다	สกาย​อารี​น่า​เปลี่ยนเป็น​ 2007​ แล้ว​	天梯竞技场	天梯競技場	The Arena	アリーナランク戦	래더 아레나	สกายอารีน่า						
71	1		1	1	1	0		1	1	天梯永久任务	天梯永久任務	Arena Permanent Mission	アリーナ永久任務	래더 영구 미션	ภารกิจสกายถาวร	天梯任务	天梯任務	Arena Mission	アリーナ任務	래더 미션	ภารกิจสกาย						
72	1		1	1	1	0		1	1	天梯每日任务	天梯每日任務	Arena Daily Mission	アリーナ毎日任務	래더 데일리 미션	ภารกิจสกายรายวัน	天梯任务	天梯任務	Arena Mission	アリーナ任務	래더 미션	ภารกิจสกาย						
73	1		1	1	1	0		1	1	天梯赛季任务	天梯賽季任務	Arena Seasonal Mission	アリーナシーズン任務	래더 시즌 미션	ภารกิจสกายประจำซีซัน	天梯任务	天梯任務	Arena Mission	アリーナ任務	래더 미션	ภารกิจสกาย						
80	1		1	1	1	0		1	1	幻影斗技场改成2008了	幻影鬥技場改成2008了	Phantom Clash	Pending幻影斗技场改成2008了	팬텀 투기장이 2008로 변경되었습니다	แฟน​ธอม​อารี​น่า​เปลี่ยนเป็น​ 2008​ แล้ว​	幻影斗技场	幻影鬥技場	Phantom Clash	ファントム闘技場	팬텀 투기장	แฟนธอมอารีน่า						
100	1		1	1	1	0	60:upgrade_icon_0100	1	1	养成总入口	養成總入口	Progression Entrance	育成入口	총 수입량 증대	ทางเข้าหลักการพัฒนา	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร						
101	1		1	1	1	0		1	1	情报	情報	Info	情報	정보	ข่าวกรอง	情报	情報	Info	情報	정보	ข่าวกรอง						
102	25		101070	1	1	0		1	1	升级	升級	Level Up	レベルアップ	레벨업	อัปเกรด	升级	升級	Level Up	レベルアップ	레벨업	อัปเกรด	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
103	25		102020	1	1	1	60:upgrade_icon_103	1	1	升阶	升階	Ascension	突破	승급	เลื่อนขั้น	突破	突破	Ascend	突破	돌파	ปลดลิมิต	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
104	25		101070	1	1	0		1	1	升星	升星	Star Up	昇格	승급	เพิ่มดาว	升星	升星	Star Up	昇格	승급	เพิ่มดาว						
105	25		102261	1	1	0		1	1	技能	技能	Skill	スキル	스킬	สกิล	技能	技能	Skill	スキル	스킬	สกิล						
106	25		103110	1	1	0	60:upgrade_icon_106	1	1	装备	裝備	Equipment	装備	장비	อุปกรณ์	装备	裝備	Equipment	装備	장비	อุปกรณ์	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
107	25		101110	1	1	0		1	1	时装	時裝	Outfit	外観	스킨	คอสตูม	时装	時裝	Outfit	外観	스킨	คอสตูม						
108	4		107160	1	1	1		1	1	专武	專武	Pathos Weapon	専用武器	전용 무기	อาวุธเฉพาะ	专武	專武	Pathos Weapon	専用武器	전용 무기	อาวุธเฉพาะ						
109	25		102110	1	1	0		1	1	好感度	好感度	Affection	好感度	호감도	ค่าความสัมพันธ์	好感度	好感度	Affection	好感度	호감도	ค่าความสัมพันธ์						
110	25		101070	1	1	0	60:upgrade_icon_0110	1	1	档案	檔案	Archive	プロファイル	파일	ไฟล์ข้อมูล	档案	檔案	Archive	プロファイル	파일	ไฟล์ข้อมูล	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
111	25		101070	1	1	1	60:upgrade_icon_0021	1	1	羁绊	羈絆	Assist	キズナ	연계	สายสัมพันธ์	羁绊	羈絆	Assist	キズナ	연계	สายสัมพันธ์	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
112	1		1	1	1	1	60:upgrade_icon_0021	1	1	合成	合成	Fusion	合成	합성	การผสาน	合成	合成	Fusion	合成	합성	การผสาน	战斗员	戰鬥員	Combatant	戦闘員	전투원	ตัวละคร
