Id	attributeType	type	typePara	attributeId	addTypeNum	combatValue1	combatValue2	buffId	buffIdNum	photoId	activephotoId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
120601011	1	101		102	0.15	8000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+15%;战中战斗力+1600	基礎攻擊力+15%;戰中戰鬥力+1600	Base ATK +15%;Battle Power +1600	基本攻撃力＋15%、戦闘中の戦闘力＋1600	기본 공격력 +15%;전투 시 전투력 +1600	ATK​ พื้นฐาน​ +15%,​ CP​ ใน​การต่อสู้​ +1,600​
120601012	1	101		102	0.24	12000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+24%;战中战斗力+2400	基礎攻擊力+24%;戰中戰鬥力+2400	Base ATK +24%;Battle Power +2400	基本攻撃力＋24%、戦闘中の戦闘力＋2400	기본 공격력 +24%;전투 시 전투력 +2400	ATK​ พื้นฐาน​ +24%,​ CP​ ใน​การต่อสู้​ +2,400​
120601013	1	101		102	0.33	18000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+33%;战中战斗力+3600	基礎攻擊力+33%;戰中戰鬥力+3600	Base ATK +33%;Battle Power +3600	基本攻撃力＋33%、戦闘中の戦闘力＋3600	기본 공격력 +33%;전투 시 전투력 +3600	ATK​ พื้นฐาน​ +33%,​ CP​ ใน​การต่อสู้​ +3,600​
120601014	1	101		102	0.42	25000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+42%;战中战斗力+5000	基礎攻擊力+42%;戰中戰鬥力+5000	Base ATK +42%;Battle Power +5000	基本攻撃力＋42%、戦闘中の戦闘力＋5000	기본 공격력 +42%;전투 시 전투력 +5000	ATK​ พื้นฐาน​ +42%,​ CP​ ใน​การต่อสู้​ +5,000​
120601015	1	101		102	0.51	32000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+51%;战中战斗力+6400	基礎攻擊力+51%;戰中戰鬥力+6400	Base ATK +51%;Battle Power +6400	基本攻撃力＋51%、戦闘中の戦闘力＋6400	기본 공격력 +51%;전투 시 전투력 +6400	ATK​ พื้นฐาน​ +51%,​ CP​ ใน​การต่อสู้​ +6,400​
120601016	1	101		102	0.7	42000	0	0	0			1	学生证	學生證	Student ID	学生証	학생증	บัตรนักเรียน	基础攻击力+70%;战中战斗力+8400	基礎攻擊力+70%;戰中戰鬥力+8400	Base ATK +70%;Battle Power +8400	基本攻撃力＋70%、戦闘中の戦闘力＋8400	기본 공격력 +70%;전투 시 전투력 +8400	ATK​ พื้นฐาน​ +70%,​ CP​ ใน​การต่อสู้​ +8,400​
120601021	1	101		202	0.2	8000	0	0	0			1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+20%;战中战斗力+1600	基礎防禦力+20%;戰中戰鬥力+1600	Base DEF +20%;Battle Power +1600	基本防御力＋20%、戦闘中の戦闘力＋1600	기본 방어력 +20%;전투 시 전투력 +1600	DEF​ พื้นฐาน​ +20%,​ CP​ ใน​การต่อสู้​ +1,600​
120601022	1	101		202	0.3	12000	0	0	0			1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+30%;战中战斗力+2400	基礎防禦力+30%;戰中戰鬥力+2400	Base DEF +30%;Battle Power +2400	基本防御力＋30%、戦闘中の戦闘力＋2400	기본 방어력 +30%;전투 시 전투력 +2400	DEF​ พื้นฐาน​ +30%,​ CP​ ใน​การต่อสู้​ +2,400​
120601023	1	101		202	0.4	18000	0	0	0			1	茶杯	茶杯	Tea Cup	カップ	찻잔	ถ้วยชา	基础防御力+40%;战中战斗力+3600	基礎防禦力+40%;戰中戰鬥力+3600	Base DEF +40%;Battle Power +3600	基本防御力＋40%、戦闘中の戦闘力＋3600	기본 방어력 +40%;전투 시 전투력 +3600	DEF​ พื้นฐาน​ +40%,​ CP​ ใน​การต่อสู้​ +3,600​
