id	lihuiId	x1	y1	scale1	x2	y2	scale2	x3	y3	scale3	status
int	int	int	int	int	int	int	int	int	int	int	int
30300101	21:m_img_3001	0	-155	68				-20	241	60	1
30300201	21:m_img_3002	0	-155	70				8	288	70	1
30300301	21:m_img_3003	0	-155	70				8	288	70	1
30300401	21:m_img_3004	-21	-168	65				-19	220	65	1
30300501	21:m_img_3005	-21	-168	65				-19	220	65	1
30400101	21:m_img_4001	-16	-352	100				4	420	90	1
30400201	21:m_img_4002	-25	-382	100				18	409	90	1
30400301	21:m_img_4003	42	-159	64				6	384	80	1
30400401	21:m_img_4004	23	-176	75				22	354	80	1
30400501	21:m_img_4005	-26	-251	100				-1	411	85	1
30400601	21:m_img_4006	0	-284	100				9	415	85	1
30400701	21:m_img_4007	-77	-387	100				-31	409	85	1
30414007	21:m_img_414007	-77	-387	100				-31	409	85	1
30400801	21:m_img_4008	135	-88	100				1	326	85	1
30400901	21:m_img_4009	11	-348	100				34	417	85	1
30401001	21:m_img_4010	-37	-325	100				-21	415	85	1
30401401	21:m_img_4014	9	-348	100				6	388	80	1
30401501	21:m_img_4015	-14	-27	68				20	415	70	1
30501501	21:m_img_4015	-14	-27	68				20	415	70	1
30401601	21:m_img_4016	-31	-287	100				-21	424	89	1
30401701	21:m_img_4017	58	-228	100				-2	405	80	1
30401801	21:m_img_4018	20	-85	68				-2	348	80	1
30401901	21:m_img_4019	-29	-280	93				-27	420	90	1
34019002	21:m_img_4019	-29	-280	93				-27	420	90	1
34019003	21:m_img_4019	-29	-280	93				-27	420	90	1
30402001	21:m_img_4020	19	-349	100				-28	420	89	1
30402101	21:m_img_4021	51	-112	72				18	416	85	1
30402201	21:m_img_4022	-103	-323	100				-30	422	88	1
30502201	21:m_img_4022	-103	-323	100				-30	422	88	1
30402301	21:m_img_4023	34	-144	90				-26	397	90	1
30402501	21:m_img_4025	0	-136	80				-23	404	79	1
30402601	21:m_img_4026	-19	-167	81				-37	399	81	1
30403001	21:m_img_4030	3	-170	88				-28	404	86	1
30403101	21:m_img_4031	29	-274	90				-30	422	88	1
30414031	21:m_img_414031	29	-274	90				-30	422	88	1
30403301	21:m_img_4033	1	-364	100				-2	401	80	1
30414033	21:m_img_414033	1	-364	100				-2	401	80	1
30403401	21:m_img_4034	1	-353	100				10	372	80	1
30403501	21:m_img_4035	-16	-78	90				-12	398	82	1
30403601	21:m_img_4036	28	-41	87				18	259	84	1
30403701	21:m_img_4037	13	-25	85				7	307	76	1
30404001	21:m_img_4040	-118	-258	85				0	382	85	1
30404101	21:m_img_4041	57	-346	90				37	332	90	1
30404301	21:m_img_4043	12	-419	90				-14	406	90	1
30404401	21:m_img_4044	0	-414	100				21	414	85	1
30404601	21:m_img_4046	-58	-292	100				-18	336	90	1
30404701	21:m_img_4047	0	231	100				32	365	84	1
30404801	21:m_img_4048	0	304	110				-19	468	100	1
30404901	21:m_img_4049	192	-244	100				78	316	100	1
30405001	21:m_img_4050	54	-200	100				-67	389	80	1
30800101	21:m_img_8001	111	-208	74				0	363	80	1
30800201	21:m_img_8002	-21	-388	100				-33	416	88	1
30800301	21:m_img_8003	48	-154	80				-23	412	88	1
30800302	21:m_img_8003	48	-154	80				-23	412	88	1
30800401	21:m_img_8004	-38	-26	78				2	445	80	1
30801001	21:m_img_8010	0	-423	110				0	397	88	1
30800601	21:m_img_8006	-69	-244	100				0	437	100	1
30418006	21:m_img_418006	-35	-166	120				43	354	110	1
30428006	21:m_img_428006	-35	-166	120				43	354	110	1
30800642	21:m_img_428006	-35	-166	120				43	354	110	1
30801101	21:m_img_8011	151	-275	100				0	336	100	1
30801301	21:m_img_8013	0	-198	100				-28	461	100	1
30100201	21:m_img_1002	-26	-164	85				6	260	80	1
30100301	21:m_img_1003	-85	-163	85				-21	323	80	1
30100401	21:m_img_1004	-3	-211	100				19	264	80	1
30100501	21:m_img_1005	-30	-91	90				-2	391	80	1
30411005	21:m_img_411005	-30	-91	90				-2	391	80	1
30100601	21:m_img_1006	-40	-212	90				5	416	80	1
30411006	21:m_img_411006	-40	-212	90				5	416	80	1
30100701	21:m_img_1007	-125	-9	70				-35	252	50	1
30100901	21:m_img_1009	-41	-106	80				2	403	65	1
30101001	21:m_img_1010	-33	-76	90				48	406	80	1
30411010	21:m_img_411010	-33	-76	90				48	406	80	1
30101101	21:m_img_1011	169	-121	85				70	309	70	1
30101201	21:m_img_1012	37	-179	85				-16	301	60	1
30411012	21:m_img_411012	37	-179	85				-16	301	60	1
30101301	21:m_img_1013	84	-161	85				60	367	75	1
30101401	21:m_img_1014	-52	-91	85				-22	386	75	1
30411014	21:m_img_411014	-52	-91	85				-22	386	75	1
30101501	21:m_img_1015	-200	-219	85				14	330	70	1
30101601	21:m_img_1016	49	-234	85				-20	340	70	1
30411016	21:m_img_411016	49	-234	85				-20	340	70	1
30101701	21:m_img_1017	-48	-160	70				-13	391	50	1
30411017	21:m_img_411017	-48	-160	70				-13	391	50	1
30101801	21:m_img_1018	-44	-33	80				4	249	60	1
30411018	21:m_img_411018	-44	-33	80				4	249	60	1
30101901	21:m_img_1019	-53	-63	85				-27	356	70	1
30411019	21:m_img_411019	-53	-63	85				-27	356	70	1
30102001	21:m_img_1020	-161	-141	80				-4	338	70	1
30411020	21:m_img_411020	-161	-141	80				-4	338	70	1
30102101	21:m_img_1021	-30	-164	78				-5	292	60	1
30102201	21:m_img_1022	-32	-263	90				0	380	74	1
30411022	21:m_img_411022	-32	-263	90				0	380	74	1
30102301	21:m_img_1023	-10	-391	100				-6	388	77	1
30411023	21:m_img_411023	-10	-391	100				-6	388	77	1
30431023	21:m_img_411023	-10	-391	100				-6	388	77	1
30102401	21:m_img_1024	-20	-406	100				-26	391	83	1
30411024	21:m_img_411024	-20	-406	100				-26	391	83	1
30431024	21:m_img_411024	-20	-406	100				-26	391	83	1
30102501	21:m_img_1025	-5	-129	76				-31	434	80	1
30102601	21:m_img_1026	1	-16	64				1	320	63	1
30102701	21:m_img_1027	-21	-130	68				29	379	70	1
30102801	21:m_img_1028	15	-281	92				-28	396	80	1
30102901	21:m_img_1029	-6	-307	90				0	375	80	1
30103001	21:m_img_1030	0	-242	72				-20	356	74	1
30411030	21:m_img_411030	0	-242	72				-20	356	74	1
30103101	21:m_img_1031	22	-208	98				-6	474	75	1
30411031	21:m_img_411031	22	-208	98				-6	474	75	1
30104001	21:m_img_1040	96	-250	81				-9	357	75	1
30411040	21:m_img_411040	96	-250	81				-9	357	75	1
30104101	21:m_img_1041	27	-190	81				34	323	80	1
30411041	21:m_img_411041	27	-190	81				34	323	80	1
30104201	21:m_img_1042	-13	106	75				5	352	74	1
30411042	21:m_img_411042	-13	106	75				5	352	74	1
30104301	21:m_img_1043	-10	-121	73				19	374	76	1
30411043	21:m_img_411043	-10	-121	73				19	374	76	1
30104401	21:m_img_1044	78	-158	84				0	375	81	1
30411044	21:m_img_411044	0	-217	90				-33	374	81	1
30104501	21:m_img_1045	42	-157	84				-26	397	82	1
30411045	21:m_img_411045	42	-157	84				-26	397	82	1
30104601	21:m_img_1046	0	-156	80				-4	369	70	1
30104701	21:m_img_1047	0	-154	80				5	371	70	1
30104801	21:m_img_1048	0	-151	80				5	371	70	1
30104901	21:m_img_1049	0	-151	80				4	372	70	1
30105001	21:m_img_1050	23	-379	100				4	380	80	1
30411050	21:m_img_411050	23	-379	100				4	380	80	1
30105101	21:m_img_1051	10	-382	100				-20	379	80	1
30411051	21:m_img_411051	10	-382	100				-20	379	80	1
30105201	21:m_img_1052	20	-190	100				9	328	67	1
30411052	21:m_img_411052	20	-190	100				9	328	67	1
30105301	21:m_img_1053	62	-93	87				5	265	66	1
30411053	21:m_img_411053	60	-95	87				0	268	66	1
30421053	21:m_img_421053	60	-95	87				0	268	66	1
30105401	21:m_img_1054	52	-227	90				5	364	80	1
30105501	21:m_img_1055	48	-230	90				3	364	80	1
30105601	21:m_img_1056	-42	-119	100				-12	266	70	1
30105801	21:m_img_1058	0	-232	85				21	396	85	1
