ID	moduleID	parameter	functionID	jumpType	systemIcon	status	functionName	functionName_zh_TW	functionName_en_UK	functionName_ja_JP	functionName_ko_KR	functionName_th_TH	source	source_zh_TW	source_en_UK	source_ja_JP	source_ko_KR	source_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
100	2320	100	2		60:function_icon_0002	1	主线剧情	主線劇情	Main Story	メインストーリー	메인 스토리	เส้นเนื้อเรื่องหลัก						
102	2710	100	2		60:function_icon_0002	1	主线剧情	主線劇情	Main Story	メインストーリー	메인 스토리	เส้นเนื้อเรื่องหลัก						
104	104	106009	50			1	角色故事	角色故事	Character Story	キャラストーリー	캐릭터 스토리	เรื่องราวตัวละคร						
212	2613	0	14		60:function_icon_0014	1	世界首领	世界首領	World Boss	ワールドBOSS	월드 보스	เวิลด์บอส						
301	500		205		60:function_icon_0204	1	日常任务	日常任務	Daily Missions	日常任務	일상 미션	ภารกิจรายวัน						
303	500	3	207			1	职业成就	職業成就	Profession Achievement	職業アチーブメント	직업 업적	ผลงานคลาส						
305	3296		228			1	合约	合約	Contract	契約	계약	สัญญา						
306	2540		53			1	调查问卷	調查問卷	Survey	アンケート	설문지	แบบสอบถาม						
402	2510		229			1	申请好友	申請好友	Add Friend	フレンド申請	친구 요청	คำขอเป็นเพื่อน						
506	2531	0	220			1	外出	外出	Outing	外出	외출	ไปข้างนอก						
507	2552	0	233		60:function_icon_0232	1	钓鱼俱乐部	釣魚俱樂部	Fishing Lodge	釣りクラブ	낚시 클럽	ชมรมตกปลา						
601	2211	1	50		60:function_icon_0050	1	召唤	召喚	Summon	召喚	소환	รับสมัคร						
603	852	5	157		60:function_icon_0150	1	猫眼石补给	貓眼石補給	Opal Supply	キャッツアイ補給	캣츠아이 보급	เสบียงโอปอล						
606	853	9901	159		60:function_icon_0150	1	数据商店	資料商店	Data Shop	データショップ	데이터 상점	ร้านค้าข้อมูล						
607	853	9902	160		60:function_icon_0150	1	挑战中心	挑戰中心	Challenge Center	挑戦センター	도전 센터	ศูนย์การท้าทาย						
611	852	4	154			1	开通月卡	開通月卡	Activate Monthly Plan	月間プラン加入	월간 구독 구매	เปิดใช้บัตรรายเดือน						
612	852	2	152			1	虹晶商店	虹晶商店	Irithyst Store	アイリスクォーツ	프리즘 상점	ร้านค้าอิริธิสต์						
613	852	3	153			1	礼包	禮包	Bundle	ギフトパック	패키지	แพ็กเกจ						
614	852	7	149			1	风格商店	風格商店	Style Shop	スタイル商店	스킨 상점	ร้านค้าสไตล์						
