type	condition	status
int	int	int
1	副本通关	1
2	武装死亡数量不超过_target_num_个	1
3	在_target_num_回合内获得胜利	1
4	通关时所有武装生命不低于_target_num_%	1
5	单回合造成_target_num_以上/以下伤害	1
6	单次攻击造成_target_num_以上/以下伤害	1
7	通关时使用某属性武装累计造成_target_num_以上/以下伤害	1
8	以包含_target_num_个以上/以下某属性武装的编队通关	1
9	编队中武装不超过/不少于_target_num_个并通关	1
10	本场战斗中BOSS同时获得_target_num_层以上/以下_target_type_状态	1
11	本场战斗中己方一名武装同时获得_target_num_层以上/以下_target_type_状态	1
12	编队中某职业武装不超过/不少于_target_num_通关	1
13	编队中指定稀有度的武装不超过/不少于_target_num_通关	1
14	编队武装值不超过/不少于_target_num_	1
15	编队中指定角色的武装不超过/不少于_target_num_	1
16	队伍中武装的星级都达到_diff_ 星	1
17	队伍中武装的职业都为_diff_ 	1
18	队伍中武装的品级都为_diff_ 	1
19	队伍中武装的属性都为_diff_ 	1
20	队伍中武装的使用者都为_diff_ 	1
21	战斗中_diff_ 颜色技能牌使用次数为_target_num_	1
22	战斗中_diff_ 技能类型使用次数为_target_num_	1
23	战斗中进行_diff_ 次出牌同时合成_target_num_次卡牌	1
24	战斗中手动合成_target_num_次卡牌	1
25	战斗中刚开始_diff_ 回合内合成出_target_num_张三星技能；并且触发合卡技	1
26	战斗中合成出_target_num_张_target_num_星技能	1
27	触发_target_num_阶合卡技	1
28	本次战斗的中释放SP技能_target_num_次	1
29	本次战斗中触发相克属性的技能牌_target_num_次	1
30	本次战斗前_diff_ 回合内击杀所有在场地敌方单位	1
31	本次战斗中_diff_ 回合内利用解体机制击杀BOSS	1
32	本次战斗中_diff_ 回合内击杀BOSS	1
33	战斗中击杀_target_num_的敌人数量	1
34	战斗中友方特殊召唤位生命值不低于_target_num_%	1
35	_target_num_回合内合成_diff_次技能牌。	1
36	_target_num_回合内我方不使用SP技能。	1
37	本次战斗我方伤害总量达到_target_num_。	1
38	本次战斗我方总治疗量达到_target_num_。	1
39	_target_num_回合内击杀特定目标_diff_。	1
40	_target_num_回合内特定目标_diff_存活。	1
41	_target_num_回合内杀死所有_diff_颜色的目标。	1
42	_target_num_回合内击杀怪物类型_diff_。	1
43	敌方释放_diff_技能总次数少于/大于_target_num_次。	1
44	敌方释放sp技能总次数少于/大于_target_num_次。	1
45	战斗内我方HIT次数达到_target_num_次。（限定进攻卡）	1
