id	specialTipsId	specialTipsNum	iconType	status	default	test	test_zh_TW	test_en_UK	test_ja_JP	test_ko_KR	test_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
1				1	1	1.请选择刚刚合成的<color=#ffc522>三星技能牌</color>。\n2.技能<color=#ffc522>星数越高</color>效果越强。	1.請選擇剛剛合成的<color=#ffc522>三星技能牌</color>。\n2.技能<color=#ffc522>星數越高</color>效果越強。	1. Please select the <color=#ffc522>3★ skill card</color> you just fused.\n2. Skills of <color=#ffc522>higher star levels</color> have stronger effects.	1.先ほど合成した<color=#ffc522>★3スキルカード</color>を選んでください。\n2.スキルの<color=#ffc522>★が多いほど</color>効果が強い。	1. 방금 합성한 <color=#ffc522>3성 스킬 카드</color>를 선택해 주세요.\n2. 스킬의 <color=#ffc522>별 개수가 많을수록</color>효과가 강해집니다.	1.​โปรด​เลือก​<color=#ffc522>การ์ดสกิล 3★</color>​ที่​ผสม​กัน​เมื่อ​ครู่​\n2.<color=#ffc522>จำนวนดาวสกิลยิ่งสูง</color>​เอฟเฟกต์​ก็​ยิ่ง​แข็งแกร่ง​
10101				1	0	<color=#66b032>关卡说明</color>\n1.请利用情绪颜色克制优势优先击败<color=#ffc522>行动次数较多</color>的敌人。	<color=#66b032>關卡說明</color>\n1.請利用情緒顏色克制優勢優先擊敗<color=#ffc522>行動次數較多</color>的敵人。	<color=#66b032>Stage Details</color>\n1. Make sure to use the Pathos elemental advantages to prioritize defeating <color=#ffc522>enemies with more action attempts</color> first.	<color=#66b032>ステージ説明</color>\n1.有利属性を活用し、<color=#ffc522>行動回数が多い</color>敵を優先に倒しましょう。	<color=#66b032>스테이지 안내</color>\n1. 이모션 컬러 상성을 이용해 <color=#ffc522>행동 횟수가 많은</color>적을 먼저 처치하세요.	<color=#66b032>คำอธิบายด่าน</color>\n1.​โปรด​ใช้​สี​พา​โธส​เอาชนะ​ทาง​ศัตรู​ที่​<color=#ffc522>มีจำนวนการเคลื่อนไหวมาก</color>​ก่อน​
10104				1	0	<color=#66b032>关卡说明</color>\n1.请利用<color=#ffc522>情绪颜色克制优势</color>优先击败<color=#ffc522>行动次数较多</color>的敌人。	<color=#66b032>關卡說明</color>\n1.請利用<color=#ffc522>情緒顏色克制優勢</color>優先擊敗<color=#ffc522>行動次數較多</color>的敵人。	<color=#66b032>Stage Details</color>\n1. Make sure to use the <color=#ffc522>Pathos elemental advantages</color> to prioritize defeating <color=#ffc522>enemies with more action attempts</color> first.	<color=#66b032>ステージ説明</color>\n1.<color=#ffc522>有利属性</color>を活用し、<color=#ffc522>行動回数が多い</color>敵を優先に倒しましょう。	<color=#66b032>스테이지 안내</color>\n1. <color=#ffc522>이모션 컬러 상성</color>을 이용해 <color=#ffc522>행동 횟수가 많은</color>적을 먼저 처치하세요.	<color=#66b032>คำอธิบายด่าน</color>\n1.​โปรด​ใช้​<color=#ffc522>ใช้สีพาโธสเอาชนะทาง</color>​ศัตรู​ที่​<color=#ffc522>มีจำนวนการเคลื่อนไหวมาก</color>​ก่อน​
10106				1	1	<color=#66b032>关卡说明</color>\n1.尝试利用<color=#ffc522>情绪颜色克制优势</color>和非天自由轮滑的<color=#ffc522>破盾伤害技能</color>与强敌对抗。	<color=#66b032>關卡說明</color>\n1.嘗試利用<color=#ffc522>情緒顏色克制優勢</color>和非天自由輪滑的<color=#ffc522>破盾傷害技能</color>與強敵對抗。	<color=#66b032>Stage Details</color>\n1. Make sure to use the <color=#ffc522>Pathos elemental advantages</color> and Asura's Freestyle Skater's <color=#ffc522>Shield Break DMG skills</color> to tackle powerful enemies.	<color=#66b032>ステージ説明</color>\n1.<color=#ffc522>有利属性</color>を活用し、アスラ‐ローラースケートの<color=#ffc522>シールドダメージスキル</color>で戦いましょう。	<color=#66b032>스테이지 안내</color>\n1. <color=#ffc522>이모션 컬러 상성</color>과 아수라의 <color=#ffc522>실드 파괴 스킬</color>인 프리 스케이팅을 이용해 강적과 맞서 싸워보세요.	<color=#66b032>คำอธิบายด่าน</color>\n1.​ลอง​ใช้​<color=#ffc522>สีพาโธสในการชนะทาง</color>​และ​ให้​อา​สึ​ระ​ใช้​<color=#ffc522>สกิลดาเมจทำลายโล่</color>​ของ​โรล​เลอร์​เบล​ด​ต่อกร​กับ​ศัตรู​ที่​แข็งแกร่ง​ดู​
10108				1	1	<color=#66b032>关卡说明</color>\n1.升级后的战斗员拥有了更强的战斗力。\n2.请有效利用<color=#ffc522>情绪颜色克制优势</color>和非天自由轮滑的<color=#ffc522>破盾伤害技能</color>击败敌人吧。	<color=#66b032>關卡說明</color>\n1.升級後的戰鬥員擁有了更強的戰鬥力。\n2.請有效利用<color=#ffc522>情緒顏色克制優勢</color>和非天自由輪滑的<color=#ffc522>破盾傷害技能</color>擊敗敵人吧。	<color=#66b032>Stage Details</color>\n1. With upgrades, Combatants now boast more power.\n2. Use the <color=#ffc522>Pathos elemental advantages</color> and Asura's Freestyle Skater's <color=#ffc522>Shield Break DMG skills</color> to defeat enemies.	<color=#66b032>ステージ説明</color>\n1.レベルアップした戦闘員は、より強力な戦闘力を持っている。\n2.<color=#ffc522>有利属性</color>を活用し、アスラ‐ローラースケートの<color=#ffc522>シールドダメージスキル</color>で敵を倒しましょう。	<color=#66b032>스테이지 안내</color>\n1. 레벨업 후 전투원은 더욱 강한 전투력을 갖게 됩니다.\n2. <color=#ffc522>이모션 컬러 상성</color>과 아수라의 <color=#ffc522>실드 파괴 스킬</color>인 프리 스케이팅을 효과적으로 이용해 적을 처치하세요.	<color=#66b032>คำอธิบายด่าน</color>\n1.​หลัง​อัป​เล​เวล​ ตัวละคร​จะ​มี​ CP​ ที่​แข็งแกร่ง​ขึ้น​\n2.​โปรด​ใช้​<color=#ffc522>สีพาโธสในการชนะทาง</color>​อย่าง​มีประสิทธิภาพ​ และ​ให้​อา​สึ​ระ​ใช้​<color=#ffc522>สกิลดาเมจทำลายโล่</color>​ของ​โรล​เลอร์​เบล​ด​กำจัด​ศัตรู​
10119				1	1	<color=#66b032>关卡说明</color>\n使用已经练习过的以下策略击败强敌吧：\n\n1.利用非天技能牌的<color=#ffc522>易伤</color>效果\n2.使<color=#ffc522>易伤</color>效果与小白奥义技能的<color=#ffc522>破灭伤害</color>相互配合\n3.利用艾可奥义技能<color=#ffc522>扣除敌方奥义能量</color>	<color=#66b032>關卡說明</color>\n使用已經練習過的以下策略擊敗強敵吧：\n\n1.利用非天技能牌的<color=#ffc522>易傷</color>效果\n2.使<color=#ffc522>易傷</color>效果與小白奧義技能的<color=#ffc522>破滅傷害</color>相互配合\n3.利用艾可奧義技能<color=#ffc522>扣除敵方奧義能量</color>	<color=#66b032>Stage Details</color>\nTry using the practiced strategies below to defeat enemies:\n1. Utilize the <color=#ffc522>Vulnerability</color> effect of Asura skill cards.\n2. Combine the <color=#ffc522>Vulnerability</color> effect with the <color=#ffc522>Dire DMG</color> of Shiro's Ultimate.\n3. Use Echo's Ultimate to <color=#ffc522>drain enemies' SP</color>.	<color=#66b032>ステージ説明</color>\n以下の対策で強敵を倒しましょう：\n\n1.アスラの<color=#ffc522>被ダメージ増加</color>スキルを利用する。\n2.<color=#ffc522>被ダメージ増加</color>とシロのSP技が与える<color=#ffc522>弱体特攻ダメージ</color>が相まって敵を攻撃する。\n3.アイコのSP技で<color=#ffc522>敵のSPを削減する</color>。	<color=#66b032>스테이지 안내</color>\n다음 전략으로 적을 처치하세요.\n\n1. 아수라 스킬 카드의 <color=#ffc522>취약</color> 효과를 이용하세요.\n2. <color=#ffc522>취약</color> 효과와 더불어 화이트 필살기의 <color=#ffc522>파멸 대미지</color>를 활용하세요.\n3. 에코의 필살기를 이용해 <color=#ffc522>적의 필살기 게이지를 차감</color>하세요.	<color=#66b032>คำอธิบายด่าน</color>\n​ใช้​กลยุทธ์​ที่​เคย​ฝึก​ต่อไปนี้​เอาชนะ​ศัตรู​ที่​แข็งแกร่ง​:​ \n1.​ใช้​เอฟเฟกต์​<color=#ffc522>เปราะบาง</color>​จาก​การ์ด​สกิล​ของ​อา​สึ​ระ​\n2.​จับคู่​เอฟเฟกต์​<color=#ffc522>เปราะบาง</color>​กับ​<color=#ffc522>ดาเมจทำลายล้าง</color>​จาก​สกิลอัล​ติ​เมท​ของ​ชิ​โระ​\n3.​ใช้​สกิลอัล​ติ​เมท​ของ​เอ​ค​โค​<color=#ffc522>ลดพลังงานอัลติเมทของศัตรู</color>​
10207				1	0	<color=#05f1e6>关卡说明</color>\n1.小心敌方技能会携带<color=#05f1e6>流血</color>的负面效果。\n2.使用特莉丝恬静时刻治疗技能，驱散友方的减益效果并回复生命。	<color=#05f1e6>關卡說明</color>\n1.小心敵方技能會攜帶<color=#05f1e6>流血</color>的負面效果。\n2.使用特莉絲恬靜時刻治療技能，驅散友方的減益效果並回復生命。	<color=#05f1e6>Stage Details</color>\n1. Watch out for enemy skills with the <color=#05f1e6>Bleeding</color> debuff.\n2. Employ the healing skills of Triss's Pure Grace to remove allies' debuffs and restore their HP.	<color=#05f1e6>ステージ説明</color>\n1.敵のスキルは<color=#05f1e6>出血</color>を付与する。\n2.トリス‐ピースフルタイムの回復スキルを利用して、味方のデバフ効果を解除し、HPを回復しましょう。	<color=#05f1e6>스테이지 안내</color>\n1. 적의 스킬에 <color=#05f1e6>출혈</color> 디버프 효과가 있을 수 있으니 조심하세요.\n2. 트리스의 사일런스 타임 치유 스킬을 사용해 아군의 디버프 효과를 제거하고 HP를 회복시키세요.	<color=#05f1e6>คำอธิบายด่าน</color>\n1.​โปรด​ระวัง​ สกิล​ของ​ศัตรู​จะ​มี​เอฟเฟกต์​<color=#05f1e6>เลือดไหล</color>\n2.​ใช้​สกิล​ฟื้นฟู​บทเพลง​บริสุทธิ์​ของ​ท​ริ​ส​ จะ​ลบล้าง​เอฟเฟกต์​ดี​บัฟ​ของ​เพื่อน​และ​ฟื้นฟู​ HP​
10418				1	1	<color=#05f1e6>关卡说明</color>\n1.<color=#05f1e6>坚持3回合</color>，可以使用<color=#05f1e6>护盾，治疗等技能</color>对抗敌人。	<color=#05f1e6>關卡說明</color>\n1.<color=#05f1e6>堅持3回合</color>，可以使用<color=#05f1e6>護盾，治療等技能</color>對抗敵人。	<color=#05f1e6>Stage Details</color>\n1. <color=#05f1e6>Survive for 3 turns</color>; use <color=#05f1e6>shields, healing, and other skills</color> to fight the enemy.	<color=#05f1e6>ステージ説明</color>\n1.<color=#05f1e6>3ターン堪えよう</color>。<color=#05f1e6>シールド・回復スキル</color>を利用して戦いましょう。	<color=#05f1e6>스테이지 안내</color>\n1. <color=#05f1e6>실드와 치유 등 스킬</color>을 활용해 적으로부터<color=#05f1e6>3턴</color> 버티세요.	<color=#05f1e6>คำอธิบายด่าน</color>\n1.<color=#05f1e6>ยืนหยัดให้ได้ 3 เทิร์น</color>​ สามารถ​ใช้​<color=#05f1e6>สกิลโล่ ฟื้นฟูและอื่นๆ</color>​เพื่อ​ต้าน​ศัตรู​ไว้​
10507				1	1	<color=#05f1e6>关卡说明</color>\n1.<color=#05f1e6>我方每回合都会降低防御力</color>，可以使用<color=#05f1e6>驱散技能</color>应对，或尽快击败敌人结束战斗。	<color=#05f1e6>關卡說明</color>\n1.<color=#05f1e6>我方每回合都會降低防禦力</color>，可以使用<color=#05f1e6>驅散技能</color>應對，或儘快擊敗敵人結束戰鬥。	<color=#05f1e6>Stage Details</color>\n1. <color=#05f1e6>Allies' DEF decreases each turn</color>. Try using <color=#05f1e6>dispel skills</color> to cope with it or defeat enemies fast.	<color=#05f1e6>ステージ説明</color>\n1.<color=#05f1e6>毎ターン、味方全体の防御力ダウン</color>。<color=#05f1e6>解除スキル</color>を利用して早めに敵を倒そう。	<color=#05f1e6>스테이지 안내</color>\n1.<color=#05f1e6>아군 방어력이 매 턴 감소</color>합니다.<color=#05f1e6>해제 스킬</color>을 활용해 최대한 빨리 적을 처치하여 전투를 끝내세요.	<color=#05f1e6>คำอธิบายด่าน</color>\n1.<color=#05f1e6>ทุกเทิร์น DEF ของฝ่ายเราจะลดลง</color>​ สามารถ​ใช้​<color=#05f1e6>สกิลลบล้าง</color>​รับมือ​ หรือ​รีบ​เอาชนะ​ศัตรู​เพื่อ​จบ​การต่อสู้​โดยเร็ว​
