type	judgeTime	judgeType	mark	showType	status	condition	condition_zh_TW	condition_en_UK	condition_ja_JP	condition_ko_KR	condition_th_TH
int	int	int	int	int	int	int	int	int	int	int	int
1000	2	1		0	1	超出关卡限制的回合数	超出關卡限制的回合數	Exceeded stage turn limit	ターン数制限を超えた	스테이지 제한 턴 수 초과	จำนวน​เทิร์น​ที่​เกิน​จาก​ขีดจำกัด​ของ​ด่าน​
1001	2	1		0	1	敌方全体目标死亡	敵方全體目標死亡	All enemies are dead	敵全員を倒す	적 전체 목표 사망	ศัตรูทั้งหมดพ่ายแพ้
1002	2	1		0	1	BOSS死亡	BOSS死亡	Boss is dead	BOSS死亡	보스 사망	บอสตายแล้ว
1003	2	1		2	1	击败_target_num_	擊敗_target_num_	Defeat _target_num_	_target_num_を倒す	_target_num_ 처치	เอาชนะ _target_num_
1004	2	2		1	1	击杀敌方目标数量	擊殺敵方目標數量	Kill enemies	撃破数	처치한 적 목표 수	จำนวน​การสังหาร​ศัตรู​เป้าหมาย​
1005	2	2		2	1	对敌方目标造成伤害总量	對敵方目標造成傷害總量	Total damage dealt to enemies	合計ダメージ	적 목표에게 준 총 대미지	ดา​เม​จร​วม​ทั้งหมด​ที่​สร้าง​ขึ้น​ต่อ​ศัตรู​เป้าหมาย​
1006	2	1		1	1	敌方特殊_target_num_目标全部死亡	敵方特殊_target_num_目標全部死亡	All _target_num_ special enemies are dead	敵の特殊_target_num_ターゲット全員死亡	적 특수 목표 _target_num_ 전부 사망	ศัตรู​เป้าหมาย​พิเศษ​ _target_num_​ ทั้งหมด​ตาย​แล้ว​
1007	3	1		1	1	获得胜利	獲得勝利	Achieve victory	勝利する	승리	ได้รับชัยชนะ
1008	2	2		2	1	武装死亡数量不超过_target_num_个	戰鬥員死亡數量不超過_target_num_個	Less than _target_num_ Combatants perish.	戦闘不能_target_num_体以下でクリアする。	전투원 사망 횟수가 _target_num_회 이하	จำนวน​ตัวละคร​ที่​เสียชีวิต​ไม่​เกิน​ _target_num_​ คน​
1009	3	1		2	1	通关时所有武装生命不低于_target_num_%	通關時所有戰鬥員生命不低於_target_num_%	All Combatants' HP is not lower than _target_num_% when clearing the stage.	クリア時、すべての戦闘員のHP≥_target_num_%。	클리어 시 모든 전투원 HP가 _target_num_% 이상	เมื่อ​ผ่าน​ด่าน​ HP​ ของ​ตัวละคร​ทั้งหมด​เหลือ​ไม่​ต่ำกว่า​ _target_num_%​
1011	2	2		1	1	通关时使用_diff_ 属性武装累计造成_target_num_以上/以下伤害	通關時使用_diff_ 屬性戰鬥員累計造成_target_num_以上/以下傷害	Use _diff_ type Armament and deal more/less _target_num_ total damage when clearing the stage	クリア時に_diff_ 属性の戦闘員で累計_target_num_以上/以下のダメージを与える	스테이지 클리어 시 _diff_ 속성 전투원이 부여하는 누적 대미지 _target_num_이상/이하	ขณะ​ผ่าน​ด่าน​ ใช้​ตัวละคร​ที่​มี​คุณสมบัติ​ _diff_​ สร้าง​ดา​เม​จ​สะสม​สูง​กว่า​/​ต่ำกว่า​ _target_num_​
1012	1	1		1	1	以包含_target_num_个以上/以下_diff_属性武装的编队通关	以包含_target_num_個以上/以下_diff_屬性戰鬥員的編隊通關	Clear the stage with a team including more/less than _target_num_ _diff_ type Armament(s)	Pending以包含_target_num_个以上/以下_diff_属性武装的编队通关	스테이지 클리어 시 편성팀의 _diff_ 속성 전투원 _target_num_명 이상/이하	ผ่าน​ด่าน​โดย​การ​จัด​ทีม​ที่​ประกอบด้วย​ตัวละคร​ที่​มี​คุณสมบัติ​ _diff_​ มากกว่า​/​น้อยกว่า​ _target_num_​ คน​
1013	1	1		2	1	编队中武装不超过/不少于_target_num_个并通关	編隊中戰鬥員不超過/不少於_target_num_個並通關	Clear the stage with no more than/at least _target_num_ Combatant(s) in the team.	Pending编队中武装不超过/不少于_target_num_个并通关	편성된 팀 내 전투원 _target_num_명 이상/이하로 스테이지 클리어	จัด​ทีม​ที่​มี​ตัวละคร​ไม่​เกิน​/​ไม่​น้อยกว่า​ _target_num_​ คน​ และ​ผ่าน​ด่าน​
1014	1	1		2	1	编队中_diff_职业武装不超过/不少于_target_num_个通关	編隊中_diff_職業戰鬥員不超過/不少於_target_num_個通關	Clear the stage with more/less than _target_num_ _diff_ class Armament(s) in the team	Pending编队中_diff_职业武装不超过/不少于_target_num_个通关	편성된 팀 내 _diff_ 직업 전투원 _target_num_명 이상/이하로 스테이지 클리어	จัด​ทีม​ที่​มี​ตัวละคร​คลาส​ _diff_​ ไม่​เกิน​/​ไม่​น้อยกว่า​ _target_num_​ คน​ และ​ผ่าน​ด่าน​
1015	1	1		2	1	编队中指定_diff_稀有度的武装不超过/不少于_target_num_个通关	編隊中指定_diff_稀有度的戰鬥員不超過/不少於_target_num_個通關	Clear the stage with more/less than _target_num_ specified Armament(s) of rarity _diff_ in the team	Pending编队中指定_diff_稀有度的武装不超过/不少于_target_num_个通关	편성된 팀 내 지정된 _diff_ 희귀도 전투원 _target_num_명 이상/이하로 스테이지 클리어	จัด​ทีม​ที่​มี​ตัวละคร​ที่​มีระดับ​ความ​หา​ยาก​ _diff_​ ไม่​เกิน​/​ไม่​น้อยกว่า​ _target_num_​ คน​ และ​ผ่าน​ด่าน​
1016	1	1		2	1	编队中指定_diff_角色的武装不超过/不少于_target_num_个通关	編隊中指定_diff_角色的戰鬥員不超過/不少於_target_num_個通關	Clear the stage with more/less than _target_num_ _diff_ character Armament(s) in the team	Pending编队中指定_diff_角色的武装不超过/不少于_target_num_个通关	편성된 팀 내 지정된 _diff_ 희귀도 전투원 _target_num_명 이상/이하로 스테이지 클리어	จัด​ทีม​ที่​มี​ตัวละคร​ _diff_​ ไม่​เกิน​/​ไม่​น้อยกว่า​ _target_num_​ คน​ และ​ผ่าน​ด่าน​
1017	3	1		2	1	结算时友方特殊召唤位生命值不低于_target_num_%	結算時友方特殊召喚位生命值不低於_target_num_%	Special Summon slot HP greater than _target_num_% at finalization	/	결산 시 특수 소환된 친구 HP가 _target_num_% 이상	ขณะ​การ​สิ้นสุด​ภารกิจ​ ตำแหน่ง​การอัญเชิญ​พิเศษ​ของ​ฝ่าย​เรา​จะ​ต้อง​มีค่า​ HP​ ไม่​น้อยกว่า​ _target_num_%​
1018	2	2		2	1	敌方释放sp技能总次数少于/大于_target_num_次	敵方釋放sp技能總次數少於/大於_target_num_次	Enemies cast Ultimates more/less than _target_num_ times	Pending敌方释放sp技能总次数少于/大于_target_num_次	적의 SP 스킬 시전 횟수는 _target_num_회보다 적거나 많음	จำนวน​โดยรวม​การ​ใช้​สกิล​ SP​ ของ​ฝ่าย​ศัตรู​น้อยกว่า​/​มากกว่า​ _target_num_​ ครั้ง​
1019	2	2		2	1	击败_diff_颜色的目标	擊敗_diff_顏色的目標	Defeat _diff_ color target(s)	属性カラー_diff_の敵を倒す。	_diff_ 컬러의 목표 처치	เอาชนะ​เป้าหมาย​สี​_diff_​
1020	2	2		2	1	击败_diff_类型怪物	擊敗_diff_類型怪物	Defeat _diff_ type monster(s)	_diff_タイプの敵を倒す。	_diff_ 유형의 몬스터 처치	เอาชนะ​มอนสเตอร์​ประเภท​_diff_​
1021	2	2		2	1	战斗内我方HIT次数达到_target_num_次（限定进攻卡）	戰鬥內我方HIT次數達到_target_num_次（限定進攻卡）	Allies reach _target_num_ HIT count during the battle (Attack cards only)	戦闘中、HIT数が_target_num_に到達する。（攻撃カードのみ）	전투 중 아군 히트 수 _target_num_회 달성(진격카드 한정)	ระหว่าง​การต่อสู้​ มี​จำนวน​ HIT​ ของ​ฝ่าย​เรา​ถึง​ _target_num_​ ครั้ง​ (​จำกัด​แค่​ด่าน​โจมตี​)​
2002	2	1		0	1	友方所有角色死亡	友方所有戰鬥員死亡	All allied Combatants perish.	味方全員が戦闘不能になる	친구의 전체 캐릭터 사망	ตัวละคร​ของ​ฝ่าย​เรา​ตาย​ทั้งหมด​
2003	2	2		1	1	对友方造成的治疗总量	對友方造成的治療總量	Total healing to allies	味方に与えるHP総回復量	친구에게 준 총 치유량	ปริมาณ​การฟื้นฟู​ทั้งหมด​ที่​เพื่อน​ร่วม​ทีม​ทำได้​
2004	2	2		1	1	对友方特殊ID目标造成治疗总量	對友方特殊ID目標造成治療總量	Total healing to allied special ID target	味方の特殊IDターゲットに与えるHP総回復量	특수ID 친구 목표에게 준 총 치유량	ปริมาณ​การฟื้นฟู​ทั้งหมด​ที่​เป้าหมาย​ ID​ พิเศษ​ฝ่าย​เรา​ทำได้​
2005	2	2		1	1	战斗中_diff_ 颜色技能牌使用次数为_target_num_	戰鬥中_diff_ 顏色技能牌使用次數為_target_num_	_target_num_ use(s) of _diff_ color Skill Card(s) during the battle	戦闘中、属性カラー_diff_の スキルを_target_num_回発動する	전투 중 _diff_ 컬러 스킬 카드 사용 횟수 _target_num_	ระหว่าง​การต่อสู้​ มี​จำนวน​การ​ใช้​การ์ด​สกิล​สี​_diff_​ เป็น​ _target_num_​ ครั้ง​
2006	2	2		1	1	战斗中_diff_ 技能类型使用次数为_target_num_	戰鬥中_diff_ 技能類型使用次數為_target_num_	_target_num_ use(s) of _diff_ skill types during the battle	戦闘中、_diff_ タイプのスキルを_target_num_回発動する	전투 중 _diff_ 유형 스킬 사용 횟수 _target_num_	ระหว่าง​การต่อสู้​ มี​จำนวน​การ​ใช้​สกิล​ประเภท​ _diff_​ เป็น​ _target_num_​ ครั้ง​
2007	2	2		1	1	战斗中操作阶段合成_target_num_次卡牌	戰鬥中操作階段合成_target_num_次卡牌	Combine cards _target_num_ time(s) during the operations phase of battle	戦闘中、カードを_target_num_回合成する	전투 중 조작 페이즈에 카드를 합성 _target_num_회	ระหว่าง​การต่อสู้​ ทำการ​ผสม​การ์ด​ถึง​ _target_num_​ ครั้ง​
2008	2	2		1	1	战斗中合成出_target_num_张_diff_星技能	戰鬥中合成出_target_num_張_diff_星技能	Combine _target_num_ _diff_★ skills during the battle	戦闘中、★_diff_スキルを_target_num_枚合成する	전투 중 _target_num_장의 _diff_★ 스킬 카드 합성	ระหว่าง​การต่อสู้​ ทำการ​ผสม​การ์ด​สกิล​ _diff_​★​ _target_num_​ใบ​
2009	2	2		1	1	触发_target_num_阶合卡技	觸發_target_num_階合卡技	Trigger _target_num_-tier Fusion Skills.	Pending触发_target_num_阶合卡技	_target_num_등급 합성 카드 스킬 사용	เกิด​การ​รวม​การ์ด​ขั้น​ _target_num_​
2010	2	2		1	1	释放SP技能_target_num_次	釋放SP技能_target_num_次	Use Ultimate _target_num_ time(s)	SP技を_target_num_発動する	SP 스킬 _target_num_회 사용	ใช้​สกิล​ SP​ _target_num_​ ครั้ง​
2011	2	2		1	1	触发相克属性的技能牌_target_num_次	觸發相克屬性的技能牌_target_num_次	Trigger countering Skill Card _target_num_ time(s)	有利属性のスキルカードを_target_num_回発動	상극 속성 공격 스킬 카드 _target_num_회 사용	ใช้​การ์ด​สกิล​ที่เกิด​การชนะ​ทาง​ _target_num_​ ครั้ง​
2012	2	2		0	1	击杀所有在场地敌方单位	擊殺所有在場地敵方單位	Kill all enemy units on the field	フィールドにいる敵全体を倒す。	해당 장소에 있는 모든 적 처치	สังหาร​ศัตรู​ทั้งหมด​ใน​สนาม​
2013	2	2		0	1	将BOSS击杀到_target_num_血量以下	將BOSS擊殺到_target_num_血量以下	Reduce the BOSS's health to below _target_num_ .	BOSSのHPを_target_num_以下にする	보스 HP _target_num_ 이하까지 공격	โจมตี​บอส​ให้​เหลือ​ HP​ ต่ำกว่า​ _target_num_​
2014	2	2		0	1						
2015	2	2		0	1						
