id	regularReward	regularRewardNum	starRewardId	starRewardNum	fristRewards	fristRewardsNum	rewardID	rewardNum	totalWeight	rewardWeight	raidRewardID	raidRewardNum	currencyID	currencyNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
301010	0	0	0	0	4190001;3000003;4110001	200;100000;20									4190001;3000003;4110001	200;100000;20	3;3;3	1
301020	0	0	0	0	4190001;3000003;4110001	200;100000;20									4190001;3000003;4110001	200;100000;20	3;3;3	1
301030	0	0	0	0	4190001;3000003;4110001	200;100000;20									4190001;3000003;4110001	200;100000;20	3;3;3	1
301040	0	0	0	0	4190004;3000003;4110001	500;200000;50	7113001|7101008|7103002	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7113001;7101008;7103002	500;200000;50;2;10;10	3;3;3;2;2;2	1
302010	0	0	0	0	4190001;3000003;4110001	250;150000;20									4190001;3000003;4110001	250;150000;20	3;3;3	1
302020	0	0	0	0	4190001;3000003;4110001	250;150000;20									4190001;3000003;4110001	250;150000;20	3;3;3	1
302030	0	0	0	0	4190001;3000003;4110001	250;150000;20									4190001;3000003;4110001	250;150000;20	3;3;3	1
302040	0	0	0	0	4190004;3000003;4110001	550;300000;50	7130008|7113008|7102008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7130008;7113008;7102008	550;300000;50;2;10;10	3;3;3;2;2;2	1
303010	0	0	0	0	4190001;3000003;4110001	300;200000;20									4190001;3000003;4110001	300;200000;20	3;3;3	1
303020	0	0	0	0	4190001;3000003;4110001	300;200000;20									4190001;3000003;4110001	300;200000;20	3;3;3	1
303030	0	0	0	0	4190001;3000003;4110001	300;200000;20									4190001;3000003;4110001	300;200000;20	3;3;3	1
303040	0	0	0	0	4190004;3000003;4110001	600;400000;50	7131008|7106008|7112008	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7131008;7106008;7112008	600;400000;50;2;10;10	3;3;3;2;2;2	1
304010	0	0	0	0	4190001;3000003;4110001	350;250000;20									4190001;3000003;4110001	350;250000;20	3;3;3	1
304020	0	0	0	0	4190001;3000003;4110001	350;250000;20									4190001;3000003;4110001	350;250000;20	3;3;3	1
304030	0	0	0	0	4190001;3000003;4110001	350;250000;20									4190001;3000003;4110001	350;250000;20	3;3;3	1
304040	0	0	0	0	4190004;3000003;4110001	650;500000;50	7114001|7108004|7106010	2|10|10	10000	3500|3250|3250	4101001	2			4190004;3000003;4110001;7114001;7108004;7106010	650;500000;50;2;10;10	3;3;3;2;2;2	1
305010	0	0	0	0	4190001;3000003;4110001	400;300000;20									4190001;3000003;4110001	400;300000;20	3;3;3	1
305020	0	0	0	0	4190001;3000003;4110001	400;300000;20									4190001;3000003;4110001	400;300000;20	3;3;3	1
305030	0	0	0	0	4190001;3000003;4110001	400;300000;20									4190001;3000003;4110001	400;300000;20	3;3;3	1
