id	actionIcon	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int
200	87:home_btn_task_warehouse	1	仓库	倉庫	Inventory	倉庫	창고	โกดัง
250	87:home_btn_task_console	1	合成	合成	Fusion	合成	합성	การผสาน
203	87:home_btn_setup	1	设置	設置	Settings	設定	설정	ตั้งค่า
260	87:home_btn_team	1	编队	編隊	Teams	編成	편성	จัดทีม
229	87:home_btn_friends	1	好友	好友	Friends	フレンド	친구	เพื่อน
907	87:home_btn_atlas	1	图鉴	圖鑑	Gallery	図鑑	도감	สมุดภาพ
2018	87:home_btn_rank	1	排行榜	排行榜	Leaderboard	ランキング	랭킹	บอร์ดอันดับ
202	87:home_btn_notice	1	公告	公告	Notice	お知らせ	공지	ประกาศ
29	87:home_btn_train	1	木人桩	木人樁	Training	火力テスト	시뮬레이터	หุ่นซ้อม
