id	priority	order	speed	play	automatic	uiType	uiChat	releaseTime	ai	inputTips	undo	manualEnd	waveShow	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	3	1	0;0	0;0	1;0	1	0	0	1	1	1	0	1	1
2	3	2	2;2	2;2	1;0	2	1	1	2	1	1	0	1	1
3	1	2	2;2	2;1	2;1	2	0	0	1	1	1	0	1	1
4	3	2	2;2	2;2	1;0	2	1	1	1	1	1	0	1	1
5	1	1	0;0	0;0	2;2	1	0	0	1	1	1	0	1	1
6	1	1	0;0	0;0	0;0	1	0	0	1	1	1	0	1	1
7	1	1	0;0	0;0	0;2	1	0	0	1	1	1	0	1	1
8	5	1	0;0	0;0	0;0	1	0	0	1	1	1	0	1	1
9	1	1	0;0	0;0	2;2	1	0	0	1	1	1	0	1	1
10	3	1	2;3	2;1	0;0	3	1	1	1	0	0	0	0	1
11	3	1	2;1	2;2	2;2	1	0	0	1	1	1	0	1	1
12	3	1	0;0	0;0	2;2	1	0	0	1	1	1	0	1	1
13	1	1	0;0	0;0	1;0	1	0	0	1	1	1	0	1	1
14	3	1	0;0	0;0	1;0	1	0	0	2	1	1	0	1	1
15	1	1	0;0	0;0	1;0	1	0	0	1	1	1	0	1	1
16	5	1	0;0	0;0	1;0	1	0	0	1	1	1	0	1	1
17	1	1	0;0	0;0	1;0	1	0	0	1	1	1	0	1	1
