id	showItem	showItemNum	showItemTag	fristRewards	fristRewardsNum	regularReward	regularRewardNum	rewardID	rewardNum	totalWeight	rewardWeight	basicExp	basicRoleExp	currencyID	currencyNum	raidRewardID	raidRewardNum	status	boxNumRand	rewardRandom	gRewardItem	gRewardNum	gRewardItemRandom	sRewardItem	sRewardNum	sRewardItemRandom	cRewardItem	cRewardNum	cRewardItemRandom
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
30301	4102101;4102101;4102101;4102101;4102101;4101001	1;1;3;2;1;4	3;1;2;2;2;6	4102101	1	4102101	1	4102101,4102101,4102101	1,2,3	3000	1000,1000,1000	10	200	3000003	400	4101001	4	1	2;2	6000;3600;400	4102103	1	400	4102102	1	3600	4102101	1	6000
30302	4102101;4102102;4102101;4102101;4102101;4101001	3;1;6;5;4;5	3;1;2;2;2;6	4102101	3	4102102	1	4102101,4102101,4102101	4,5,6	3000	1000,1000,1000	12	240	3000003	480	4101001	5	1	2;2	6000;3600;400	4102103	2	400	4102102	2	3600	4102101	2	6000
30303	4102102;4102102;4102102;4102102;4102102;4102101;4102101;4101001	1;1;5;4;3;13;12;6	3;1;2;2;2;2;2;6	4102102	1	4102102	1	4102101,4102101,4102102,4102102,4102102	12,13,3,4,5	18000	6000,6000,2000,2000,2000	14	280	3000003	560	4101001	6	1	2;3	6000;3600;400	4102104	1	400	4102103	1	3600	4102102	1	6000
30304	4102102;4102102;4102102;4102102;4102102;4102101;4102101;4101001	3;5;5;4;3;13;12;7	3;1;2;2;2;2;2;6	4102102	3	4102102	5	4102101,4102101,4102102,4102102,4102102	12,13,3,4,5	18000	6000,6000,2000,2000,2000	16	320	3000003	640	4101001	7	1	2;3	6000;3600;400	4102104	2	400	4102103	2	3600	4102102	2	6000
30305	4102103;4102103;4102103;4102103;4102102;4102101;4101001	1;1;3;1;10;20;8	3;1;2;2;2;2;6	4102103	1	4102103	1	4102101,4102102,4102103,4102103	20,10,1,3	62000	15000,15000,7000,25000	18	360	3000003	720	4101001	8	1	2;4	6000;3600;400	4102105	1	400	4102104	1	3600	4102103	1	6000
30306	4102103;4102103;4102103;4102103;4102102;4102101;4101001	3;3;3;1;10;20;8	3;1;2;2;2;2;6	4102103	3	4102103	3	4102101,4102102,4102103,4102103	20,10,1,3	62000	15000,15000,7000,25000	20	400	3000003	800	4101001	8	1	3;4	6000;3600;400	4102105	2	400	4102104	2	3600	4102103	2	6000
30401	4102201;4102201;4102201;4102201;4102201;4101001	1;1;3;2;1;4	3;1;2;2;2;6	4102201	1	4102201	1	4102201,4102201,4102201	1,2,3	3000	1000,1000,1000	10	200	3000003	400	4101001	4	1	2;2	6000;3600;400	4102203	1	400	4102202	1	3600	4102201	1	6000
30402	4102201;4102202;4102201;4102201;4102201;4101001	3;1;6;5;4;5	3;1;2;2;2;6	4102201	3	4102202	1	4102201,4102201,4102201	4,5,6	3000	1000,1000,1000	12	240	3000003	480	4101001	5	1	2;2	6000;3600;400	4102203	2	400	4102202	2	3600	4102201	2	6000
30403	4102202;4102202;4102202;4102202;4102202;4102201;4102201;4101001	1;1;5;4;3;13;12;6	3;1;2;2;2;2;2;6	4102202	1	4102202	1	4102201,4102201,4102202,4102202,4102202	12,13,3,4,5	18000	6000,6000,2000,2000,2000	14	280	3000003	560	4101001	6	1	2;3	6000;3600;400	4102204	1	400	4102203	1	3600	4102202	1	6000
30404	4102202;4102202;4102202;4102202;4102202;4102201;4102201;4101001	3;5;5;4;3;13;12;7	3;1;2;2;2;2;2;6	4102202	3	4102202	5	4102201,4102201,4102202,4102202,4102202	12,13,3,4,5	18000	6000,6000,2000,2000,2000	16	320	3000003	640	4101001	7	1	2;3	6000;3600;400	4102204	2	400	4102203	2	3600	4102202	2	6000
30405	4102203;4102203;4102203;4102203;4102202;4102201;4101001	1;1;3;1;10;20;8	3;1;2;2;2;2;6	4102203	1	4102203	1	4102201,4102202,4102203,4102203	20,10,1,3	62000	15000,15000,7000,25000	18	360	3000003	720	4101001	8	1	2;4	6000;3600;400	4102205	1	400	4102204	1	3600	4102203	1	6000
30406	4102203;4102203;4102203;4102203;4102202;4102201;4101001	3;3;3;1;10;20;8	3;1;2;2;2;2;6	4102203	3	4102203	3	4102201,4102202,4102203,4102203	20,10,1,3	62000	15000,15000,7000,25000	20	400	3000003	800	4101001	8	1	3;4	6000;3600;400	4102205	2	400	4102204	2	3600	4102203	2	6000
30501	4102301;4102301;4102301;4102301;4102301;4101001	1;1;3;2;1;4	3;1;2;2;2;6	4102301	1	4102301	1	4102301,4102301,4102301	1,2,3	3000	1000,1000,1000	10	200	3000003	400	4101001	4	1	2;2	6000;3600;400	4102303	1	400	4102302	1	3600	4102301	1	6000
30502	4102301;4102302;4102301;4102301;4102301;4101001	3;1;6;5;4;5	3;1;2;2;2;6	4102301	3	4102302	1	4102301,4102301,4102301	4,5,6	3000	1000,1000,1000	12	240	3000003	480	4101001	5	1	2;2	6000;3600;400	4102303	2	400	4102302	2	3600	4102301	2	6000
30503	4102302;4102302;4102302;4102302;4102302;4102301;4102301;4101001	1;1;5;4;3;13;12;6	3;1;2;2;2;2;2;6	4102302	1	4102302	1	4102301,4102301,4102302,4102302,4102302	12,13,3,4,5	18000	6000,6000,2000,2000,2000	14	280	3000003	560	4101001	6	1	2;3	6000;3600;400	4102304	1	400	4102303	1	3600	4102302	1	6000
30504	4102302;4102302;4102302;4102302;4102302;4102301;4102301;4101001	3;5;5;4;3;13;12;7	3;1;2;2;2;2;2;6	4102302	3	4102302	5	4102301,4102301,4102302,4102302,4102302	12,13,3,4,5	18000	6000,6000,2000,2000,2000	16	320	3000003	640	4101001	7	1	2;3	6000;3600;400	4102304	2	400	4102303	2	3600	4102302	2	6000
30505	4102303;4102303;4102303;4102303;4102302;4102301;4101001	1;1;3;1;10;20;8	3;1;2;2;2;2;6	4102303	1	4102303	1	4102301,4102302,4102303,4102303	20,10,1,3	62000	15000,15000,7000,25000	18	360	3000003	720	4101001	8	1	2;4	6000;3600;400	4102305	1	400	4102304	1	3600	4102303	1	6000
