id	regularReward	regularRewardNum	starRewardId	starRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int	int	int
100000	0	0	0	0						1
100010	0	0	0	0						1
100020	0	0	0	0						1
100030	0	0	0	0						1
101010	0	0	0	0	4110001;3000003	3;400	4110001;3000003	3;400	3;3	1
101020	0	0	0	0	5510001;4110001;3000003	1;3;500	5510001;4110001;3000003	1;3;500	3;3;3	1
101030	0	0	0	0	4110001;3000003	3;600	4110001;3000003	3;600	3;3	1
101040	0	0	0	0	4110001;3000003	3;700	4110001;3000003	3;700	3;3	1
101050	0	0	0	0	4110001;3000003	3;800	4110001;3000003	3;800	3;3	1
101060	0	0	0	0	4101001;4110001;3000003	5;3;900	4101001;4110001;3000003	5;3;900	3;3;3	1
101070	0	0	0	0	4110001;3000003	3;1000	4110001;3000003	3;1000	3;3	1
101080	0	0	0	0	4190001;102008;5100001;4110001;3000003	50;1;1;3;1100	4190001;102008;5100001;4110001;3000003	50;1;1;3;1100	3;3;3;3;3	1
101090	0	0	0	0	4110001;3000003	3;1200	4110001;3000003	3;1200	3;3	1
101100	0	0	0	0	4110001;3000003	3;1300	4110001;3000003	3;1300	3;3	1
101101	0	0	0	0	4110001;3000003	3;1400	4110001;3000003	3;1400	3;3	1
101102	0	0	0	0	4110001;3000003;5600092	3;1500;10	4110001;3000003;5600092	3;1500;10	3;3;3	1
101110	0	0	0	0	4110001;3000003	3;1600	4110001;3000003	3;1600	3;3	1
101111	0	0	0	0	4110001;3000003	3;1700	4110001;3000003	3;1700	3;3	1
101120	0	0	0	0	4110001;3000003	3;1800	4110001;3000003	3;1800	3;3	1
101170	0	0	0	0	4110001;3000003	3;1900	4110001;3000003	3;1900	3;3	1
101180	0	0	0	0	4110001;3000003	3;2000	4110001;3000003	3;2000	3;3	1
101190	0	0	0	0	4190001;5100001;4110001;3000003	50;1;3;2100	4190001;5100001;4110001;3000003	50;1;3;2100	3;3;3;3	1
102010	0	0	0	0	4110001;3000003	3;2200	4110001;3000003	3;2200	3;3	1
102020	0	0	0	0	4110001;3000003	3;100000	4110001;3000003	3;100000	3;3	1
102050	0	0	0	0	4101001;4110001;3000003	5;3;10000	4101001;4110001;3000003	5;3;10000	3;3;3	1
102060	0	0	0	0	4101001;4110001;3000003	5;3;10500	4101001;4110001;3000003	5;3;10500	3;3;3	1
102070	0	0	0	0	4101001;4110001;3000003	5;3;11000	4101001;4110001;3000003	5;3;11000	3;3;3	1
102080	0	0	0	0	4101001;4110001;3000003	5;3;11500	4101001;4110001;3000003	5;3;11500	3;3;3	1
102090	0	0	0	0	103008;4101001;4110001;3000003	1;5;3;12000	103008;4101001;4110001;3000003	1;5;3;12000	3;3;3;3	1
102100	0	0	0	0	4500101;4101001;4110001;3000003	10;5;3;12500	4500101;4101001;4110001;3000003	10;5;3;12500	3;3;3;3	1
102110	0	0	0	0	4101001;4110001;3000003	5;3;13000	4101001;4110001;3000003	5;3;13000	3;3;3	1
102130	0	0	0	0	4101001;4110001;3000003	5;3;100000	4101001;4110001;3000003	5;3;100000	3;3;3	1
102140	0	0	0	0	4190001;4101001;5100001;4110001;3000003	50;5;1;3;10000	4190001;4101001;5100001;4110001;3000003	50;5;1;3;10000	3;3;3;3;3	1
102150	0	0	0	0	4101001;4110001;3000003	5;3;10500	4101001;4110001;3000003	5;3;10500	3;3;3	1
102160	0	0	0	0	104003;4101001;4110001;3000003	1;5;3;11000	104003;4101001;4110001;3000003	1;5;3;11000	3;3;3;3	1
102161	0	0	0	0	3000018;4101001;4110001;3000003	300;5;3;11500	3000018;4101001;4110001;3000003	300;5;3;11500	3;3;3;3	1
102170	0	0	0	0	670105004;4101001;4110001;3000003	10;5;3;12000	670105004;4101001;4110001;3000003	10;5;3;12000	3;3;3;3	1
102180	0	0	0	0	3000018;4101001;4110001;3000003	300;5;3;12500	3000018;4101001;4110001;3000003	300;5;3;12500	3;3;3;3	1
102190	0	0	0	0	3000018;4101001;4110001;3000003	300;5;3;13000	3000018;4101001;4110001;3000003	300;5;3;13000	3;3;3;3	1
102210	0	0	0	0	4190001;4101001;4110001;3000003	50;5;3;13500	4190001;4101001;4110001;3000003	50;5;3;13500	3;3;3;3	1
102211	0	0	0	0	4101001;4110001;3000003	5;3;14000	4101001;4110001;3000003	5;3;14000	3;3;3	1
102220	0	0	0	0	4101001;4110001;3000003	5;3;14500	4101001;4110001;3000003	5;3;14500	3;3;3	1
102250	0	0	0	0	4190001;4101001;4110001;3000003	50;5;3;15000	4190001;4101001;4110001;3000003	50;5;3;15000	3;3;3;3	1
102260	0	0	0	0	4190001;4101001;4110001;3000003	50;5;3;15500	4190001;4101001;4110001;3000003	50;5;3;15500	3;3;3;3	1
102261	0	0	0	0	4101001;4110001;3000003	5;3;16000	4101001;4110001;3000003	5;3;16000	3;3;3	1
102270	0	0	0	0	4190001;4101001;5100001;4110001;3000003	50;5;1;3;16500	4190001;4101001;5100001;4110001;3000003	50;5;1;3;16500	3;3;3;3;3	1
102310	0	0	0	0	4101001;4110001;3000003	5;3;17000	4101001;4110001;3000003	5;3;17000	3;3;3	1
103001	0	0	0	0	4190001;4101001;4110001;3000003	50;5;3;17500	4190001;4101001;4110001;3000003	50;5;3;17500	3;3;3;3	1
