id	type1	conditionParam1	comparisonOperators1	otherParam1	group1	type2	conditionParam2	comparisonOperators2	otherParam2	group2	type3	conditionParam3	comparisonOperators3	otherParam3	group3	show	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
-1	1000		0	0	1	2002		0	0	2	0		0	0	0	0	1						
0	1001		0	0	1	0		0	0	0	0		0	0	0	0	1						
10001	1000		0	0	1	0		0	0	0	0		0	0	0	1	1						
10002	1001		0	0	1	0		0	0	0	0		0	0	0	1	1						
10004	1002		0	100215	1	2004		1	1000	1	0		0	0	0	1	1						
10005	1000		0	0	1	2002		0	0	2	0		0	0	0	1	1						
10006	1006		0	0	1	0		0	0	0	0		0	0	0	1	1						
10007	1001		0	0	1	1007		0	0	2	0		0	0	0	1	1						
10008	1002		0	0	1	0		0	0	0	0		0	0	0	1	1	BOSS死亡	BOSS死亡	Boss is dead	BOSS死亡	보스 사망	บอสตายแล้ว
10009	1003	31101102	0	1	1	0		0	0	0	0		0	0	0	1	1						
10010	1000		1	3	1	1001		0	0	2	0		0	0	0	1	1	坚持_0_ target_num_回合	堅持_0_ target_num_回合	Hold on for _0_ target_num_ turn(s)	_0_ target_num_ターンを耐える	_0_ target_num_턴까지 버티기	ยืนหยัด​อยู่​ได้​ถึง​ _0_​ target_num_​ เทิร์น​
10011	1000		1	5	1	1001		0	0	2	0		0	0	0	1	1	坚持_0_ target_num_回合	堅持_0_ target_num_回合	Hold on for _0_ target_num_ turn(s)	_0_ target_num_ターンを耐える	_0_ target_num_턴까지 버티기	ยืนหยัด​อยู่​ได้​ถึง​ _0_​ target_num_​ เทิร์น​
10012	2002		0	0	1	0		0	0	0	0		0	0	0	1	1						
10013	1003	31202102	0	1	1	0		0	0	0	0		0	0	0	1	1						
3900101	2007		1	5	1	0		0	0	0	0		0	0	0	1	1						
3900201	2010		1	1	1	0		0	0	0	0		0	0	0	1	1						
3900301	2010		1	1	1	0		0	0	0	0		0	0	0	1	1						
3900401	2011		1	5	1	0		0	0	0	0		0	0	0	1	1						
3900501	2011		1	6	1	0		0	0	0	0		0	0	0	1	1						
3900601	1002		0	0	1	0		0	0	0	0		0	0	0	1	1						
3900701	1002		0	0	1	0		0	0	0	0		0	0	0	1	1						
3900801	1002		0	0	1	0		0	0	0	0		0	0	0	1	1						
10110	1003	32026101	0	0	1	0		0	0	0	0		0	0	0	1	1						
10210	1003	32026102	0	0	1	0		0	0	0	0		0	0	0	1	1						
10310	1003	32026104	0	0	1	0		0	0	0	0		0	0	0	1	1						
10207	1003	32010104	0	0	1	0		0	0	0	0		0	0	0	1	1						
2	1000		0	0	1	2002		0	0	2	1003	33001001	0	0	3	1	1						
3	1000		0	0	1	2002		0	0	2	1003	33006001	0	0	3	1	1						
10014	1004	0	1	6	1	0	0	0	0	0	0	0	0	0	0	0	1						
10015	1001		0	0	1	1000		0	4	2	0		0	0	0	0	1						
10016	2015	7252	1	1	1	1001		0	0	2	0		0	0	0	0	1						
10017	1000		1	4	1	1001		0	0	2	0		0	0	0	1	1						
10018	2002		0	0	1	1001		0	0	2	0		0	0	0	1	1						
10019	1002		0	0	1	1000		1	10	2	0		0	0	0	1	1						
10020	2002		0	0	1	0		0	0	0	0		0	0	0	0	1						
10021	1008		1	1	1	0		0	0	0	0		0	0	0	1	1						
10022	1002		0	0	1	1000		1	10	2	2002		0	0	3	1	1						
10023	1004		1	99	1	0		0	0	0	0		0	0	0	1	1						
