ID	type	type2	gainId	gainNum	costIteam	costIteamNum	costId	status
int	int	int	int	int	int	int	int	int
100001	1	1	4102031	1	4102021	10	100002	1
100002	1	1	4102021	1	4102011	10	0	1
100101	1	1	4102102	1	4102101	5	0	1
100102	1	1	4102103	1	4102102	5	100101	1
100103	1	1	4102104	1	4102103	5	100102	1
100104	1	1	4102105	1	4102104	5	100103	1
100111	1	2	4102101	1	4102201	2	0	1
100112	1	2	4102102	1	4102202	2	0	1
100113	1	2	4102103	1	4102203	2	0	1
100114	1	2	4102104	1	4102204	2	0	1
100115	1	2	4102105	1	4102205	2	0	1
100117	1	2	4102101	1	4102301	2	0	1
100118	1	2	4102102	1	4102302	2	0	1
100119	1	2	4102103	1	4102303	2	0	1
100120	1	2	4102104	1	4102304	2	0	1
100121	1	2	4102105	1	4102305	2	0	1
100201	1	1	4102202	1	4102201	5	0	1
100202	1	1	4102203	1	4102202	5	100201	1
100203	1	1	4102204	1	4102203	5	100202	1
100204	1	1	4102205	1	4102204	5	100203	1
100211	1	2	4102201	1	4102101	2	0	1
100212	1	2	4102202	1	4102102	2	0	1
100213	1	2	4102203	1	4102103	2	0	1
100214	1	2	4102204	1	4102104	2	0	1
100215	1	2	4102205	1	4102105	2	0	1
100217	1	2	4102201	1	4102301	2	0	1
100218	1	2	4102202	1	4102302	2	0	1
100219	1	2	4102203	1	4102303	2	0	1
100220	1	2	4102204	1	4102304	2	0	1
100221	1	2	4102205	1	4102305	2	0	1
100301	1	1	4102302	1	4102301	5	0	1
100302	1	1	4102303	1	4102302	5	100301	1
100303	1	1	4102304	1	4102303	5	100302	1
100304	1	1	4102305	1	4102304	5	100303	1
100311	1	2	4102301	1	4102101	2	0	1
100312	1	2	4102302	1	4102102	2	0	1
100313	1	2	4102303	1	4102103	2	0	1
100314	1	2	4102304	1	4102104	2	0	1
100315	1	2	4102305	1	4102105	2	0	1
100317	1	2	4102301	1	4102201	2	0	1
100318	1	2	4102302	1	4102202	2	0	1
100319	1	2	4102303	1	4102203	2	0	1
100320	1	2	4102304	1	4102204	2	0	1
100321	1	2	4102305	1	4102205	2	0	1
100401	1	2	4102401	1	4102101	3	0	1
100402	1	2	4102402	1	4102102	3	0	1
100403	1	2	4102403	1	4102103	3	0	1
100404	1	2	4102404	1	4102104	3	0	1
100405	1	2	4102405	1	4102105	3	0	1
100407	1	2	4102401	1	4102201	3	0	1
100408	1	2	4102402	1	4102202	3	0	1
100409	1	2	4102403	1	4102203	3	0	1
100410	1	2	4102404	1	4102204	3	0	1
100411	1	2	4102405	1	4102205	3	0	1
100413	1	2	4102401	1	4102301	3	0	1
100414	1	2	4102402	1	4102302	3	0	1
100415	1	2	4102403	1	4102303	3	0	1
100416	1	2	4102404	1	4102304	3	0	1
100417	1	2	4102405	1	4102305	3	0	1
100419	1	1	4102402	1	4102401	5	0	1
100420	1	1	4102403	1	4102402	5	100419	1
100421	1	1	4102404	1	4102403	5	100420	1
100422	1	1	4102405	1	4102404	5	100421	1
100501	1	2	4102501	1	4102101	3	0	1
100502	1	2	4102502	1	4102102	3	0	1
100503	1	2	4102503	1	4102103	3	0	1
100504	1	2	4102504	1	4102104	3	0	1
100505	1	2	4102505	1	4102105	3	0	1
100507	1	2	4102501	1	4102201	3	0	1
100508	1	2	4102502	1	4102202	3	0	1
100509	1	2	4102503	1	4102203	3	0	1
100510	1	2	4102504	1	4102204	3	0	1
100511	1	2	4102505	1	4102205	3	0	1
100513	1	2	4102501	1	4102301	3	0	1
100514	1	2	4102502	1	4102302	3	0	1
100515	1	2	4102503	1	4102303	3	0	1
100516	1	2	4102504	1	4102304	3	0	1
100517	1	2	4102505	1	4102305	3	0	1
100519	1	1	4102502	1	4102501	5	0	1
100520	1	1	4102503	1	4102502	5	100519	1
100521	1	1	4102504	1	4102503	5	100520	1
100522	1	1	4102505	1	4102504	5	100521	1
100701	2	1	4100022	1	4100021	3	0	1
100702	2	1	4100023	1	4100022	3	100701	1
100703	2	1	4100024	1	4100023	3	100702	1
100704	2	1	4100025	1	4100024	3	100703	1
100837	1	4	138008	1	770138008	1000	0	1
100838	1	4	103012	1	770103012	1000	0	1
