id	groupId	roleId	itemNum	status
int	int	int	int	int
1	10101	4190004	120	1
2	10101	4190001	120	1
3	10101	3000002	120	1
4	20101	4190004	240	1
5	20101	4190001	240	1
6	20101	3000002	240	1
7	30101	4190004	480	1
8	30101	4190001	480	1
9	30101	3000002	480	1
10	40101	4190004	720	1
11	40101	4190001	720	1
12	40101	3000002	720	1
13	50101	4190004	1200	1
14	50101	4190001	1200	1
15	50101	3000002	1200	1
301	10102	4190004	80	1
302	10102	4190001	80	1
303	10102	3000002	80	1
304	10102	3000017	400	1
305	10102	3000017	300	1
306	10102	3000017	300	1
307	20102	4190004	160	1
308	20102	4190001	160	1
309	20102	3000002	160	1
310	20102	3000017	800	1
311	20102	3000017	600	1
312	20102	3000017	600	1
313	30102	4190004	320	1
314	30102	4190001	320	1
315	30102	3000002	320	1
316	30102	3000017	1600	1
317	30102	3000017	1200	1
318	30102	3000017	1200	1
319	40102	4190004	480	1
320	40102	4190001	480	1
321	40102	3000002	480	1
322	40102	3000017	2400	1
323	40102	3000017	1800	1
324	40102	3000017	1800	1
325	50102	4190004	800	1
326	50102	4190001	800	1
327	50102	3000002	800	1
328	50102	3000017	4000	1
329	50102	3000017	3000	1
330	50102	3000017	3000	1
601	10103	3000017	100	1
602	20103	3000017	200	1
603	30103	3000017	400	1
604	40103	3000017	600	1
605	50103	3000017	1000	1
