id	upperLimit	lowerLimit	reward	rewardNum	mail	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	4190004;3000017	500;1000	40005	1	排名第1	排名第1	Rank No.1	1位	랭킹 1위	อันดับที่ 1
2	2	2	4190004;3000017	400;900	40005	1	排名第2	排名第2	Rank No.2	2位	랭킹 2위	อันดับที่ 2
3	3	3	4190004;3000017	300;800	40005	1	排名第3	排名第3	Rank No.3	3位	랭킹 3위	อันดับที่ 3
4	4	4	4190004;3000017	200;700	40005	1	排名第4	排名第4	Rank No.4	4位	랭킹 4위	อันดับที่ 4
5	5	10	4190004;3000017	100;600	40005	1	排名达到前10	排名達到前10	Reach the Top 10 in the rankings.	10位以内	랭킹 10위 이내	ติด TOP 10
6	11	20	3000017	500	40005	1	排名达到前20	排名達到前20	Reach the Top 20 in the rankings.	20位以内	랭킹 20위 이내	ติด TOP 20
7	21	100	3000017	400	40005	1	排名达到前100	排名達到前100	Reach the Top 100 in the rankings.	ランキング100位に入る。	랭킹 상위 100위 달성	ติด TOP 100
8	101	500	3000017	300	40005	1	排名达到前500	排名達到前500	Reach the Top 500 in the rankings.	ランキング500位に入る。	랭킹 상위 500위 달성	ติด TOP 500
9	501	1000	3000017	200	40005	1	排名达到前1000	排名達到前1000	Reach the Top 1000 in the rankings.	ランキング1000位に入る。	랭킹 상위 1,000위 달성	ติด TOP 1,000
10	1001	99999999	3000017	150	40005	1	排名未达到前1000	排名未達到前1000	Outside the Top 1000	1000位以外	랭킹 1000위 미진입	ไม่ติด TOP 1,000
