id	activityId	placeId	levelName	unlockRepaintingQuestId	type	battleCardNpcId	pic	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
11300901	1	101	1		1		192:activity_hefeng_main_configuration_1	0			1	50000	3000004	10			99	0	4	0	0	1	邀请	邀請	Invite	招待	초대	เชิญ	那你们前去宴会，与各位宾客寒暄。你一边惊叹于赤沼莲小姐似乎是个伪善的人，一边却又听闻她忽然不知去向的消息……等等，角落里那个略显熟悉的神秘人是谁？！	那你們前去宴會，與各位賓客寒暄。你一邊驚歎於赤沼蓮小姐似乎是個偽善的人，一邊卻又聽聞她忽然不知去向的消息……等等，角落裡那個略顯熟悉的神秘人是誰？！	You're invited to a party where you can mingle with the guests. While you're taken aback by how hypocritical Akanuma Ren seems, you also hear whispers that she has mysteriously gone missing. Wait, who's that stranger in the corner that looks familiar?	あなたたちは宴に行き、賓客と挨拶を交わす。赤沼蓮が偽善者であることに驚きつつも、彼女が突然行方不明になった話を耳にした。待って、あの隅にいる謎の人、なんだか見覚えがある？！	연회에서 각 손님들을 맞이했다. 당신은 아카누마 렌의 위선적인 듯한 모습에 놀라는 한편, 그녀가 갑자기 사라졌다는 소식을 듣게 된다. 그때 구석에 다소 익숙한 수수께끼의 사람이 보였는데 과연 누구일까?	พวกคุณ​ไป​ร่วม​งานเลี้ยง​ ทักทาย​พูดคุย​กับ​แขก​ ขณะที่​คุณ​รู้สึก​แปลกใจ​กับ​ภาพลักษณ์​ของ​คุณหนู​อาคานุมะ เร็น​ ก็​ได้ยิน​ข่าว​ว่า​เธอ​หายตัว​ไป​อย่าง​ไร้​ร่องรอย​...​ เอ๊ะ​ คน​ปริศนา​ที่​ดู​คุ้นตา​ใน​มุม​นั้น​เป็น​ใคร​กัน​?!​
11300902	1	101	2		2		192:activity_hefeng_main_configuration_2	11300901			1	80000	3000004	10		18401	99	0	4	0	0	1	孤莲	孤蓮	Lonely Ren	孤独な蓮	고독한 렌	ดอกบัวเดียวดาย	你只身追着神秘人来到宴会厅的后庭，眼见驻守宅邸的护卫即将与多洛茜发生冲突，你挺身而出——却惨遭护卫的误会，不得不与之战斗。	你隻身追著神秘人來到宴會廳的後庭，眼見駐守宅邸的護衛即將與多洛茜發生衝突，你挺身而出——卻慘遭護衛的誤會，不得不與之戰鬥。	You chase after the mysterious figure to the back of the Banquet Hall, just as the manor's security is about to clash with Dorothy. You step in to intervene, but they mistake you for an enemy and force you to fight the guards.	あなたは一人で謎の人物を追ってパーティー会場の裏庭に来た。屋敷を守る護衛がドロシーと衝突しそうになるのを見て、あなたは身を乗り出したが、護衛に誤解され、戦わざるを得なくなった。	당신은 혼자서 수수께끼의 사람을 쫓아 연회장 뒷마당에 도착했다. 그곳에서 저택을 지키고 있는 병사와 도로시가 충돌할 분위기를 목격해 용감히 나섰지만, 오히려 오해를 사서 결국 싸우게 된다.	คุณ​ตาม​คน​ปริศนา​ไป​ที่​สวน​หลัง​ห้อง​จัด​เลี้ยง​เพียงลำพัง​ เมื่อ​เห็น​ยาม​ประจำ​คฤหาสน์​กำลังจะ​ปะทะ​กับ​โด​โร​ธี​ คุณ​จึง​เข้าไป​ขวาง​—​แต่กลับ​ถูก​ยาม​เข้าใจผิด​ จน​ต้อง​ต่อสู้​กับ​พวกเขา​
11300903	1	101	3		2		192:activity_hefeng_main_configuration_2	11300902			1	100000	3000004	10		13501	99	0	4	0	0	1	再会	再會	Reunion	再会	재회	พบกันอีกครั้ง	宴会草草结束，你们与铃一同离开，然而就在道别之时，铃与万叶会的合作书却被忽然出现的牛仔夺走，你们一路追了上去，意外结识了体型高大的青年——背嵬。	宴會草草結束，你們與鈴一同離開，然而就在道別之時，鈴與萬葉會的合作書卻被忽然出現的牛仔奪走，你們一路追了上去，意外結識了體型高大的青年——背嵬。	The party ends abruptly, and you leave with Linn. Just as you're saying goodbye, a cowboy suddenly snatches Linn's contract with the Manyo Party. You chase after him and come face to face with a tall young man named Byrwald.	宴は早々に終了し、あなたたちはリンと一緒に会場を出ようとしたが、別れ際に突然現れたカウボーイがリンと万葉会の契約書を奪い取った。あなたたちは彼を追いかける途中、体の大きな青年ーー背嵬と遭遇した。	연회는 대강 마무리 되었고, 당신은 린과 함께 떠났다. 그러나 작별 인사 도중 갑자기 나타난 카우보이에 의해 만엽회의 협력 계약서를 도난당한다. 서류를 다시 되찾기 위해 쫓아가던 중 우연찮게도 큰 체격을 가진 청년, 세이가이를 만난다	งานเลี้ยงจบลงอย่างรวบรัด ​พวก​คุณ​ออก​มา​พร้อม​กับ​ลินน์ ​แต่​ขณะ​จะ​บอกลา ​สัญญา​ความ​ร่วมมือ​ระหว่าง​ลินน์​กับ​สมาคมมันโยะ​กลับ​ถูก​คาวบอย​ที่​ปรากฏ​ตัว​ขึ้น​ฉก​ไป ​พวก​คุณ​ไล่​ตาม​ไป ​และ​ได้​รู้จัก​กับ​หนุ่ม​ร่าง​ยักษ์​— ​เบอร์วาลด์​
11300904	1	101	4		2		192:activity_hefeng_main_configuration_2	11300903			1	100000	3000004	10		11001	99	11300904	4	0	0	1	怒号	怒號	Roar	怒号	분노	เสียงคำราม	原来他们都是此次宴会的护卫——名为任汐组的离岛黑道。而神秘人正是任汐组的总长，玛莉娜。南弥生又惊讶发现，牛仔是通过无回者联盟接取任务、阻挠万叶会的。	原來他們都是此次宴會的護衛——名為任汐組的離島黑道。而神秘人正是任汐組的總長，瑪莉娜。南彌生又驚訝發現，牛仔是通過無回者聯盟接取任務、阻撓萬葉會的。	They're safeguards for the party—members of the Tide Squad from Castaway Island, led by the mysterious Commander Marlena. Minami is shocked to learn the cowboy accepted a mission from the League of Outcasts to disrupt the Manyo Party.	彼らは皆今回のパーティーの護衛を務めている「任汐組」という離島の極道であった。そして、その謎の人物が任汐組の総長であるマリナだ。さらに驚いたことに、南弥生はカウボーイがパンデモニウム連盟を通じて万葉会をかき回す任務を受けたことに気付いた。	알고 보니 저들은 이번 연회의 경호원들이었으며, 캐스터웨이 시오구미라는 야쿠자 소속이었다. 그리고 그때 봤던 수수께끼의 인물은 다름아닌 시오구미의 총수 마리나였다. 게다가 미나미는 카우보이가 네버백 연맹의 임무를 받아 만엽회를 방해하고 있었다는 사실에 놀라게 된다. 	ที่แท้​พวกเขา​เป็น​ยาม​รักษา​ความปลอดภัย​งานเลี้ยง​ครั้งนี้​ทั้งหมด​—​ จาก​กลุ่มเร็น​ซี​แห่ง​เกาะ​นอก​ชายฝั่ง​ ส่วน​คน​ปริศนา​นั้น​คือ​มา​รี​น่า​หัวหน้า​ของกลุ่มเร็น​ซี​ มิ​นา​มิ​ยัง​พบ​ว่า​คาวบอย​รับงาน​จาก​สหพันธ์​ไม่​หวนคืน​มา​ขัดขวาง​สมาคม​มันโยะ​ด้วย​
11300905	1	101	5		1		192:activity_hefeng_main_configuration_1	11300904			1	110000	3000004	10			99	0	4	0	0	1	鱼饵	魚餌	Bait	釣り餌	미끼	เหยื่อตกปลา	暴风眼与任汐组达成合作，共同解决绑架案。鉴于已有线索——牛仔查理透露，他的朋友也接下了无回者联盟的任务，你们一同来到其常驻地点——离岛，进行调查。	暴風眼與任汐組達成合作，共同解決綁架案。鑒於已有線索——牛仔查理透露，他的朋友也接下了無回者聯盟的任務，你們一同來到其常駐地點——離島，進行調查。	StormEye teams up with the Tide Squad to tackle the kidnapping case. Following a clue from the cowboy Richard, who mentions that his friend also took a mission from the League of Outcasts, you all head to Castaway Island to investigate.	ストームアイは任汐組と協力し、共同で誘拐事件を調査することになった。既存の手がかりに基づき、そしてカウボーイのリチャードの話によると、彼の友人もパンデモニウム連盟の任務を引き受けたそうだ。するとあなたたちは一緒に彼の常駐地である離島に向かい、調査を行うことにした。	스톰아이와 시오구미가 협력하여 납치극을 해결하기로 한다. 이미 찾은 단서에 따르면, 카우보이 리처드가 이미 있는 단서에 따르면, 그의 친구 또한 네버백 연맹의 임무를 맡았다고 하며, 만나기로 한 장소 케스터웨이로 이동해 조사하기로 한다.	สตอร์ม​อาย​และ​เร็น​ซี​ร่วมมือ​กัน​สืบ​คดี​ลักพาตัว​ จาก​เบาะแส​ที่​มี​—​คาวบอย​ริชาร์ด​บอ​กว่าเพื่อน​เขา​ก็​รับงาน​จาก​สหพันธ์​ไม่​หวนคืน​เช่นกัน​ พวกคุณ​จึง​มา​ที่​เกาะ​นอก​ชายฝั่ง​ เพื่อ​สืบสวน​
11300911	1	102	1		3	1	192:activity_hefeng_main_configuration_3	11300905			1	120000					99	0	4	0	0	1	规则	規則	Rules	ルール	규칙	กฎ	为了能不打草惊蛇地从任务执行者——小蒲的口中获得更多案件线索，你在玛莉娜的帮助下，第一次尝试了在离岛较为流行的战牌。	為了能不打草驚蛇地從任務執行者——小蒲的口中獲得更多案件線索，你在瑪莉娜的幫助下，第一次嘗試了在離島較為流行的戰牌。	To discreetly gather more information from the mission executor, Cattia, you decide to try your hand at the popular Battle Card game on Castaway Island for the first time, with Marlena's assistance.	任務の実行者である蒲に警戒されず、より多くの手がかりを得るために、あなたはマリナに助けてもらい、初めて離島で流行っている戦札を試した。	칼라모스에게서 더 많은 단서를 듣기 위해, 당신은 마리나의 도움을 받아 케스터웨이에서 유행하는 카드 게임에 참가한다.	เพื่อที่จะ​ได้รับ​เบาะแส​เพิ่มเติม​จาก​ "​โค​บะ​"​ โดย​ไม่​ทำให้​เขา​ตื่นตัว​ คุณ​ได้​ลอง​เล่น​ เกม​แบตเทิลการ์ด​ ซึ่ง​เป็น​เกม​ที่​ได้รับ​ความนิยม​บน​เกาะ​นอก​ชายฝั่ง​ เป็นครั้งแรก​ โดย​มี​มา​รี​น่า​คอย​ช่วยเหลือ​
11300912	1	102	2		3	2	192:activity_hefeng_main_configuration_3	11300911			1	120000					99	0	4	0	0	1	禊萩	禊萩	Misohagi	禊萩	미소하기	มิโซฮากิ	与小蒲进行多番竞技后，你逐渐察觉到他并非牛仔理查说的任务执行者。而正当你通过情绪视觉了解到他们的关系时，守在门口的识抓住了真正的调查对象——禊萩。	與小蒲進行多番競技後，你逐漸察覺到他並非牛仔理查說的任務執行者。而正當你通過情緒視覺瞭解到他們的關係時，守在門口的識抓住了真正的調查對象——禊萩。	After several matches with Cattia, you realize he isn't the mission executor Richard referred to. Just as you're using Pathic Vision to uncover their connection, Shiki at the entrance apprehends the real target of the investigation—Misohagi.	蒲と何度も対戦した後、彼がカウボーイのリチャードが言った任務実行者ではないことに気づき始めた。そして、エモーショナル視覚を通じて彼らの関係を探ろうとした時、ドアの外にいた識が本当の調査対象ーー禊萩を捕まえてきた。	칼라모스와 게임을 치르며, 당신은 그가 카우보이 리처드가 말한 임무 수행자가 아닌 것을 깨닫게 된다. 그리고 당신이 이모션 비전을 통해 그들의 관계를 이해하고 있을 때 문을 지키던 시키가 진정한 조사 대상 미소하기를 붙잡았다.	หลัง​แข่ง​กับ​โค​บะ​หลาย​ตา​ คุณ​เริ่ม​สังเกตว่า​เขา​ไม่​ใช่​ผู้​รับงาน​ที่​คาวบอย​ริชาร์ด​พูดถึง​ และ​ขณะที่​คุณ​ใช้​มโนภาพ​พา​โธส​เข้าใจ​ความสัมพันธ์​ของ​พวกเขา​ ชิ​กิ​ที่​เฝ้า​ประตู​อยู่​ก็​จับตัว​เป้าหมาย​ที่​แท้จริง​ได้​—​ มิโซฮากิ​
11300913	1	102	3		1		192:activity_hefeng_main_configuration_1	11300912			1	120000	3000004	10			99	0	4	0	0	1	赤沼	赤沼	Akanuma	赤沼	아카누마	อาคานุมะ	禊萩坦白，母亲被赤沼杀害后她惶惶不可终日，跟随着守夜人的步伐上了来到新海市的船，最终又在努力成为合法住户时接到了来自无回者联盟的任务……	禊萩坦白，母親被赤沼殺害後她惶惶不可終日，跟隨著守夜人的步伐上了來到新海市的船，最終又在努力成為合法住戶時接到了來自無回者聯盟的任務……	Misohagi confesses that after her mother was killed by the Akanuma family, she was consumed by anxiety and ended up following the Night Watch to Catto City. She later accepted a mission from the League of Outcasts while trying to establish herself as a legal resident.	禊萩は、母親が赤沼に殺害されて以来、日々不安に苛まれる中、夜回りの後を追って新海市に向かう船に乗ったそうだ。合法住民になろうと努力している時に、パンデモニウム連盟の任務を受けたことを白状した。	미소하기는 자신의 어머니가 아카누마에 의해 살해당한 후, 하루 하루 버티기 힘든 나날을 보냈으며, 수호자를 따라 뉴오션 시티로 향하는 배에 올라탔다고 한다. 그리고 합법적인 절차를 밟아 거주자가 되기 위해 노력하던 중 네버백 연맹으로부터 임무를 받게 됐다고 한다.	มิโซฮากิ​สารภาพ​ว่า​หลัง​แม่​ถูก​อา​คา​นุ​มะ​ฆ่า​ เธอ​ต้อง​อยู่​อย่าง​หวาดผวา​ แอบ​ตาม​ผู้​เฝ้า​ระวัง​ยาม​ราตรี​ขึ้น​เรือ​มา​แค​ทโตะ​ ซิตี้​ และ​ในที่สุด​ขณะ​พยายาม​เข้า​เป็น​พลเมือง​แบบ​ถู​กก​ฏ​หมาย​ ก็ได้​รับงาน​จาก​สหพันธ์​ไม่​หวนคืน​...​
11300914	1	102	4		2		192:activity_hefeng_main_configuration_2	11300913			1	120000	3000004	10		10601	99	11300904	4	0	0	1	读心	讀心	Mind-reading	読心	독심술	อ่านใจ	赤沼的古怪和案件背后的较量让你们焦头烂额。此时又得知，行为异常的识似乎有着读心术的超能力，当你们决定利用这股力量去调查时，忽然发狂的背嵬攻击了她。	赤沼的古怪和案件背後的較量讓你們焦頭爛額。此時又得知，行為異常的識似乎有著讀心術的超能力，當你們決定利用這股力量去調查時，忽然發狂的背嵬攻擊了她。	The mysteries of the Akanuma case and the power struggles have everyone frazzled. You discover that the erratic Shiki can read minds. When you try to use this ability for your investigation, the unhinged Byrwald suddenly attacks her.	赤沼の怪しさと事件の裏の駆け引きに、あなたたちは頭を抱えた。その時、常に変な行動をとる識が読心術の超能力を持っていることがわかり、その力を利用して調査を行うことを決めた矢先、突然発狂した背嵬が彼女を襲った。	아카누마의 기괴함과 사건의 배후 때문에 당신은 골머리를 앓게 된다. 이때 이상한 행동을 하게 된 시키가 독심술의 초능력을 가진 것 같다는 소식을 듣게 된다. 당신은 이 초능력을 조사에 활용하기로 결정했을 때 갑자기 미쳐버린 세이가이가 시키를 공격한다.	พิรุธ​ของ​อา​คา​นุ​มะ​และ​การต่อสู้​เบื้องหลัง​คดี​ทำให้​พวกคุณ​ปวดหัว​ ตอนนี้​คุณ​ได้​รู้​ว่า​ ชิ​กิ​ที่​มี​ท่าที​ผิดปกติ​ดูเหมือน​จะ​มีพลัง​อ่านใจ​ เมื่อ​พวกคุณ​ตัดสินใจ​ใช้​พลัง​นี้​สืบสวน​ เบอร์วาลด์​ที่​คลุ้มคลั่ง​ก็​โจมตี​ใส่​เธอ​
