id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int
11300901			9030006	100	9030006	100	3	1
11300902			9030006	200	9030006	200	3	1
11300903			9030006	200	9030006	200	3	1
11300904			9030006	200	9030006	200	3	1
11300905			9030006	100	9030006	100	3	1
11300911			9030006	200	9030006	200	3	1
11300912			9030006	200	9030006	200	3	1
11300913			9030006	100	9030006	100	3	1
11300914			9030006	200	9030006	200	3	1
11300915			9030006	100	9030006	100	3	1
11300916			9030006	200	9030006	200	3	1
11300921			9030006	200	9030006	200	3	1
11300922			9030006	200	9030006	200	3	1
11300923			9030006	200	9030006	200	3	1
11300924			9030006	100	9030006	100	3	1
11300925			9030006	100	9030006	100	3	1
11300926			9030006	100	9030006	100	3	1
