id	desc	plotIdStory	plotIdWave	plotIdEndWave	status
int	int	int	int	int	int
11300901	1	3014010			1
11300902	1		3014021	3014023	1
11300903	1		3014031		1
11300904	1		3014041	3014043	1
11300905	1	3014050			1
11300911	1		3014061	3014063	1
11300912	1			3014073	1
11300913	1	3014080			1
11300914	1		3014091		1
11300915	1	3014100			1
11300916	1		3014111	3014113	1
11300921	1			3014123	1
11300922	1		3014131	3014133	1
11300923	1		3014141	3014143	1
11300924	1	3014150			1
11300925	1	3014160			1
11300926	1	3014170			1
