id	voicecode	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	vo_hello_123008_01	1	莲	蓮	Ren	蓮	렌	เร็น	莲在这里会打扰您的工作吗？或者，请让我一同帮忙吧。	蓮在這裡會打擾您的工作嗎？或者，請讓我一同幫忙吧。	Don't worry, I won't get in your way. But if you need help, I'm here and ready to pitch in!	蓮がここにいると、お仕事の邪魔になるでしょうか？私にもお手伝いをさせてください。	제가 여기 있으면 일에 방해가 될까요? 저도 도움을 드릴 수 있게 해주세요.	เร็น​ อยู่​ที่นี่​จะ​เป็น​รบกวน​การทำงาน​ของ​คุณ​หรือเปล่า​?​ หรือ​ถ้า​คุณ​ต้องการ​ให้​ฉัน​ช่วย​อะไร​ บอก​ได้​เลย​นะ​
102	vo_touch_card_123008	1	莲	蓮	Ren	蓮	렌	เร็น	既然是我认可的婚约者……再亲密的接触也是合情合理的。	既然是我認可的婚約者……再親密的接觸也是合情合理的。	Since I've accepted you as my fiance, I'd say any increased intimacy between us is only natural, don't you agree?	私が認めた婚約者である以上……より親密な接触があって当然ですね。	제가 인정한 약혼자인 이상.. 더 친근하게 접촉하는 건 마땅한 법입니다.	แต่​ก็​เป็น​คู่หมั้น​ที่​ฉัน​ยอมรับ​แล้ว​...​การ​จะ​ใกล้ชิด​มากขึ้น​กว่า​นี้​ก็​สมเหตุสมผล​
103	vo_hello_123008_02	1	莲	蓮	Ren	蓮	렌	เร็น	每个夜晚我都会对着神社的方向祈求……啊，当然是祈求一切顺遂。	每個夜晚我都會對著神社的方向祈求……啊，當然是祈求一切順遂。	I make it a habit to offer up a little prayer to the shrine each night. Just hoping everything goes smoothly, you know?	毎晩、神社の方向に向かって祈っていますわ……ええ、全てが順調でありますようにと。	저는 매일 밤 신사를 향해 기도를 올리고 있어요.\n네, 모든 일이 순조롭기를 바라면서요.	ทุกคืน​ฉัน​จะ​อธิษฐาน​ไป​ทาง​ทิศ​ของ​ศาลเจ้า​...​อ่า​ แน่นอน​ว่า​อธิษฐาน​ให้​ทุกอย่าง​ราบรื่น​
104	vo_give_gift_123008	1	莲	蓮	Ren	蓮	렌	เร็น	您愿意加深我们之间的联系……莲万分感动。	您願意加深我們之間的聯繫……蓮萬分感動。	I make it a habit to offer up a little prayer to the shrine each night. Just hoping everything goes smoothly, you know?	私たちの絆を深めてくださるのですね……蓮は心から感動していますわ。	우리의 관계를 더욱 깊게 하려 하신다니.. 감동했습니다.	คุณ​ยินดี​ที่จะ​เพิ่ม​ความสัมพันธ์​ระหว่าง​เรา​...​เร็น​รู้สึก​ซาบซึ้งใจ​อย่างยิ่ง​
105	vo_touch_123008_01	1	莲	蓮	Ren	蓮	렌	เร็น	这是新海市的礼仪吗？我会学习和理解的。	這是新海市的禮儀嗎？我會學習和理解的。	Ah, so this is the proper etiquette in Catto City, is it? No worries, I'll be sure to learn the ropes.	これが新海市の礼儀作法なのでしょうか？勉強と理解に努めますわ。	이게 뉴오션 시티의 예의범절인가요? 이해할 수 있게 힘낼게요.	นี่​คือ​มารยาท​ของ​แค​ทโตะ​ ซิตี้​เหรอ​ ฉัน​จะ​เรียนรู้​และ​ทำความเข้าใจ​นะ​
106	vo_touch_123008_05	1	莲	蓮	Ren	蓮	렌	เร็น	已经到了这一步，就请您，对我负起责任吧。嗯……这一次，是我的真心话。	已經到了這一步，就請您，對我負起責任吧。嗯……這一次，是我的真心話。	We've come this far together, so please, look after me. These words come straight from the heart.	ここまで来た以上、どうか責任を取ってくださいね。ええ……今回のは私の本心です。	이렇게 된 이상, 부디 책임져 주세요.\n.. 이번에는 진심입니다.	มา​ถึงขั้น​นี้​แล้ว​ ขอให้​ท่าน​รับผิดชอบ​ต่อ​ฉัน​ด้วย​ อืม​...​ครั้งนี้​ เป็น​คำพูด​จาก​ใจจริง​ของ​ฉัน​
201	vo_hello_119008_01	1	玛莉娜	瑪莉娜	Marlena	マリナ	마리나	มารีน่า	阳光真好啊~在樱岛，可见不到这样的太阳叻。哈哈，我说的不仅是天气啊。	陽光真好啊~在櫻島，可見不到這樣的太陽勒。哈哈，我說的不僅是天氣啊。	The sun feels absolutely divine! Nowhere back on Sakura Island can you find sunshine like this. And I'm not just talking about the weather, you know?	いい天気だな～桜島ではなかなかこんな太陽見られないよ。あはは、天気の話だけじゃないぞ。	햇살이 정말 좋네~ 사쿠라지마에서는 이렇게 좋은 햇볕은 볼 수 없었어. 후후, 날씨만 말하는 게 아니야.	แสงแดด​นี่​ดี​จริงๆ​~​ ที่​เกาะ​ซากุระ​ ไม่​มี​ทางได้​เห็น​แสงแดด​แบบนี้​เลย​ ฮ่า​ๆ​ ที่​ฉัน​พูดถึง​นี่​ไม่​ได้​มี​แค่​สภาพอากาศ​หรอก​นะ​
202	vo_hello_119008_02	1	玛莉娜	瑪莉娜	Marlena	マリナ	마리나	มารีน่า	咕……呼噜噜……嗯？！调查官怎么还没睡？真是拿你没办法啊~要来我的被窝吗？	咕……呼嚕嚕……嗯？！調查官怎麼還沒睡？真是拿你沒辦法啊~要來我的被窩嗎？	Purrr... Huh? You're still up, Inspector? Goodness, what am I going to do with you? Hey, why don't you come snuggle up in my cozy little spot here?	ぐぅ……ふぅ……ん？調査官、なんでまだ起きてるんだ？本当にどうしようもないな～あたいの布団に入るか？	쿨.. 드르렁.. 음? 조사관 아직도 안 자고 있었어? 어쩔 수 없네~ 내 이불 속으로 올래?	ครอก​...​ ฟี่​ฟี่​ฟี่​....​ หืม​?!​ ทำไม​ผู้ตรวจการ​ยัง​ไม่​นอน​อีก​?​ จริงๆ​ เลย​นะ​~​ มา​เข้า​ผ้าห่ม​ของ​ฉัน​ไหม​?​
203	vo_touch_119008_01	1	玛莉娜	瑪莉娜	Marlena	マリナ	마리나	มารีน่า	嗯？你真是好动呢。多了个小弟就是这种感觉吧？	嗯？你真是好動呢。多了個小弟就是這種感覺吧？	Hm? You're quite the active one. I suppose that's just how it is with a fresh partner like me around.	おや？好奇心が強いな、弟がいるのってこういう感じか？	어라? 정말 잘 활동적이네. 동생이 생기면 이런 느낌이려나?	หืม​?​ คุณ​นี่​ซน​จริงๆ​ เลย​ การ​มี​น้องชาย​ก็​คง​รู้สึก​แบบนี้​ใช่ไหม​นะ​?​
