id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	10	1	4190004	1000	90056	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
2	1	11	20	1	4190004	800	90057	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
3	1	21	50	1	4190004	500	90058	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
4	1	51	100	1	4190004	400	90059	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
5	1	101	200	1	4190004	300	90059	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
6	1	201	500	1	4190004	200	90060	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
7	1	501	1000	1	4190004	150	90061	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
8	1	1001	9999999	1	4190004	100	90062	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
9	2	1	10	1	9012046	1000	90090	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
10	2	11	20	1	9012046	800	90091	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
11	2	21	50	1	9012046	500	90092	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
12	2	51	100	1	9012046	375	90093	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
13	2	101	200	1	9012046	200	90094	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
14	2	201	500	1	9012046	150	90095	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
15	2	501	1000	1	9012046	100	90096	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
16	2	1001	9999999	1	9012046	50	90097	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
17	3	1	10	1	9012013	1000	90098	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
18	3	11	20	1	9012013	800	90099	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
19	3	21	50	1	9012013	500	90100	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
20	3	51	100	1	9012013	400	90101	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
21	3	101	200	1	9012013	300	90102	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
22	3	201	500	1	9012013	200	90103	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
23	3	501	1000	1	9012013	150	90104	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
24	3	1001	9999999	1	9012013	100	90105	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
25	4	1	10	1	9012017	1000	90106	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
26	4	11	20	1	9012017	800	90107	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
27	4	21	50	1	9012017	500	90108	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
28	4	51	100	1	9012017	400	90109	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
29	4	101	200	1	9012017	300	90110	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
30	4	201	500	1	9012017	200	90111	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
31	4	501	1000	1	9012017	150	90112	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
32	4	1001	9999999	1	9012017	100	90113	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
33	5	1	10	1	9012020	1350	90122	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
34	5	11	20	1	9012020	1050	90123	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
35	5	21	50	1	9012020	650	90124	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
36	5	51	100	1	9012020	550	90125	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
37	5	101	200	1	9012020	400	90126	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
38	5	201	500	1	9012020	250	90127	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
39	5	501	1000	1	9012020	200	90128	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
40	5	1001	9999999	1	9012020	150	90129	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
41	6	1	10	1	9012024	1350	90131	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
42	6	11	20	1	9012024	1050	90132	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
43	6	21	50	1	9012024	650	90133	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
44	6	51	100	1	9012024	550	90134	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
45	6	101	200	1	9012024	400	90135	1	101~200	101~200	101st - 200th	101〜200	101~200	101~200
46	6	201	500	1	9012024	250	90136	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
47	6	501	1000	1	9012024	200	90137	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
48	6	1001	9999999	1	9012024	150	90138	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
49	7	1	10	1	9012043	1350	90151	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
50	7	11	20	1	9012043	1050	90152	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
51	7	21	50	1	9012043	650	90153	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
52	7	51	100	1	9012043	550	90154	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
53	7	101	200	1	9012043	400	90155	1	101-200	101-200	101-200	101〜200位	101~200	101-200
54	7	201	500	1	9012043	250	90156	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
55	7	501	1000	1	9012043	200	90157	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
56	7	1001	9999999	1	9012043	150	90158	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
57	8	1	10	1	9012048	1350	90159	1	1~10	1~10	1st - 10th	1~10	1~10	1~10
58	8	11	20	1	9012048	1050	90160	1	11~20	11~20	11th - 20th	11~20	11~20	11~20
59	8	21	50	1	9012048	650	90161	1	21~50	21~50	21st - 50th	21~50	21~50	21~50
60	8	51	100	1	9012048	550	90162	1	51~100	51~100	51st - 100th	51~100	51~100	51~100
61	8	101	200	1	9012048	400	90163	1	101-200	101-200	101-200	101〜200位	101~200	101-200
62	8	201	500	1	9012048	250	90164	1	201~500	201~500	201st - 500th	201〜500	201~500	201~500
63	8	501	1000	1	9012048	200	90165	1	501~1000	501~1000	501st - 1000th	501~1000	501~1000	501~1,000
64	8	1001	9999999	1	9012048	150	90166	1	1001后	1001後	After 1001	1001位圏外	1001 이하	หลัง 1,001
