id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	50	1	6210018;6220014;6230016	1;1;1	90013	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
2	1	51	300	1	6220014;6230016	1;1	90014	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
3	1	301	9999999	1	6230016	1	90015	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
4	2	1	50	1	6210052;6220037;3000002	1;1;500	9001301	1	1-50	1-50	No.1 - No.50	1〜50位	1-50	1 - 50
5	2	51	300	1	6220037;3000002	1;300	9001401	1	51-300	51-300	51-300	51-300位	51-300위	51 - 300
6	2	301	9999999	1	3000002	200	9001501	1	未进入前300	未進入前300	Not in the Top 300	300位圏外	상위 300위 미진입	ไม่​อยู่​ใน​ 300​ อันดับ​แรก​
7	3	1	100	1	6210060;6220051;3000002	1;1;500	9001302	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
8	3	101	500	1	6220051;3000002	1;300	9001402	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
9	3	501	9999999	1	3000002	200	9001502	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
10	4	1	100	1	6210061;6220052;3000002	1;1;500	9001303	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
11	4	101	500	1	6220052;3000002	1;300	9001403	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
12	4	501	9999999	1	3000002	200	9001503	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
13	5	1	100	1	6210062;6220053;3000002	1;1;500	9001304	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
14	5	101	500	1	6220053;3000002	1;300	9001404	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
15	5	501	9999999	1	3000002	200	9001504	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
16	6	1	100	1	6210064;6220055;3000002	1;1;500	9001305	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
17	6	101	500	1	6220055;3000002	1;300	9001405	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
18	6	501	9999999	1	3000002	200	9001505	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
19	7	1	100	1	6210072;6220068;3000002	1;1;500	9001306	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
20	7	101	500	1	6220068;3000002	1;300	9001406	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
21	7	501	9999999	1	3000002	200	9001506	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
22	8	1	100	1	6210074;6220070;3000002	1;1;500	9001307	1	1-100	1-100	1-100	1〜100位	1~100위	1-100
23	8	101	500	1	6220070;3000002	1;300	9001407	1	101-500	101-500	101-500	101〜500位	101~500위	101-500
24	8	501	9999999	1	3000002	200	9001507	1	未进入前500	未進入前500	Not in the top 500 ranking	500位圏外	상위 500위 미진입	ไม่ติด TOP 500
