id	activityId	placeId	unlockRepaintingQuestId	type	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
50020101	1	101		1	0														1	1-1 大姐大的力量	1-1 大姐大的力量	1-1 The Power of the Big Sister	1-1 姉御の力	1-1 큰언니의 힘	1-1 พลังของลูกพี่ใหญ่	在前往雪笺书局的途中，偶遇了正在惩恶扬善的大姐大艾可？诅咒信竟在怪谈论坛成为热门话题！	在前往雪箋書局的途中，偶遇了正在懲惡揚善的大姐大艾可？詛咒信竟在怪談論壇成為熱門話題！	On your way to the Snowflake Bookstore, you encounter Echo, dispensing justice with her own brand of righteous fury. The cursed letters have even become a hot topic on the Paranormal forum!	雪箋書局に向かう途中、悪を懲らしめているアイコ姉御に遭遇した？呪いの手紙が怪談掲示板で人気話題に！	스노우레터 서고로 가는 길에 우연히 권선징악을 행하고 있는 에코를 만난다고? 저주의 편지가 괴담 게시판에서 화제가 됐다더니!	ระหว่างทาง​ไป​ร้านหนังสือ​ส​โน​ว์​เฟลก​ ก็ได้​บังเอิญ​เจอ​เอ​ค​โค​ผู้​ยืนหยัด​ปราบปราม​ความ​ชั่ว​?​ จดหมาย​คำสาป​กลับ​กลายเป็น​หัวข้อ​ยอดนิยม​ใน​ฟอรั่ม​เรื่องเล่า​ลี้ลับ​!​
50020102	1	101		0	50020101			1	20000	9000010	20	0	15002	6	300001	4	0	21	1	1-2 垃圾桶逆袭战	1-2 垃圾桶逆襲戰	1-2 The Dumpster's Counterattack	1-2 ゴミ箱の逆襲	1-2 쓰레기통의 역습	1-2​ สงคราม​โต้กลับ​ของ​ถังขยะ​	揭竿而起的垃圾桶们将会获得什么样的结局？拭目以待吧！	揭竿而起的垃圾桶們將會獲得什麼樣的結局？拭目以待吧！	The dumpsters have revolted! What lies ahead for them? Stay tuned to find out!	反撃のために立ち上がったゴミ箱たちはどんな結末を迎えるのでしょうか？乞うご期待！	반기를 든 쓰레기통들은 어떤 결과를 얻을 수 있을까? 어디 한번 지켜보자.	บรรดา​ถังขยะ​ที่​ลุกขึ้น​ต่อต้าน​จะ​พบ​กับ​จุดจบ​เช่นไร​?​ มา​รอ​ดู​กัน​เถอะ​!​
50020103	1	101		1	50020102														1	1-3 诅咒，觉醒？	1-3 詛咒，覺醒？	1-3 Curse Awakened?	1-3 呪い、覚醒？	1-3 저주, 각성?	1-3 คำสาป ปลุกพลัง?	为了协助调查，艾琳娜亲自送来了诅咒信原件。而诅咒的内容却有几分古怪……	為了協助調查，艾琳娜親自送來了詛咒信原件。而詛咒的內容卻有幾分古怪……	To aid the investigation, Erina personally delivers the original cursed letter. However, its contents are rather peculiar...	調査に協力するため、エリナが呪いの手紙の原本を持ってきた。呪いの内容は奇妙だった……	에리나는 조사에 협력하고자 직접 저주의 편지 원본을 보내온다. 하지만 저주의 내용이 좀 이상한데......	เพื่อ​ช่วย​สืบสวน​ เอ​ริ​นา​นำ​จดหมาย​คำสาป​ตัวจริง​มา​ให้​ แต่​เนื้อหา​ของ​คำสาป​กลับ​มี​อะไร​แปลก​ๆ​...​
50020104	1	101		1	50020103														1	1-4 特别登场	1-4 特別登場	1-4 Special Appearance	1-4 特別登場	1-4 특별 등장	1-4 ปรากฏตัวเฉพาะกิจ	众人讨论解决诅咒信事件的办法。奇怪的猫族少女误以为「暖雪来信」活动即将暂停，生气地插入话题。	眾人討論解決詛咒信事件的辦法。奇怪的貓族少女誤以為「暖雪來信」活動即將暫停，生氣地插入話題。	As the team brainstorms a fix for the cursed letters, a Felinian Girl, mistakenly thinking the "Letters From Afar" event is nixed, cuts in angrily to the discussion.	皆で呪いの手紙事件の解決方法を話し合う。奇妙なフェリニアンスの少女は「思いを手紙に乗せて」イベントがすぐに中止されると誤解し、怒りながら会話に割り込んできた。	다 같이 저주의 편지 사건을 해결할 방법을 찾는다. '눈과 함께 온 편지' 이벤트가 곧 끝날 것이라고 착각한 이상한 캣족소녀가 화를 내며 대화에 끼어든다.	ทุกคน​ปรึกษา​กัน​ถึง​วิธี​แก้ปัญหา​จดหมาย​คำสาป​ เด็กสาว​เผ่า​แมว​เข้าใจผิด​ว่า​กิจกรรม​ "​จดหมาย​ลับ​ แดน​หิมะ​"​ กำลังจะ​ถูก​หยุด​ จึง​โมโห​และ​แทรก​การ​สนทนา​
50020105	1	101		0	50020104			1	25000	9000010	20	0	15003	6	300002	4	0	21	1	1-5 信件保卫战！	1-5 信件保衛戰！	1-5 Defend the Letters!	1-5手紙防衛戦	1-5 편지 방어전!	1-5​ สงคราม​ปกป้อง​จดหมาย​!​	突如其来的傀化物打断了众人的交流，现在的首要任务是——守护雪笺书局!	突如其來的傀化物打斷了眾人的交流，現在的首要任務是——守護雪箋書局!	The sudden appearance of the Anomalies interrupts the gathering. The top priority now is to protect Snowflake Bookstore!	突然現れた傀化物が皆の会話を遮った。今、最も重要なのは——雪箋書局を守ることだ！	난데없이 퍼펫화 개체가 끼어들어 대화를 끊어버린다. 지금 가장 중요한 건 스노우레터 서고를 지키는 것!	หุ่นเชิด​ที่​ปรากฏ​ตัวอย่าง​กะทันหัน​ขัดจังหวะ​การ​สนทนา​ของ​ทุกคน​ ภารกิจ​สำคัญ​ตอนนี้​คือ​—​ปกป้อง​ร้านหนังสือ​ส​โน​ว์​เฟลก​
50020106	1	101		2	50020105			1	30000	9000010	20	0	15003	6	300003	4	0	21	1	1-6 某位「大人」	1-6 某位「大人」	1-6 A Certain Big Shot	1-6 ある「方」	1-6 어떤 「높은 분」	1-6 "นายท่าน" คนนั้น	奇怪的猫族少女自报家门——希尔达加入战斗。她似乎另有目的……	奇怪的貓族少女自報家門——希爾達加入戰鬥。她似乎另有目的……	The peculiar Felinian Girl, revealing herself as Hilda, joins the fray. It seems she has her own motives...	奇妙なフェリニアンス、ヒルダが自ら名乗りを上げ、戦闘に加わった。どうやら彼女には別の目的があるようだ……	이상한 캣족소녀는 자신이 힐다 가문 소속임을 밝히고 전투에 참여한다. 뭔가 다른 목적이 있는 것 같은데......	เด็กสาว​เผ่า​แมว​แนะนำตัว​—​ฮิ​ลดา​จะ​เข้าร่วม​การต่อสู้​ ดูเหมือน​เธอ​จะ​มี​จุดประสงค์​อื่น​ด้วย​...​
50020107	1	101	50030101	1	50020106														1	1-7 愿者上钩	1-7 願者上鉤	1-7 Take the Bait	1-7 自ら罠にかかる	1-7 미끼를 물다	1-7 ผู้เต็มใจ	希尔达的言行多有古怪，似乎与诅咒信有着千丝万缕的关系……为得到更多信息，调查行动将与她同行。	希爾達的言行多有古怪，似乎與詛咒信有著千絲萬縷的關係……為得到更多資訊，調查行動將與她同行。	Hilda's words and actions are rather peculiar, seemingly intertwined with the cursed letters... To gather more information, the investigation will proceed with her.	ヒルダの言動には奇妙な点が多く、呪いの手紙と深い関わりがありそうだ。さらなる情報を得るため、彼女と共に行動することになった。	힐다의 언행이 매우 이상하다. 저주의 편지와 밀접한 관계가 있는 것 같은데...... 더 많은 정보를 얻기 위해 그녀와 함께 조사를 진행하기로 한다.	คำพูด​และ​การกระทำ​ของ​ฮิ​ลดา​มี​จุด​แปลก​ๆ​ หลา​ยอ​ย่าง​ ดูเหมือน​จะ​เกี่ยวพัน​กับ​จดหมาย​คำสาป​ด้วย​...​ แต่​เพื่อ​ให้ได้​ข้อมูล​เพิ่ม​ จึง​ต้อง​ร่วมมือ​สืบสวน​กับ​เธอ​ต่อไป​
50020201	1	102		1	50020107														1	2-1 难以捉摸的较量	2-1 難以捉摸的較量	2-1 An Elusive Game	2-1 つかみどころがない勝負	2-1 종잡을 수 없는 힘겨루기	2-1​ การ​ดวล​ที่​ยาก​จะ​คาดเดา​	几人决定前往旧城区调查信纸的贩卖渠道。一路上与希尔达的交流让人摸不着头脑……	幾人決定前往舊城區調查信紙的販賣管道。一路上與希爾達的交流讓人摸不著頭腦……	The team decides to visit Oldtown and investigate the source of the cursed letter paper. However, communication with Hilda along the way proves to be perplexing...	一行はオルドタウン・リーズダムに向かい、便箋の販売ルートを調査することにした。道中、ヒルダとの会話はまるで謎解きのようで、ますます理解できなくなっていった…	몇 명은 구시가지로 가서 편지지 판매 경로를 조사하기로 결정한다. 가는 길에 힐다와 얘기해 봤지만 갈피조차 잡지 못하는데......	พวกเขา​ตัดสินใจ​มุ่งหน้า​ไป​ยัง​เขตเมือง​โบราณ​เพื่อ​สืบหา​ช่องทาง​ขาย​จดหมาย​ การ​สนทนา​ตลอดทาง​กับ​ฮิ​ลด้า​รู้สึก​สับสน​และ​ไม่​เข้าใจ​เลย​...​
50020202	1	102		1	50020201														1	2-2 刻意的导线	2-2 刻意的導線	2-2 A Deliberate Lead	2-2 意図的な誘導	2-2 각인된 코드	2-2​ เส้นทาง​ที่​ถูก​กำหนด​	在信纸收藏店中并未获得诅咒信信纸的线索。只得暂时跟随希尔达的思路，追逐穿着黑斗篷的神秘少女。	在信紙收藏店中並未獲得詛咒信信紙的線索。只得暫時跟隨希爾達的思路，追逐穿著黑斗篷的神秘少女。	No clues about the cursed letter paper surface at the stationery store. With no other choice, the group decides to follow Hilda's lead and pursue a mysterious girl cloaked in black.	便箋専門店では呪いの手紙の便箋に関する手がかりを得られなかった。仕方なくヒルダの指示に従い、黒いマントを纏った謎の少女を追いかけることにした。	편지지 기념품점에서는 저주 편지지에 대한 단서를 얻지 못한다. 이젠 힐다의 생각대로 검은 망토의 신비한 소녀를 쫓을 수 밖에 없다.	ไม่​พบ​ร่องรอย​จดหมาย​คำสาป​ใน​ร้าน​สะสม​จดหมาย​ เลย​ทำได้​แค่​ตาม​ฮิ​ลดา​ไป​ตาม​ทาง​ที่​เธอ​คิด​
50020203	1	102		2	50020202			1	40000	9000010	20	0	15004	6	0	4	0	21	1	2-3 预谋之行	2-3 預謀之行	2-3 A Premeditated Journey	2-3 仕組まれた行動	2-3 행동 계획	2-3 วางแผนล่วงหน้า	紧跟神秘少女，众人来到正在举办冰雪节骏马巡游的广场。热闹的现场因骏马傀化与诅咒灵验的传言而陷入混乱之中……	緊跟神秘少女，眾人來到正在舉辦冰雪節駿馬巡遊的廣場。熱鬧的現場因駿馬傀化與詛咒靈驗的傳言而陷入混亂之中……	Following the mysterious girl, the team arrives at a bustling plaza hosting the Snow Festival's grand horse parade. Suddenly, the festive mood unravels into chaos as afflicted horses and tales of a curse sweep through the crowd...	謎の少女を追って、皆は雪まつりの馬巡行が行われている広場に到着した。賑やかな現場は、馬の傀化と呪いが効いたという噂で混乱に陥っていた……。	모두는 신비한 소녀를 바짝 쫓아 눈꽃축제 명마 퍼레이드가 열리고 있는 광장에 도착한다. 떠들썩한 현장은 명마의 퍼펫화와 저주의 실현 소문이 떠돌면서 혼란에 빠지게 되는데......	เมื่อ​ไล่​ตามมา​ จน​ทุกคน​มาถึง​ลาน​จัตุรัส​ที่​กำลัง​จัด​ขบวน​ม้า​เทศกาล​หิมะ​ บรรยากาศ​ที่​ครึกครื้น​กลับ​วุ่นวาย​ขึ้น​เพราะ​ข่าวลือ​เรื่อง​สภาวะ​หุ่นเชิด​และ​คำสาป​ที่​เริ่ม​แสง​ผล​...​
50020204	1	102		2	50020203			1	50000	9000010	20	0	15004	6	0	4	0	21	1	2-4 身份揭露	2-4 身份揭露	2-4 Identity Revealed	2-4 正体暴露	2-4 정체 폭로	2-4 เปิดเผยตัวตน	为保护正在与希尔达争执的调查官，神秘少女挡下傀的攻击，而自己的身份也因此暴露——竟是丝卡蕾特！	為保護正在與希爾達爭執的調查官，神秘少女擋下傀的攻擊，而自己的身份也因此暴露——竟是絲卡蕾特！	To protect the Inspector entangled in a heated dispute with Hilda, the mysterious girl fends off an attack from the Anomaly, revealing her true identity—it's Scarlett!	ヒルダと言い争っている調査官を守るため、謎の少女は傀の攻撃を防いだことによって正体がバレてしまった——なんとスカーレットだった！	힐다와 실랑이를 벌이고 있는 조사관이 퍼펫에게 공격받으려는 찰나, 한 신비한 소녀가 그 공격을 받아내게 되고, 그 정체가 드러나게 되는데...... 그 정체는 바로 스칼렛이었다.	เพื่อ​ปกป้อง​ผู้ตรวจการ​ที่​กำลัง​เถียง​กับ​ฮิ​ลดา​ เด็กสาว​ลึกลับ​รับ​การ​โจม​ตีจาก​หุ่นเชิด​แทน​ และ​ตัวตน​ก็​ถูก​เปิดเผย​—​ ที่แท้​ก็เป็น​สการ์เลตต์​นี่เอง​!​
50020205	1	102		1	50020204														1	2-5 寻找栖息地	2-5 尋找棲息地	2-5 Seeking Sanctuary	2-5 居場所を探す	2-5 안식처 찾기	2-5 ตามหาถิ่นอาศัย	丝卡蕾特因自责陷入精神混乱中，帮助她转移环境是当务之急。在一片忙乱中，希尔达悄然脱离了队伍……	絲卡蕾特因自責陷入精神混亂中，幫助她轉移環境是當務之急。在一片忙亂中，希爾達悄然脫離了隊伍……	Wracked with guilt, Scarlett falls into a state of mental turmoil. Moving her to a safe environment becomes the top priority. Amid the chaos, Hilda quietly slips away from the group...	スカーレットは自責の念から精神的に混乱しており、彼女の環境を変えてあげることが優先事項だ。混乱の中、ヒルダはひっそりとチームから離れた……	자책감에 빠진 스칼렛을 위로해 줘야 한다. 모두가 바삐 움직이는 가운데, 힐다는 조용히 팀을 빠져나오고......	สการ์เลตต์​สับสน​เพราะ​รู้สึก​ผิด​ การ​ช่วย​เธอ​ไป​ที่​ที่​ปลอดภัย​เป็น​สิ่ง​สำคัญ​ที่สุด​ ท่ามกลาง​ความวุ่นวาย​ ฮิ​ลดา​ค่อยๆ​ แยกตัว​ออกจาก​กลุ่ม​...​
50020206	1	102	50030201	1	50020205														1	2-6 为了她的笑容	2-6 為了她的笑容	2-6 For Her Smile	2-6 彼女の笑顔のために	2-6 그녀의 미소를 위해	2-6​ เพื่อ​รอยยิ้ม​ของ​เธอ​	丝卡蕾特手中的诅咒信，提供了下一个调查方向——新利兹邮局。	絲卡蕾特手中的詛咒信，提供了下一個調查方向——新利茲郵局。	The cursed letter in Scarlett's possession provides a new lead—New Leids Post Office.	スカーレットの手にある呪いの手紙が、次の調査の方向を示した——それは、ニューリーズ郵便局だった。	스칼렛이 가지고 있는 저주의 편지는 다음 조사의 실마리——뉴 리즈 우체국의 정보를 알려주게 된다.	จดหมาย​คำสาป​ใน​มือ​สการ์เลตต์​มอบ​ทิศทาง​การสืบสวน​ใหม่​—​ที่ทำการไปรษณีย์​นิว​ลิ​ซ​
50020301	1	103		1	50020206														1	3-1 从猫毛开始	3-1 從貓毛開始	3-1 Starting with Cat Hair	3-1 猫の毛から	3-1 고양이 털로부터 시작	3-1 เริ่มจากขนแมว	丝卡蕾特发现火漆印章中混入的猫毛，作为决定性线索缩小了调查范围……众人在邮局中寻找对应之人。	絲卡蕾特發現火漆印章中混入的貓毛，作為決定性線索縮小了調查範圍……眾人在郵局中尋找對應之人。	Scarlett discovers cat hair mixed within the wax seal of the letter, narrowing down the investigation with this crucial clue. The search is on at the post office to find the owner of the cat hair...	スカーレットは封蝋スタンプに猫の毛が混じっていることに気づき、それを手がかりとして調査範囲を絞り、皆は郵便局内で該当する人物を探し始めた。	스칼렛이 페인트 인장에 섞인 고양이 털을 발견한다. 이를 결정적인 단서로 수사 범위를 좁히게 되는데...... 모두는 우체국에서 그 털의 주인을 찾기 시작한다.	สการ์เลตต์พบ​ขนแมว​ที่​ปน​อยู่​ใน​ตราประทับ​ เป็น​หลักฐาน​สำคัญ​ที่​ช่วย​จำกัด​ขอบเขต​การ​สืบ​สว​น.​..​ ทุกคน​ตามหา​บุคคล​ที่​เกี่ยวข้อง​ใน​ที่ทำการไปรษณีย์​
50020302	1	103		1	50020301														1	3-2 恐惧之心	3-2 恐懼之心	3-2 A Heart of Fear	3-2 恐怖心	3-2 공포	3-2 ใจที่หวาดหวั่น	众人险些被当做诅咒信事件嫌疑人，被衔尾蛇成员带走。收到诅咒信深陷恐惧的帮派成员突然情绪崩溃……	眾人險些被當做詛咒信事件嫌疑人，被銜尾蛇成員帶走。收到詛咒信深陷恐懼的幫派成員突然情緒崩潰……	Mistaken for suspects in the cursed letter incident, the team is apprehended by Ouroboros members. Meanwhile, a gang member, consumed by fear after receiving a cursed letter, suffers a sudden mental breakdown...	皆は呪いの手紙事件の容疑者として疑われ、ウロボロスのメンバーに連れて行かれそうになった。呪いの手紙を受け取ったことで恐怖に支配されたギャングのメンバーは突然、精神的に崩壊してしまった。	모두는 저주의 편지 사건의 용의자로 몰려 우로보로스 멤버들에게 끌려갈 뻔 한다. 저주의 편지를 받고 공포에 질린 멤버는 갑자기 이모션이 붕괴되고......	ทุกคน​เกือบ​ถูกจับ​ใน​ฐานะ​ผู้ต้องสงสัย​คดี​จดหมาย​คำสาป​ และ​ถูก​สมาชิก​อุ​โร​โบ​รอ​ส​นำ​ตัว​ไป​ในที่สุด​ สมาชิก​แก๊ง​ที่​ได้รับ​จดหมาย​คำสาป​เกิด​อารมณ์​แปรปรวน​กะทันหัน​...​
