id	regularReward	regularRewardNum	fristRewards	fristRewardsNum	showItem	showItemNum	showItemTag	status
int	int	int	int	int	int	int	int	int
50020101								1
50020102			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020103								1
50020104								1
50020105			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020106			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020107								1
50020201								1
50020202								1
50020203			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020204			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020205								1
50020206								1
50020301								1
50020302								1
50020303			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020304								1
50020305								1
50020306								1
50020401								1
50020402			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020403								1
50020404								1
50020405								1
50020406								1
50020407								1
50020408								1
50020501								1
50020502			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020503								1
50020504								1
50020505								1
50020506								1
50020507			9000013;3000003	50;100000	9000013;3000003	50;100000		1
50020508								1
50020509								1
50021101								1
50021102								1
50021103								1
50021104								1
50021105								1
50021106			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50021107								1
50021108								1
50021201								1
50021202								1
50021203								1
50021204								1
50021205								1
50021206								1
50021207								1
50021208								1
50021209			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50021210								1
50021301								1
50021302								1
50021303								1
50021304			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50021305								1
50021306								1
50021307								1
50021308								1
50021401								1
50021402								1
50022101								1
50022102								1
50022103								1
50022104			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50022105								1
50022201								1
50022202								1
50022203			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50022204								1
50022205								1
50022301								1
50022302								1
50022303			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50022304			3000002;3000003	50;100000	3000002;3000003	50;100000		1
50022305								1
50022401								1
50022402								1
50023101								1
50023102								1
50023103	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023104	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023201	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023202								1
50023203								1
50023204	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023301	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023302	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023303	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023304								1
50023305	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50023306								1
50023307								1
50023401								1
50024101								1
50024102	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50024103								1
50024104	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50024105								1
50024201								1
50024202								1
50024203	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50024204								1
50024205								1
50024301								1
50024302								1
50024303	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50024304	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50024305								1
50024401								1
50024402								1
50025101	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025102								1
50025103	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025104								1
50025105								1
50025201								1
50025202								1
50025203								1
50025204								1
50025301	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025302								1
50025303								1
50025304	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025305								1
50025401	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025402	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50025403								1
50025404								1
50025405								1
50026101	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026102								1
50026103								1
50026104	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026105								1
50026106								1
50026201	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026202								1
50026203	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026204								1
50026205								1
50026206								1
50026301								1
50026302								1
50026303								1
50026304								1
50026305	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026306	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026307								1
50026308	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50026309								1
50026310								1
50027101								1
50027102								1
50027103	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027104								1
50027105								1
50027106								1
50027107								1
50027108	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027109								1
50027201								1
50027202	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027203								1
50027204								1
50027205	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027206								1
50027207	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027208								1
50027209								1
50027301	1		3000002;3000003	50;100000	3000002;3000003	50;100000		1
50027302								1
