id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	type	isPermanent	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	2001	50020107	1	9000013	200			1		1	通关追踪事件的“雪笺书局”	通關追蹤事件的“雪箋書局”	Complete the Trackdown: Snowflake Bookstore	事件追跡「雪箋書局」をクリアする	사건추적의 '스노우레터 서고' 클리어	ผ่าน​ด่าน​ "ร้านหนังสือสโน​ว์เฟลก"​ ของ​บันทึก​ติดตาม​เรื่องราว​
2	1	2001	50020206	1	9000013	200			1		1	通关追踪事件的“斯图亚特广场”	通關追蹤事件的“斯圖亞特廣場”	Complete the Trackdown: Stuart Square	事件追跡「スチュアート広場」をクリアする	사건추적의 '스튜어트 광장' 클리어	ผ่าน​ด่าน​ “​จตุ​รัส​สจวร์ต​”​ ของ​บันทึก​ติดตาม​เรื่องราว​
3	1	2001	50020306	1	9000013	200			1		1	通关追踪事件的“新利兹邮局”	通關追蹤事件的“新利茲郵局”	Complete the Trackdown: New Leids Post Office	事件追跡「ニューリーズ郵便局」をクリアする	사건추적의 '뉴 리즈 우체국' 클리어	ผ่าน​ด่าน​ “​ที่ทำการไปรษณีย์​นิว​ลิ​ซ​”​ ของ​บันทึก​ติดตาม​เรื่องราว​
4	1	2001	50020408	1	9000013	200			1		1	通关追踪事件的“罗赛塔花园”	通關追蹤事件的“羅賽塔花園”	Complete the Trackdown: Rosette Garden	事件追跡「ロゼータの庭園」をクリアする	사건추적의 '로제타 가든' 클리어	ผ่าน​ด่าน​ “​สวน​โร​เซต​ตา​”​ ของ​บันทึก​ติดตาม​เรื่องราว​
5	1	2001	50020509	1	9000013	200			1		1	通关追踪事件的“风蚀暗堡”	通關追蹤事件的“風蝕暗堡”	Complete the Trackdown: Eolus' Keep	事件追跡「風蝕の闇城」をクリアする	사건추적의 '풍화된 벙커' 클리어	ผ่าน​ด่าน​ “​บังเกอร์​ลม​กร่อน​”​ ของ​บันทึก​ติดตาม​เรื่องราว​
6	1	2002	50030101	1	9000013	200			1		1	通关复盘记录的“雪笺书局”	通關複盤記錄的“雪箋書局”	Complete the Reenactment: Snowflake Bookstore	事件記録「雪箋書局」をクリアする	기록복기의 '스노우레터 서고' 클리어	ผ่าน​ด่าน​ "ร้านหนังสือสโนว์เฟลก"​ ของ​บันทึก​ทบทวน​
7	1	2002	50030201	1	9000013	200			1		1	通关复盘记录的“斯图亚特广场”	通關複盤記錄的“斯圖亞特廣場”	Complete the Reenactment: Stuart Square	事件記録「スチュアート広場」をクリアする	기록복기의 '스튜어트 광장' 클리어	ผ่าน​ด่าน​ “​จตุ​รัส​สจวร์ต​”​ ของ​บันทึก​ทบทวน​
8	1	2002	50030301	1	9000013	200			1		1	通关复盘记录的“新利兹邮局”	通關複盤記錄的“新利茲郵局”	Complete the Reenactment: New Leids Post Office	事件記録「ニューリーズ郵便局」をクリアする	기록복기의 '뉴 리즈 우체국' 클리어	ผ่าน​ด่าน​ “​ที่ทำการไปรษณีย์​นิว​ลิ​ซ​”​ ของ​บันทึก​ทบทวน​
9	1	2002	50030401	1	9000013	200			1		1	通关复盘记录的“罗赛塔花园”	通關複盤記錄的“羅賽塔花園”	Complete the Reenactment: Rosette Garden	事件記録「ロゼータの庭園」をクリアする	기록복기의 '로제타 가든' 클리어	ผ่าน​ด่าน​ “​สวน​โร​เซต​ตา​”​ ของ​บันทึก​ทบทวน​
