id	activityId	upperLimit	reward	rewardNum	bossID	status
int	int	int	int	int	int	int
5000101	1	50000	4190001;3000003	50;100000	50001	1
5000102	1	100000	4190001;3000003	50;150000	50001	1
5000103	1	150000	4190001;3000003	100;200000	50001	1
5000104	1	300000	4190001;3000003	100;250000	50001	1
5000105	1	450000	4190001;3000003	100;300000	50001	1
5000106	1	600000	4190001;3000003	100;350000	50001	1
5000201	2	50000	4190001;3000003	100;100000	50001	1
5000202	2	100000	4190001;3000003	100;150000	50001	1
5000203	2	150000	4190001;3000003	200;200000	50001	1
5000204	2	300000	4190001;3000003	200;250000	50001	1
5000205	2	450000	4190001;3000003	300;300000	50001	1
5000206	2	600000	4190001;3000003	300;350000	50001	1
5000301	3	50000	4190001;3000003	100;100000	50001	1
5000302	3	100000	4190001;3000003	100;150000	50001	1
5000303	3	150000	4190001;3000003	200;200000	50001	1
5000304	3	300000	4190001;3000003	200;250000	50001	1
5000305	3	450000	4190001;3000003	300;300000	50001	1
5000306	3	600000	4190001;3000003	300;350000	50001	1
5000401	4	50000	4190001;3000003	100;100000	50001	1
5000402	4	100000	4190001;3000003	100;150000	50001	1
5000403	4	150000	4190001;3000003	200;200000	50001	1
5000404	4	300000	4190001;3000003	200;250000	50001	1
5000405	4	450000	4190001;3000003	300;300000	50001	1
5000406	4	600000	4190001;3000003	300;350000	50001	1
5000407	5	50000	4190001;3000003	100;100000	50001	1
5000408	5	100000	4190001;3000003	100;150000	50001	1
5000409	5	150000	4190001;3000003	200;200000	50001	1
5000410	5	300000	4190001;3000003	200;250000	50001	1
5000411	5	450000	4190001;3000003	300;300000	50001	1
5000412	5	600000	4190001;3000003	300;350000	50001	1
5000601	6	50000	4190001;3000003	100;100000	50001	1
5000602	6	100000	4190001;3000003	100;150000	50001	1
5000603	6	150000	4190001;3000003	200;200000	50001	1
5000604	6	300000	4190001;3000003	200;250000	50001	1
5000605	6	450000	4190001;3000003	300;300000	50001	1
5000606	6	600000	4190001;3000003	300;350000	50001	1
5000701	7	50000	4190001;3000003	100;100000	50001	1
5000702	7	100000	4190001;3000003	100;150000	50001	1
5000703	7	150000	4190001;3000003	200;200000	50001	1
5000704	7	300000	4190001;3000003	200;250000	50001	1
5000705	7	450000	4190001;3000003	300;300000	50001	1
5000706	7	600000	4190001;3000003	300;350000	50001	1
5000801	8	50000	4190001;3000003	100;100000	50001	1
5000802	8	100000	4190001;3000003	100;150000	50001	1
5000803	8	150000	4190001;3000003	200;200000	50001	1
5000804	8	300000	4190001;3000003	200;250000	50001	1
5000805	8	450000	4190001;3000003	300;300000	50001	1
5000806	8	600000	4190001;3000003	300;350000	50001	1
