id	activityId	unlockNum	time	date	picture1	picture2	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
101	1		2023/11/30 4:59	0	150:activity_letterfrom_letter_location_1_lock	150:activity_letterfrom_letter_location_1_unlock	1	雪笺书局	雪箋書局	Snowflake Bookstore	雪箋書局	스노우레터 서고	ร้านหนังสือสโนว์เฟลก
102	1	50020107	2023/12/1 4:59	86400	150:activity_letterfrom_letter_location_2_lock	150:activity_letterfrom_letter_location_2_unlock	1	斯图亚特广场	斯圖亞特廣場	Stuart Square	スチュアート広場	스튜어트 광장	จตุรัสสจวร์ต
103	1	50020206	2023/12/2 4:59	172800	150:activity_letterfrom_letter_location_3_lock	150:activity_letterfrom_letter_location_3_unlock	1	新利兹邮局	新利茲郵局	New Leids Post Office	ニューリーズ郵便局	뉴 리즈 우체국	ที่ทำการไปรษณีย์นิวลิซ
104	1	50020306	2023/12/3 4:59	259200	150:activity_letterfrom_letter_location_4_lock	150:activity_letterfrom_letter_location_4_unlock	1	罗赛塔花园	羅賽塔花園	Rosette Garden	ロゼータの庭園	로제타 가든	สวนโรเซตตา
105	1	50020408	2023/12/4 4:59	345600	150:activity_letterfrom_letter_location_5_lock	150:activity_letterfrom_letter_location_5_unlock	1	风蚀暗堡	風蝕暗堡	Eolus' Keep	風蝕の闇城	풍화된 벙커	บังเกอร์ลมกร่อน
201	2			0	193:activity_nameless_letter_location_1_lock	193:activity_nameless_letter_location_1_unlock	1	凯菲尔的排班记录	凱菲爾的排班記錄	Garfire's Scheduling Record	ガーフィールのシフト表	가르피엘의 근무 기록	ตารางงานของคาเฟียร์
202	2	50021108		86400	193:activity_nameless_letter_location_2_lock	193:activity_nameless_letter_location_2_unlock	1	黛蕾拉的排班记录	黛蕾拉的排班記錄	Delilah's Scheduling Record	デリラのシフト表	딜라일라의 근무 기록	ตารางงานของไดเลล่า
203	2	50021210		172800	193:activity_nameless_letter_location_3_lock	193:activity_nameless_letter_location_3_unlock	1	莉莉的排班记录	莉莉的排班記錄	Lily's Scheduling Record	リリーのシフト表	릴리의 근무 기록	ตารางงานของลิลี่
204	2	50021308		259200	193:activity_nameless_letter_location_4_lock	193:activity_nameless_letter_location_4_unlock	1	后日谈	後日談	After Story	後日談	후일담	เรื่องราวหลังจากนั้น
301	3			0	202:activity_water_letter_location_1_lock	202:activity_water_letter_location_1_unlock	1	繁华市集	繁華市集	Bustling Marketplace	市場	번화한 시장	ตลาดนัดสุดคึกคัก
302	3	50022105		86400	202:activity_water_letter_location_2_lock	202:activity_water_letter_location_2_unlock	1	主舞台	主舞臺	Main Stage	メインステージ	메인 무대	เวทีหลัก
303	3	50022205		172800	202:activity_water_letter_location_3_lock	202:activity_water_letter_location_3_unlock	1	室内舞台	室內舞臺	Indoor Stage	室内ステージ	실내 무대	โรงละครในร่ม
304	3	50022305		259200	202:activity_water_letter_location_4_lock	202:activity_water_letter_location_4_unlock	1	狂欢夜	狂歡夜	Carnival Night	カーニバルナイト	광희의 밤	คืนสุขสันต์
401	4			0	203:activity_cherry_letter_location_1_lock	203:activity_cherry_letter_location_1_unlock	1	暮樱赏会	暮櫻賞會	Sakura Gala	遅桜鑑賞会	늦벚꽃 감상회	งานชมดอกซากุระยามเย็น
402	4	50023104		86400	203:activity_cherry_letter_location_2_lock	203:activity_cherry_letter_location_2_unlock	1	豹豹日报社	豹豹日報社	Leopard Daily	ヒョウヒョウ日報社	레오파드 데일리	ต้าวเสือดาว เดลินิวส์
403	4	50023204		172800	203:activity_cherry_letter_location_3_lock	203:activity_cherry_letter_location_3_unlock	1	樱下夜径	櫻下夜徑	Nightshade Path	桜の夜道	벚꽃 아래에서의 밤길	เส้นทางใต้ต้นซากุระยามค่ำคืน
