id	Grade	PrizeId	PrizeNum	limitNum	mailID	status
int	int	int	int	int	int	int
1	65;128	300016;300002;419002	10000;100;1000	64	16001	1
2	33;64	300016;300002;419002	20000;200;2000	32	16002	1
3	17;32	300016;300002;419002	30000;300;3000	16	16003	1
4	9;16	300016;300002;419002;419001	40000;400;4000;1000	8	16004	1
5	5;8	300016;300002;419002;419001	50000;500;5000;1000	4	16005	1
6	4	300016;300002;419002;419001	60000;600;6000;2000	1	16006	1
7	3	300016;300002;419002;419001	70000;700;7000;3000	1	16007	1
8	2	300016;300002;419002;419001	80000;800;8000;4000	1	16008	1
9	1	300016;300002;419002;419001	100000;1000;10000;5000	1	16009	1
