id	activity	taskQuality	weight	taskContentType	taskContentId1	taskContentId2	taskContenNum	baseReward	baseNum	exceedTask	exceedTaskNum	exceedReward	exceedNum	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	3	1	100	513	800521	2	1	419001;900203;412001	20;2;3	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
2	3	1	100	513	800521	2	1	419001;900203;413001	20;2;3	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
3	3	1	100	513	800521	3	1	419001;900203;412001	23;3;5	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
4	3	1	100	513	800521	3	1	419001;900203;413001	23;3;5	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
5	3	1	100	513	800521	4	1	419001;900203;412001	26;5;8	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
6	3	1	100	513	800521	4	1	419001;900203;413001	26;5;8	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
7	3	1	100	513	800521	5	1	419001;900203;412001	29;7;12	6	1	900203,412001	3,4	1
8	3	1	100	513	800521	5	1	419001;900203;413001	29;7;12	6	1	900203,413001	3,4	1
9	3	1	100	513	800522	2	1	419001;900203;412001	20;2;3	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
10	3	1	100	513	800522	2	1	419001;900203;413001	20;2;3	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
11	3	1	100	513	800522	3	1	419001;900203;412001	23;3;5	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
12	3	1	100	513	800522	3	1	419001;900203;413001	23;3;5	4;5;6	1;1;1	900203,413001;900203,413001;900203,413001	2,2;4,4;7,6	1
13	3	1	100	513	800522	4	1	419001;900203;412001	26;5;8	5;6	1;1	900203,412001;900203,412001	2,3;5,5	1
14	3	1	100	513	800522	4	1	419001;900203;413001	26;5;8	5;6	1;1	900203,413001;900203,413001	2,3;5,5	1
15	3	1	100	513	800522	5	1	419001;900203;412001	29;7;12	6	1	900203,412001	3,4	1
16	3	1	100	513	800522	5	1	419001;900203;413001	29;7;12	6	1	900203,413001	3,4	1
17	3	2	100	513	800531	2	1	419001;900203;412001	23;2;5	3;4;5;6	1;1;1;1	900203,412001;900203,412001;900203,412001;900203,412001	1,1;3,3;5,5;8,8	1
18	3	2	100	513	800531	2	1	419001;900203;413001	23;2;5	3;4;5;6	1;1;1;1	900203,413001;900203,413001;900203,413001;900203,412001	1,1;3,3;5,5;8,8	1
19	3	2	100	513	800531	3	1	419001;900203;412001	26;3;8	4;5;6	1;1;1	900203,412001;900203,412001;900203,412001	2,2;4,4;7,6	1
