id	activityId	fishId	point	status
int	int	int	int	int
101	1	800411	1000	1
102	1	800412	1000	1
103	1	800421	1400	1
104	1	800422	1400	1
105	1	800431	2000	1
106	1	800432	2000	1
107	1	800441	3000	1
108	1	800442	3000	1
109	1	800451	5000	1
110	1	800452	5000	1
111	1	800461	8000	1
112	1	800462	8000	1
113	2	800511	1200	1
114	2	800512	1200	1
115	2	800521	1680	1
116	2	800522	1680	1
117	2	800531	2400	1
118	2	800532	2400	1
119	2	800541	3600	1
120	2	800542	3600	1
121	2	800551	6000	1
122	2	800552	6000	1
123	2	800561	9600	1
124	2	800562	9600	1
125	2	800563	9600	1
126	5	800111	1000	1
127	5	800121	1400	1
128	5	800131	2000	1
129	5	800141	3000	1
130	5	800151	5000	1
131	5	800161	8000	1
