id	activity	type	prepose	cost	costNum	reward	rewardNum	status
int	int	int	int	int	int	int	int	int
101	3	1	0	900203	30	412001;413001;300003	2;2;3000	1
102	3	1	101	900203	30	413001;300003;412001	3;4500;3	1
103	3	1	102	900203	30	300003;412001;413001	6000;4;4	1
104	3	1	103	900203	30	503302;503301;411001	1;2;100	1
105	3	1	104	900203	30	414002;419002;503301	1;200;1	1
106	3	1	105	900203	30	412001;413001;300003	2;2;3000	1
107	3	1	106	900203	30	413001;300003;412001	5;7500;5	1
108	3	1	107	900203	30	300003;412001;413001	10000;6;6	1
109	3	1	108	900203	30	417100;300022;300003	3;5000;3000	1
110	3	1	109	900203	30	414002;419002;503301	1;300;1	1
111	3	1	110	900203	30	412001;413001;300003	8;8;12000	1
112	3	1	111	900203	30	413001;300003;412001	10;15000;10	1
113	3	1	112	900203	30	300003;412001;413001	20000;12;12	1
114	3	1	113	900203	30	417200;300022;300003	1;7500;6000	1
115	3	1	114	900203	30	620108;419002;503301	1;400;1	1
116	3	1	115	900203	30	412001;413001;300003	15;15;20000	1
117	3	1	116	900203	30	413001;300003;412001	20;25000;20	1
118	3	1	117	900203	30	300003;412001;413001	30000;25;25	1
119	3	1	118	900203	30	417300;300022;300003	1;10000;10000	1
120	3	1	119	900203	30	620107;419002;503301	1;500;1	1
121	3	2	120	900203	30	508001	3	1
122	4	1	0	900204	30	412001;413001;300003	2;2;3000	1
123	4	1	122	900204	30	413001;300003;412001	3;4500;3	1
124	4	1	123	900204	30	300003;412001;413001	6000;4;4	1
125	4	1	124	900204	30	503302;503301;411001	1;2;100	1
126	4	1	125	900204	30	414002;419002;503301	1;200;1	1
127	4	1	126	900204	30	412001;413001;300003	2;2;3000	1
128	4	1	127	900204	30	413001;300003;412001	5;7500;5	1
129	4	1	128	900204	30	300003;412001;413001	10000;6;6	1
130	4	1	129	900204	30	417100;300022;300003	3;5000;3000	1
131	4	1	130	900204	30	414002;419002;503301	1;300;1	1
132	4	1	131	900204	30	412001;413001;300003	8;8;12000	1
133	4	1	132	900204	30	413001;300003;412001	10;15000;10	1
134	4	1	133	900204	30	300003;412001;413001	20000;12;12	1
135	4	1	134	900204	30	417200;300022;300003	1;7500;6000	1
136	4	1	135	900204	30	620117;419002;503301	1;400;1	1
137	4	1	136	900204	30	412001;413001;300003	15;15;20000	1
138	4	1	137	900204	30	413001;300003;412001	20;25000;20	1
139	4	1	138	900204	30	300003;412001;413001	30000;25;25	1
140	4	1	139	900204	30	417300;300022;300003	1;10000;10000	1
141	4	1	140	900204	30	620116;419002;503301	1;500;1	1
142	4	2	141	900204	30	508002	3	1
