id	activityId	point	reward	rewardNum	status
int	int	int	int	int	int
101	1	30000	300003;412001;413001	10000;1;1	1
102	1	60000	412001;413001;300003	10;3;500	1
103	1	100000	413001;300003;412001	12;6000;1	1
104	1	150000	419001;412001;300003	100;8;2000	1
105	1	200000	300022;417100;300003	3000;2;2500	1
106	1	250000	412001;300003;413001	20;10000;3	1
107	1	310000	413001;412001;300003	30;3;2500	1
108	1	370000	300003;413001;412001	25000;20;2	1
109	1	440000	419001;412001;300003	250;10;2500	1
110	1	510000	300022;417100;300003	6600;3;5000	1
111	1	590000	412001;300003;413001	40;15000;2	1
112	1	670000	413001;300003;412001	40;15000;2	1
113	1	750000	414002;300003;412001	2;30000;2	1
114	1	830000	419001;412001;300003	500;12;2500	1
115	1	910000	300003;412002;413001	48000;6;2	1
116	1	990000	412002;413001;300003	8;30;5000	1
117	1	1070000	413001;300003;412001	55;30000;5	1
118	1	1150000	411001;503302;300003	120;10;10000	1
119	1	1230000	300022;417100;300003	8800;10;10000	1
120	1	1310000	419001;412002;413001	750;2;2	1
121	1	1390000	412002;413001;300003	16;6;10000	1
122	1	1470000	411001;503303;300003	200;2;10000	1
123	1	1550000	300003;412002;413001	80000;6;10	1
124	1	1630000	413001;300003;412001	70;30000;10	1
125	1	1710000	300022;417200;300003	15000;5;20000	1
126	1	1790000	419001;412002;413001	1000;3;5	1
127	1	1870000	411001;412003;413001	280;2;5	1
128	1	1950000	412003;413001;300003	5;10;15000	1
129	1	2030000	300022;417300;300003	20000;3;20000	1
130	1	2110000	620082;412003;300003	1;4;50000	1
131	2	30000	300003;412001;413001	10000;1;1	1
132	2	60000	412001;413001;300003	10;3;500	1
133	2	100000	413001;300003;412001	12;6000;1	1
134	2	150000	419001;412001;300003	100;8;2000	1
135	2	200000	300022;417100;300003	3000;2;2500	1
136	2	250000	412001;300003;413001	20;10000;3	1
137	2	310000	413001;412001;300003	30;3;2500	1
138	2	370000	300003;413001;412001	25000;20;2	1
139	2	440000	419001;412001;300003	250;10;2500	1
140	2	510000	300022;417100;300003	6600;3;5000	1
141	2	590000	412001;300003;413001	40;15000;2	1
142	2	670000	413001;300003;412001	40;15000;2	1
143	2	750000	414002;300003;412001	2;30000;2	1
144	2	830000	419001;412001;300003	500;12;2500	1
145	2	910000	300003;412002;413001	48000;6;2	1
146	2	990000	412002;413001;300003	8;30;5000	1
147	2	1070000	413001;300003;412001	55;30000;5	1
148	2	1150000	411001;503302;300003	120;10;10000	1
149	2	1230000	300022;417100;300003	8800;10;10000	1
150	2	1310000	419001;412002;413001	750;2;2	1
151	2	1390000	412002;413001;300003	16;6;10000	1
152	2	1470000	411001;503303;300003	200;2;10000	1
153	2	1550000	300003;412002;413001	80000;6;10	1
154	2	1630000	413001;300003;412001	70;30000;10	1
155	2	1710000	300022;417200;300003	15000;5;20000	1
156	2	1790000	419001;412002;413001	1000;3;5	1
157	2	1870000	411001;412003;413001	280;2;5	1
158	2	1950000	412003;413001;300003	5;10;15000	1
159	2	2030000	300022;417300;300003	20000;3;20000	1
160	2	2110000	620095;412003;300003	1;4;50000	1
161	2	2560000	413001;412003;411001	80;1;20	1
162	2	3010000	503303;411001;300003	10;30;20000	1
163	2	3460000	412003;300003;413001	5;20000;5	1
164	2	3910000	411001;503302;300003	300;5;20000	1
165	2	4360000	413001;412003;300003	100;1;30000	1
166	5	30000	300003;412001;413001	10000;1;1	1
167	5	60000	412001;413001;300003	10;3;500	1
168	5	100000	413001;300003;412001	12;6000;1	1
169	5	150000	419001;412001;300003	100;8;2000	1
170	5	200000	300022;417100;300003	3000;2;2500	1
171	5	250000	412001;300003;413001	20;10000;3	1
172	5	310000	413001;412001;300003	30;3;2500	1
173	5	370000	300003;413001;412001	25000;20;2	1
174	5	440000	419001;412001;300003	250;10;2500	1
175	5	510000	300022;417100;300003	6600;3;5000	1
176	5	590000	412001;300003;413001	40;15000;2	1
177	5	670000	413001;300003;412001	40;15000;2	1
178	5	750000	414002;300003;412001	2;30000;2	1
179	5	830000	419001;412001;300003	500;12;2500	1
180	5	910000	300003;412002;413001	48000;6;2	1
181	5	990000	412002;413001;300003	8;30;5000	1
182	5	1070000	413001;300003;412001	55;30000;5	1
183	5	1150000	411001;503302;300003	120;10;10000	1
184	5	1230000	300022;417100;300003	8800;10;10000	1
185	5	1310000	419001;412002;413001	750;2;2	1
186	5	1390000	412002;413001;300003	16;6;10000	1
187	5	1470000	411001;503303;300003	200;2;10000	1
188	5	1550000	300003;412002;413001	80000;6;10	1
189	5	1630000	413001;300003;412001	70;30000;10	1
190	5	1710000	300022;417200;300003	15000;5;20000	1
191	5	1790000	419001;412002;413001	1000;3;5	1
192	5	1870000	411001;412003;413001	280;2;5	1
193	5	1950000	412003;413001;300003	5;10;15000	1
194	5	2030000	300022;417300;300003	20000;3;20000	1
195	5	2110000	620131;412003;300003	1;4;50000	1
196	5	2560000	413001;412003;411001	80;1;20	1
197	5	3010000	503303;411001;300003	10;30;20000	1
198	5	3460000	412003;300003;413001	5;20000;5	1
199	5	3910000	411001;503302;300003	300;5;20000	1
200	5	4360000	413001;412003;300003	100;1;30000	1
