id	pond	grade	reward	rewardNum	status
int	int	int	int	int	int
101	1	3	3000003	10000	1
102	1	4	4101002	10	1
103	1	5	4101003	10	1
104	1	6	6230007	1	1
105	2	3	3000003	10000	1
106	2	4	4101002	10	1
107	2	5	4101003	10	1
108	2	6	6230008	1	1
109	3	3	3000003	10000	1
110	3	4	4101002	10	1
111	3	5	4101003	10	1
112	3	6	6230009	1	1
113	4	3	3000003	10000	1
114	4	4	4101002	10	1
115	4	5	4101003	10	1
116	4	6	6230010	1	1
117	5	3	3000003	10000	1
118	5	4	4101002	10	1
119	5	5	4101003	10	1
120	5	6	6230011	1	1
121	6	3	3000003	10000	1
122	6	4	4101002	10	1
123	6	5	4101003	10	1
124	6	6	6230012	1	1
