id	pond	rare	isSpecial	isKing	weight	exp	currency	price	length	bigProbability	unlock	additionalReward	additionalProbability	propReward	propProbability	recommendBait	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
8000111	1	1			50000	0	0	0	10	0.05						8200101	1
8000321	1	1			150000	0	0	0	20	0.05	5530026					8200101	1
8000121	1	2			150000	0	0	0	15	0.05	5530027					8200102	1
8000222	1	2			50000	0	0	0	18	0.05						8200102	1
8000131	1	3			150000	0	0	0	40	0.05	5530028					8200103	1
8000422	1	3			50000	0	0	0	70	0.05						8200103	1
8000462	1	4			50000	0	0	0	30	0.05						8200104	1
8000151	1	4			150000	0	0	0	5	0.05	5530001					8200104	1
8000141	1	5			150000	0	0	0	9	0.05	5530004					8200105	1
8000161	1	5			50000	0	0	0	20	0.05						8200105	1
8000211	2	1			150000	0	0	0	12	0	5530029					8200201	1
8000212	2	1			50000	0	0	0	12	0						8200201	1
8000221	2	2			50000	0	0	0	8	0						8200202	1
8000241	2	2			150000	0	0	0	40	0	5530014					8200202	1
8000231	2	3			50000	0	0	0	18	0						8200203	1
8000232	2	3			150000	0	0	0	12	0	5530015					8200203	1
8000242	2	4			50000	0	0	0	17	0						8200204	1
8000251	2	4			150000	0	0	0	50	0	5530005					8200204	1
8000261	2	5			150000	0	0	0	30	0	5530006					8200205	1
8000733	2	5			50000	0	0	0	4	0						8200205	1
8000311	3	1			150000	0	0	0	7	-0.05	5530030					8200301	1
8000312	3	1			50000	0	0	0	20	-0.05						8200301	1
8000322	3	2			50000	0	0	0	17	-0.05						8200302	1
8000341	3	2			150000	0	0	0	20	-0.05	5530017					8200302	1
8000331	3	3			50000	0	0	0	8	-0.05						8200303	1
8000332	3	3			150000	0	0	0	50	-0.05	5530019					8200303	1
8000342	3	4			50000	0	0	0	25	-0.05						8200304	1
8000361	3	4			150000	0	0	0	30	-0.05	5530008					8200304	1
8000351	3	5			150000	0	0	0	120	-0.05	5530007					8200305	1
8000663	3	5			50000	0	0	0	100	-0.05						8200305	1
8000411	4	1			50000	0	0	0	20	-0.1						8200401	1
8000421	4	1			150000	0	0	0	50	-0.1	5530002					8200401	1
8000412	4	2			50000	0	0	0	30	-0.1						8200402	1
8000432	4	2			150000	0	0	0	50	-0.1	5530016					8200402	1
8000431	4	3			50000	0	0	0	45	-0.1						8200403	1
8000441	4	3			150000	0	0	0	200	-0.1	5530018					8200403	1
8000442	4	4			50000	0	0	0	15	-0.1						8200404	1
8000452	4	4			150000	0	0	0	25	-0.1	5530010					8200404	1
8000461	4	5			150000	0	0	0	70	-0.1	5530009					8200405	1
8000752	4	5			50000	0	0	0	30	-0.1						8200405	1
8000512	5	1			50000	0	0	0	20	-0.2						8200501	1
8000521	5	1			150000	0	0	0	210	-0.2	5530003					8200501	1
8000511	5	2			50000	0	0	0	10	-0.2						8200502	1
8000531	5	2			150000	0	0	0	40	-0.2	5530022					8200502	1
8000522	5	3			50000	0	0	0	25	-0.2						8200503	1
8000542	5	3			150000	0	0	0	10	-0.2	5530020					8200503	1
8000541	5	4			50000	0	0	0	25	-0.2						8200504	1
8000552	5	4			150000	0	0	0	10	-0.2	5530013					8200504	1
8000551	5	5			50000	0	0	0	30	-0.2						8200505	1
8000561	5	5			150000	0	0	0	15	-0.2	5530011					8200505	1
8000612	6	1			150000	0	0	0	20	-0.3	5530021					8200601	1
8000622	6	1			50000	0	0	0	40	-0.3						8200601	1
8000621	6	2			50000	0	0	0	10	-0.3						8200602	1
8000631	6	2			150000	0	0	0	100	-0.3	5530023					8200602	1
8000632	6	3			50000	0	0	0	10	-0.3						8200603	1
8000642	6	3			150000	0	0	0	40	-0.3	5530024					8200603	1
8000641	6	4			50000	0	0	0	25	-0.3						8200604	1
8000651	6	4			150000	0	0	0	20	-0.3	5530012					8200604	1
8000652	6	5			50000	0	0	0	50	-0.3						8200605	1
8000661	6	5			150000	0	0	0	12	-0.3	5530025					8200605	1
