id	activityId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status
int	int	int	int	int	int	int	int	int
101	1	1	100	1	300002;412003;413001;620090	200;10;100;1	80001	1
102	1	1	1	2	300002;412003;413001;620088	160;8;90;1	80002	1
103	1	2	10	2	300002;412003;413001;620088	150;7;80;1	80003	1
104	1	11	20	2	300002;412002;413001;620088	140;30;75;1	80004	1
105	1	21	50	2	300002;412002;413001;620088	130;28;70;1	80005	1
106	1	51	70	2	300002;412002;413001;620088	120;26;65;1	80006	1
107	1	71	80	2	300002;412002;413001;620088	110;24;60;1	80007	1
108	1	81	100	2	300002;412002;413001;620088	100;22;55;1	80008	1
109	2	1	100	1	300002;412003;413001;620097	200;10;100;1	80001	1
110	2	1	1	2	300002;412003;413001;620097	160;8;90;1	80002	1
111	2	2	10	2	300002;412003;413001;620096	150;7;80;1	80003	1
112	2	11	20	2	300002;412002;413001;620096	140;30;75;1	80004	1
113	2	21	50	2	300002;412002;413001;620096	130;28;70;1	80005	1
114	2	51	70	2	300002;412002;413001;620096	120;26;65;1	80006	1
115	2	71	80	2	300002;412002;413001;620096	110;24;60;1	80007	1
116	2	81	100	2	300002;412002;413001;620096	100;22;55;1	80008	1
117	5	1	100	1	300002;412003;413001;620134	200;10;100;1	80001	1
118	5	1	1	2	300002;412003;413001;620134	160;8;90;1	80002	1
119	5	2	10	2	300002;412003;413001;620133	150;7;80;1	80003	1
120	5	11	20	2	300002;412002;413001;620133	140;30;75;1	80004	1
121	5	21	50	2	300002;412002;413001;620133	130;28;70;1	80005	1
122	5	51	70	2	300002;412002;413001;620133	120;26;65;1	80006	1
123	5	71	80	2	300002;412002;413001;620133	110;24;60;1	80007	1
124	5	81	100	2	300002;412002;413001;620133	100;22;55;1	80008	1
