id	starLv1	additionType1	additionCondition1	additionValue1	status
int	int	int	int	int	int
101005	0	102	1	0.15	1
102001	0	102	2	0.15	1
103019	0	102	3	0.15	1
104005	0	102	4	0.15	1
105002	0	102	5	0.15	1
106001	0	102	6	0.15	1
108008	0	102	5	0.15	1
101008	0	302		0.2	1
101011	0	102	1	0.1	1
102008	0	302		0.2	1
103008	0	102	2	0.1	1
103002	0	302		0.2	1
104003	0	102	3	0.1	1
104008	0	302		0.2	1
105001	0	102	4	0.1	1
105006	0	302		0.2	1
106008	0	102	5	0.1	1
106010	0	302		0.2	1
107008	0	102	6	0.1	1
107005	0	302		0.2	1
108004	0	102	1	0.1	1
111008	0	302		0.2	1
112008	0	102	2	0.1	1
113008	0	302		0.2	1
114008	0	102	3	0.1	1
115008	0	102	2	0.1	1
121008	0	302		0.2	1
105004	0	102	3	0.1	1
125008	0	302		0.2	1
137008	0	102	4	0.1	1
101013	0	302		0.1	1
102007	0	102	1	0.08	1
102011	0	302		0.1	1
102021	0	102	2	0.08	1
103007	0	302		0.1	1
103021	0	102	3	0.08	1
104001	0	302		0.1	1
105008	0	102	4	0.08	1
106002	0	302		0.1	1
107001	0	102	5	0.08	1
108001	0	302		0.1	1
108006	0	102	6	0.08	1
109008	0	302		0.1	1
110008	0	102	1	0.08	1
111002	0	302		0.1	1
112002	0	102	2	0.08	1
113001	0	302		0.1	1
114001	0	102	3	0.08	1
127008	0	302		0.1	1
130008	0	102	6	0.08	1
131008	0	302		0.1	1
117008	0	102	1	0.08	1
103006	0	302		0.1	1
106009	0	102	2	0.08	1
107010	0	302		0.1	1
123008	0	102	3	0.08	1
129008	0	302		0.1	1
135008	0	302		0.1	1
116001	0	302		0.1	1
140008	0	102	6	0.08	1
129001	0	302		0.1	1
109002	0	102	1	0.08	1
113002	0	302		0.1	1
114002	0	102	2	0.08	1
138001	0	302		0.1	1
138008	0	102	3	0.08	1
802008	0	302		0.1	1
803008	0	102	4	0.08	1
801008	0	302		0.1	1
127001	0	102	5	0.08	1
136008	0	302		0.1	1
104016	0	102	6	0.08	1
103009	0	302		0.1	1
102012	0	102	1	0.08	1
101018	0	302		0.1	1
144001	0	102	2	0.08	1
144008	0	302		0.1	1
141008	0	102	3	0.08	1
129002	0	302		0.1	1
804008	0	102	4	0.08	1
805008	0	302		0.1	1
806008	0	102	5	0.08	1
120008	0	302		0.1	1
119008	0	102	6	0.08	1
133008	0	302		0.1	1
104007	0	102	1	0.08	1
103003	0	302		0.1	1
103017	0	102	2	0.08	1
102018	0	302		0.1	1
101012	0	102	3	0.08	1
104009	0	302		0.1	1
139008	0	102	4	0.08	1
149008	0	302		0.1	1
143008	0	102	5	0.08	1
122008	0	302		0.1	1
152008	0	102	6	0.08	1
135001	0	302		0.1	1
104013	0	102	1	0.08	1
106011	0	302		0.1	1
153008	0	102	2	0.08	1
151008	0	302		0.1	1
150008	0	102	3	0.08	1
148008	0	302		0.1	1
154008	0	102	4	0.08	1
803001	0	102	4	0.08	1
146008	0	302		0.1	1
103012	0	102	5	0.1	1
147008	0	302		0.08	1
159008	0	102	6	0.1	1
126008	0	102	4	0.08	1
128008	0	102	6	0.1	1
131001	0	302		0.08	1
160008	0	102	1	0.08	1
161008	0	302		0.1	1
102005	0	102	2	0.08	1
156008	0	302		0.1	1
157008	0	102	3	0.08	1
158008	0	302		0.1	1
163008	0	102	4	0.08	1
162008	0	302		0.1	1
101002	0	102	5	0.08	1
132008	0	302		0.1	1
164008	0	102	6	0.1	1
155008	0	302		0.08	1
145008	0	102	1	0.08	1
103005	0	302		0.1	1
165008	0	102	2	0.08	1
135002	0	302		0.1	1
144002	0	102	3	0.08	1
166008	0	302		0.1	1
103010	0	102	4	0.08	1
167008	0	302		0.1	1
102017	0	102	5	0.08	1
104004	0	302		0.1	1
170008	0	102	6	0.1	1
102013	0	302		0.1	1
104002	0	102	1	0.08	1
169008	0	302		0.1	1
103011	0	102	2	0.08	1
171008	0	302		0.1	1
106005	0	102	3	0.08	1
172008	0	302		0.1	1
173008	0	102	4	0.08	1
102010	0	302		0.1	1
