id	initCD	skillCD	maxNum	skillOrder	status
int	int	int	int	int	int
10100101	0	3	3	1	1
10100102	0	3	3	1	1
10100103	0	3	3	1	1
10100104	0	3	3	1	1
10100201	0	3	3	1	1
10100202	0	3	3	1	1
10100203	0	3	3	1	1
10100204	0	3	3	1	1
10100301	0	3	3	1	1
10100302	0	3	3	1	1
10100303	0	3	3	1	1
10100304	0	3	3	1	1
10100401	0	3	3	1	1
10100402	0	3	3	1	1
10100403	0	3	3	1	1
10100404	0	3	3	1	1
10100501	0	3	3	1	1
10100502	0	3	3	1	1
10100503	0	3	3	1	1
10100504	0	3	3	1	1
10100601	0	3	3	1	1
10100602	0	3	3	1	1
10100603	0	3	3	1	1
10100604	0	3	3	1	1
10100801	0	3	3	1	1
10100802	0	3	3	1	1
10100803	0	3	3	1	1
10100804	0	3	3	1	1
10101001	0	3	3	1	1
10101002	0	3	3	1	1
10101003	0	3	3	1	1
10101004	0	3	3	1	1
10200101	0	3	3	1	1
10200102	0	3	3	1	1
10200103	0	3	3	1	1
10200104	0	3	3	1	1
10400301	0	3	3	1	1
10400302	0	3	3	1	1
10400303	0	3	3	1	1
10400304	0	3	3	1	1
10400401	0	3	3	1	1
10400402	0	3	3	1	1
10400403	0	3	3	1	1
10400404	0	3	3	1	1
10400601	0	3	3	1	1
10400602	0	3	3	1	1
10400603	0	3	3	1	1
10400604	0	3	3	1	1
10401001	0	3	3	1	1
10401002	0	3	3	1	1
10401003	0	3	3	1	1
10401004	0	3	3	1	1
10500101	0	3	3	1	1
10500102	0	3	3	1	1
10500103	0	3	3	1	1
10500104	0	3	3	1	1
10500201	0	3	3	1	1
10500202	0	3	3	1	1
10500203	0	3	3	1	1
10500204	0	3	3	1	1
10501301	0	3	3	-1	1
10501302	0	3	3	-1	1
10501303	0	3	3	-1	1
10501304	0	3	3	-1	1
10501401	0	3	3	1	1
10501402	0	3	3	1	1
10501403	0	3	3	1	1
10501404	0	3	3	1	1
10501501	0	3	3	1	1
10501502	0	3	3	1	1
10501503	0	3	3	1	1
10501504	0	3	3	1	1
