roleId	types	subtype	rare	starMin	starMax	catId	kind	inHandBook	picture	skillPicture	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
6401001	1	1	3	0	6	101	2101;2203;2306;2401;2503;2608;3101	1	36:catball_card_101001		1	布脑斧	布腦斧	Tiger Plushie	布老虎	도끼눈냥	แมวลายเสือ
6401002	1	1	3	0	6	101	2102;2207;2301;2410;2510;2606;3102;4307;4106	1	36:catball_card_101002		1	鬼马精灵	鬼馬精靈	Imp	小悪魔	고스트냥	แฟนธอมแคท
6401003	1	1	3	0	6	101	2109;2206;2308;2402;2507;2607;3103	0	36:catball_card_101003		1	猫老大	貓老大	Top Cat	おかしらニャンコ	냥보스	ลูกพี่เหมียว
6401004	1	3	3	0	6	101	2106;2210;2305;2406;2509;2610;3104;4107;4207	1	36:catball_card_101004		1	姜饼驯鹿	姜餅馴鹿	Rudie	赤い鼻の猫	진저루돌프	เรนเดียร์จินเจอร์
6401005	1	2	3	0	6	101	2101;2208;2307;2407;2508;2601;3105;4108;4208	1	36:catball_card_101005		1	猫咪教父	貓咪教父	Whisker Don	ゴッドファーザー	냥신부님	แคทฟาเธอร์
6401006	1	2	3	0	6	101	2108;2201;2310;2401;2503;2603;3106;4308;4109;4209	0	36:catball_card_101006		1	混血王子	混血王子	Bookworm	猫の王子様	왕자님냥	เจ้าชายเลือดผสม
6401008	1	1	3	0	6	101	2103;2202;2302;2403;2506;2608;3108;4310;4110;4405	1	36:catball_card_101008		1	恐龙幼崽	恐龍幼崽	Baby Dino	ダイニャソー	아기공룡냥	ไดโนคิตตี้
6401010	1	3	3	0	6	101	2107;2206;2301;2408;2509;2610;3110;4312	1	36:catball_card_101010		1	角黍之祀	角黍之祀	Rice Dumpling	角黍の祀り	댓잎냥냥	บ๊ะจ่าง
6402001	1	3	3	0	6	102	2103;2201;2302;2403;2501;2602;3201;4105;4205	0	36:catball_card_102001		1	不灭之躯	不滅之軀	The Immortal	不滅な肉体	강시냥냥	อินฟินิตี้
