id	area	skillId	skillTime	skillProbability	skillNum	skillSurelyTimes	skillWeight	goodsID	goodsSkillTime	goodsSkillProbability	goodsSkillNum	goodsSkillSurelyTimes	status
int	int	int	int	int	int	int	int	int	int	int	int	int	int
6404002	1	9100	270;250;230;210;190;170;150	0.75;0.75;0.75;0.75;0.75;0.75;0.75	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;250;230;210;190;170;150	0.12;0.12;0.12;0.12;0.12;0.12;0.12	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6402009	1	9100	270;255;240;225;210;195;180	0.55;0.55;0.55;0.55;0.55;0.55;0.55	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;255;240;225;210;195;180	0.085;0.085;0.085;0.085;0.085;0.085;0.085	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6405003	1	9100	270;260;250;240;230;220;210	0.5;0.5;0.5;0.5;0.5;0.5;0.5	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;260;250;240;230;220;210	0.07;0.07;0.07;0.07;0.07;0.07;0.07	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6404005	2	9200	270;250;230;210;190;170;150	0.75;0.75;0.75;0.75;0.75;0.75;0.75	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;250;230;210;190;170;150	0.12;0.12;0.12;0.12;0.12;0.12;0.12	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6402008	2	9200	270;255;240;225;210;195;180	0.55;0.55;0.55;0.55;0.55;0.55;0.55	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;255;240;225;210;195;180	0.085;0.085;0.085;0.085;0.085;0.085;0.085	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6405005	2	9200	270;260;250;240;230;220;210	0.5;0.5;0.5;0.5;0.5;0.5;0.5	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;260;250;240;230;220;210	0.07;0.07;0.07;0.07;0.07;0.07;0.07	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6401007	3	9300	270;250;230;210;190;170;150	0.75;0.75;0.75;0.75;0.75;0.75;0.75	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;250;230;210;190;170;150	0.12;0.12;0.12;0.12;0.12;0.12;0.12	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6404007	3	9300	270;255;240;225;210;195;180	0.55;0.55;0.55;0.55;0.55;0.55;0.55	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;255;240;225;210;195;180	0.085;0.085;0.085;0.085;0.085;0.085;0.085	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6405006	3	9300	270;260;250;240;230;220;210	0.5;0.5;0.5;0.5;0.5;0.5;0.5	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;260;250;240;230;220;210	0.07;0.07;0.07;0.07;0.07;0.07;0.07	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6403006	4	9400	270;250;230;210;190;170;150	0.75;0.75;0.75;0.75;0.75;0.75;0.75	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;250;230;210;190;170;150	0.12;0.12;0.12;0.12;0.12;0.12;0.12	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6402007	4	9400	270;255;240;225;210;195;180	0.55;0.55;0.55;0.55;0.55;0.55;0.55	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;255;240;225;210;195;180	0.085;0.085;0.085;0.085;0.085;0.085;0.085	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6405007	4	9400	270;260;250;240;230;220;210	0.5;0.5;0.5;0.5;0.5;0.5;0.5	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;260;250;240;230;220;210	0.07;0.07;0.07;0.07;0.07;0.07;0.07	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6404009	5	9500	270;250;230;210;190;170;150	0.75;0.75;0.75;0.75;0.75;0.75;0.75	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;250;230;210;190;170;150	0.12;0.12;0.12;0.12;0.12;0.12;0.12	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
6401009	5	9500	270;255;240;225;210;195;180	0.55;0.55;0.55;0.55;0.55;0.55;0.55	1;1;1;1;1;1;1	4;4;4;4;4;4;4	1000;1000;1000;1000;1000;1000;1000	5030501	270;255;240;225;210;195;180	0.085;0.085;0.085;0.085;0.085;0.085;0.085	1;1;1;1;1;1;1	20;20;20;20;20;20;20	1
