type	id	status
string	string	int
101_3_	1010003,1010004,1010006	1
101_1_	1010101,1010102	1
101_6_	1010201	1
101_8_	1010099	1
102_3_	1020001,1020002,1020010	1
102_1_	1020101,1020102	1
102_6_	1020201	1
102_8_	1020099	1
103_3_	1030003,1030007,1030008	1
103_1_	1030101,1030102	1
103_6_	1030201	1
103_8_	1030099	1
104_3_	1040001,1040002,1040006	1
104_1_	1040101	1
104_6_	1040201	1
104_8_	1040099	1
108_3_	1080001,1080002	1
108_1_	1080004	1
108_8_	1080003	1
105_1_	1050101	1
105_6_	1050201	1
105_8_	1050099	1
106_1_	1060101	1
106_6_	1060201	1
106_8_	1060099	1
107_1_	1070101	1
107_6_	1070201	1
107_8_	1070099	1
109_8_	1090099	1
