id	path	export	status
int	string	string	int
2	CSV数值表/数据表-海外/基础表/UI多语言对照	Data/Common/UISubtitle	1
3	CSV数值表/数据表-海外/基础表/解锁条件表	Data/Common/UnlockCondition	1
5	CSV数值表/数据表-海外/天赋表/角色天赋表	Data/Talent/RoleTalent	1
4	CSV数值表/数据表-海外/基础表/资源消耗表	Data/Common/ResourceConsume	1
6	图像品质/苹果手机型号	Data/Common/iOSDevices	2
9	图像品质/图像品质	Data/Common/Graphic	1
7	CSV数值表/数据表-海外/基础表/怪物坐标表	Data/Common/DrawingLocation	1
14	模块/UI模块预设路径表	Module/UIModulePrefabs	1
15	CSV数值表/数据表-海外/角色表/角色升阶等级上限表	Data/Card/EvolutionLevelLimit	1
16	CSV数值表/数据表-海外/角色表/角色星级属性表	Data/Card/Star	1
17	CSV数值表/数据表-海外/角色表/角色卡牌升级经验表	Data/Card/LevelExp	1
18	CSV数值表/数据表-海外/养成表/经验折损表	Data/Card/ExpLoss	1
19	CSV数值表/数据表-海外/角色表/角色表	Data/Card/Roles	1
20	CSV数值表/数据表-海外/角色表/角色突破表	Data/Card/Awakening	1
21	CSV数值表/数据表-海外/道具表/41消耗道具表	Data/Goods/ConsumeGoods	1
22	模块/模块预设路径表	Module/ModulePrefabs	1
8	模块/场景资源表	Module/Scenes	1
23	CSV数值表/数据表-海外/道具表/30货币表	Data/Goods/CurrencyGoods	1
24	CSV数值表/数据表-海外/新主线关卡/关卡阵容表	Data/Quest/QuestLineup	1
25	CSV数值表/数据表-海外/角色表/角色升阶数据表	Data/Card/RoleAdvance	1
26	CSV数值表/数据表-海外/新主线关卡/星级条件表	Data/Quest/StarConditions	1
28	CSV数值表/数据表-海外/角色表/角色卡牌表	Data/Card/Card	1
29	CSV数值表/数据表-海外/资源路径表	Module/ResourcesPath	1
30	CSV数值表/数据表-海外/角色表/卡牌专武表	Data/Card/ExclusiveWeapon	1
31	CSV数值表/数据表-海外/角色表/专武升级概率表	Data/Card/ExclusiveWeaponRate	1
