id	conditionType	conditionNum	reward	rewardNum	status
int	int	int	int	int	int
1011	100	0	419001;300003;413002	200;20000;3	1
1012	900	3	300003;412003;413002	25000;1;3	1
1013	1300	3	419001;300003;300002	300;30000;50	1
1021	100	0	419001;300003;413002	300;25000;4	1
1022	900	3	300003;412003;413002	30000;2;4	1
1023	1300	3	419001;300003;300002	400;35000;60	1
1031	100	0	419001;300003;413002	400;30000;5	1
1032	900	3	300003;412003;413002	35000;2;5	1
1033	1300	3	419001;300003;300002	500;40000;70	1
1041	100	0	419001;300003;413002	500;35000;6	1
1042	900	3	300003;412003;413002	40000;2;6	1
1043	1300	3	419001;300003;300002	600;45000;80	1
1051	100	0	419001;300003;413002	600;40000;7	1
1052	900	3	300003;412003;413002	45000;3;7	1
1053	1300	3	419001;300003;300002	700;50000;90	1
1061	100	0	419001;300003;413002	700;45000;8	1
1062	900	3	300003;412003;413002	50000;3;8	1
1063	1300	3	419001;300003;300002	800;55000;100	1
