roleId	name	likeGiftId	love	status
int	int	int	int	int
101005	涂鸦战争	5730027;5730024	24;26	1
101008	自由轮滑	5730026;5730020	22;26	1
101011	棒球龙魂	5730024;5730020	26;26	1
101013	森林守护者	5730030;5730006	22;30	1
102001	星之愿	5730005;5730012	28;28	1
102007	电音骑士	5730001;5730030	28;22	1
102008	机械助理	5730029;5730022	22;24	1
102011	鳐摇心情	5730029;5730003	22;22	1
102021	完美效劳	5730020;5730021	26;22	1
103002	纯真拜访者	5730018;5730006	26;30	1
103007	浮世谣	5730006;5730011	30;30	1
103008	恬静时刻	5730007;5730001	30;28	1
103019	枕边童话	5730017;5730005	24;28	1
103021	心动疗愈	5730003;5730028	22;26	1
104001	绯红武士	5730015;5730024	26;26	1
104003	封面女郎	5730017;5730007	24;30	1
104005	高级特工	5730015;5730023	26;24	1
104008	夜间执勤	5730019;5730025	26;30	1
105001	障碍破坏	5730016;5730012	24;28	1
105002	纪律监督	5730010;5730019	28;26	1
105006	海滩冒险	5730007;5730017	30;24	1
105008	英雄憧憬	5730016;5730019	24;26	1
106001	搬运工	5730012;5730002	28;22	1
106002	幽灵社团	5730016;5730005	24;28	1
106008	橘色纯真	5730001;5730011	28;30	1
106010	不思议鸭鸭	5730013;5730012	28;28	1
107001	烈火战线	5730010;5730024	28;26	1
107005	雪地飞驰	5730009;5730021	30;22	1
107008	继承者	5730002;5730010	22;28	1
108001	战略潜艇	5730007;5730014	30;24	1
108004	棋盘游戏	5730023;5730002	24;22	1
108006	涤荡者	5730013;5730019	28;26	1
108008	AI助理	5730004;5730006	30;30	1
109008	致命音符	5730009;5730007	30;30	1
110008	秘密调查	5730023;5730030	24;22	1
111002	长夜冰冕	5730003;5730023	22;24	1
111008	镜光旖梦	5730009;5730022	30;24	1
112002	冬季奇遇	5730025;5730018	30;26	1
112008	爱心妆点	5730005;5730004	28;30	1
113001	火树流光	5730028;5730023	26;24	1
113008	银钩墨舞	5730027;5730018	24;26	1
114001	夕雪晚照	5730026;5730014	22;24	1
114008	墨蕴寻真	5730028;5730015	26;26	1
904001	憎恶斗者	5730030;5730017	22;24	1
904002	守夜人	5730006;5730026	30;22	1
904005	修习者	5730014;5730013	24;28	1
904006	电玩怪客	5730019;5730022	26;24	1
904009	欺诈小丑	5730008;5730004	28;30	1
904010	爆裂火山	5730022;5730001	24;28	1
904014	苍白舞者	5730020;5730027	26;24	1
904015	怪力巨兔	5730021;5730015	22;26	1
904020	时运失衡	5730003;5730008	22;28	1
