id	cardId	level	consNum	mood	rewardIcon	rewardItem	rewardNum	voice	action	file	property	status	rewardType	action_txt	action_txt_zh_TW	action_txt_en_UK	action_txt_ja_JP	action_txt_ko_KR	action_txt_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
10100800	101008	1	0	300								1	1						
10100801	101008	2	300	600	6:goods_icon_5340004	4101002	3			1		1	1						
10100802	101008	3	600	900	6:goods_icon_3000003	3000003	45000			2		1	1						
10100803	101008	4	900	1200	6:goods_icon_5340003	4102021	2			3		1	1						
10100804	101008	5	1200	1500	6:goods_icon_4190001	4190001	80			4		1	1	待机动作2	待機動作2	Idle animation 2	待機モーション2	대기 동작2	ท่าสแตนบาย 2
10100805	101008	6	1500	1800	6:goods_icon_3000002	3000002	80			5		1	1						
10101100	101011	1	0	200								1	1						
10101101	101011	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10101102	101011	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10101103	101011	4	600	800	6:goods_icon_5340003	4102021	1			3		1	1						
10101104	101011	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10101105	101011	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10100500	101005	1	0	200								1	1						
10100501	101005	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10100502	101005	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10100503	101005	4	600	800	6:goods_icon_5340003	4102011	1			3		1	1						
10100504	101005	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10100505	101005	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10101300	101013	1	0	200								1	1						
10101301	101013	2	200	400	6:goods_icon_5340004	4101002	2			1		1	1						
10101302	101013	3	400	600	6:goods_icon_3000003	3000003	30000			2		1	1						
10101303	101013	4	600	800	6:goods_icon_5340003	4102031	1			3		1	1						
10101304	101013	5	800	1000	6:goods_icon_4190001	4190001	50			4		1	1						
10101305	101013	6	1000	1200	6:goods_icon_3000002	3000002	50			5		1	1						
10200800	102008	1	0	250								1	1						
