id	roleId	skinId	isInteractive	jsonName	Version	demoJsonName	rolePrefabPath	rolePrefabPath_HeXie	sceneParamsJsonName	scenePrefabPath	bgmType	sheet	cueName	itemId	heXieId	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	103021	10302101	1	103021		103021_demo	Arts/Prefab_lobby/103021_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส
2	103021	10302199	1	103021		103021_demo	Arts/Prefab_lobby/10302199_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส
3	140008	14000801	1	140008		140008_demo	Arts/Prefab_lobby/140008_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1	丝薇蒂	絲薇蒂	Sylviette	シルヴェッティ	스위티	ซิลเว็ตต์
4	140008	14000899	1	140008		140008_demo	Arts/Prefab_lobby/14000899_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1	丝薇蒂	絲薇蒂	Sylviette	シルヴェッティ	스위티	ซิลเว็ตต์
5	129001	12900101	1	129001		129001_demo	Arts/Prefab_lobby/129001_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1						
6	129001	12900199	1	129001		129001_demo	Arts/Prefab_lobby/12900199_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1						
7	108006	10800601	1	108006		108006_demo	Arts/Prefab_lobby/108006_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1						
8	108006	10800699	1	108006		108006_demo	Arts/Prefab_lobby/10800699_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1						
9	138008	13800802	1	13800802		13800802_demo	Arts/Prefab_lobby/13800802_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				-1		1						
10	113001	11300102	1	11300102		11300102_demo	Arts/Prefab_lobby/11300102_lobby.prefab		11300102	Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				6000001		1	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน
11	114001	11400102	1	11400102		11400102_demo	Arts/Prefab_lobby/11400102_lobby.prefab		11400102	Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene.prefab				6000002		1	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย
12	111002	11100250	1	11100250		11100250_demo	Arts/Prefab_lobby/11100250_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bathroom.prefab		Audio/bgm_live3d_anya_bathroom	bgm_live3d_anya_bathroom	6000003	6100001	1	安雅	安雅	Anja	アンヤ	아냐	อันยา
13	103021	10302150	1	10302150		10302150_demo	Arts/Prefab_lobby/10302150_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bathroom.prefab		Audio/bgm_live3d_anya_bathroom	bgm_live3d_anya_bathroom	6000004		1	特莉丝	特莉絲	Triss	トリス	트리스	ทริส
14	129002	12900250	1	12900250		12900250_demo	Arts/Prefab_lobby/12900250_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bar.prefab	1			6000005		1	丝薇蒂	絲薇蒂	Sylviette	シルヴェッティ	스위티	ซิลเว็ตต์
15	136008	13600850	1	13600850		13600850_demo	Arts/Prefab_lobby/13600850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_Garden.prefab		Audio/bgm_live3d_garden	bgm_live3d_garden	6000006		1	法夕黛	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย
16	127001	12700150	1	12700150		12700150_demo	Arts/Prefab_lobby/12700150_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bed.prefab		Audio/bgm_live3d_bedsea	bgm_live3d_bedsea	6000007		1	祈	祈	Qi	祈	기	ฉี
17	141008	14100850	1	14100850		14100850_demo	Arts/Prefab_lobby/14100850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_recliner.prefab		Audio/bgm_live3d_beach	bgm_live3d_beach	6000008		1	铃	鈴	Linn	リン	린	ลินน์
18	129001	12900150	1	12900250		12900250_demo	Arts/Prefab_lobby/12900250_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bar.prefab	1			6000009		1	丝薇蒂	絲薇蒂	Sylviette	シルヴェッティ	스위티	ซิลเว็ตต์
19	149008	14900850	1	14900850		14900850_demo	Arts/Prefab_lobby/14900850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_dollshouse.prefab		Audio/bgm_live3d_tinyworld	bgm_live3d_tinyworld	-1		1	阿芙萝	阿芙蘿	Aphros	アフロス	아프로	อาฟรอส
20	152008	15200850	1	15200850	2	15200850_demo	Arts/Prefab_lobby/15200850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_consultingroom.prefab		Audio/bgm_universal_sexy	bgm_universal_sexy	-1		1	薇奥拉	薇奧拉	Viola	ヴィオラ	비올라	วิโอลา
21	135008	13500850	1	13500850	2	13500850_demo	Arts/Prefab_lobby/13500802_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_maidcoffee.prefab		Audio/bgm_live3d_xiaoman	bgm_live3d_xiaoman	6000012		1	小曼	小曼	Mandy	マンディー	맨디	แมนดี้
22	135001	13500150	1	13500850	2	13500850_demo	Arts/Prefab_lobby/13500802_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_maidcoffee.prefab		Audio/bgm_live3d_xiaoman	bgm_live3d_xiaoman	6000012		1	小曼	小曼	Mandy	マンディー	맨디	แมนดี้
23	151008	15100850	1	15100850	2		Arts/Prefab_lobby/15100850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bar.prefab		Audio/bgm_live3d_pub	bgm_live3d_pub	-1		1	黛蕾拉	黛蕾拉	Delilah	デリラ	딜라일라	ไดเลล่า
25	133008	13300850	1	13300850	2		Arts/Prefab_lobby/13300850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_spring.prefab		Audio/bgm_live3d_hot_spring	bgm_live3d_hot_spring	-1		1	风物诗	風物詩	Ode to Seasons	風物詩	자연의 시	ลำนำสุขนิรันดร์
26	140008	14000850	1	14000850	2		Arts/Prefab_lobby/14000850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_wedding.prefab		Audio/bgm_live3d_wedding_duoluoxi	bgm_live3d_wedding_duoluoxi	-1		1	多洛茜	多洛茜	Dorothy	ドロシー	도로시	โดโรธี
27	127001	12700101	0	12700101	2		Arts/Prefab_lobby/14000850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_wedding.prefab		Audio/bgm_live3d_wedding_duoluoxi	bgm_live3d_wedding_duoluoxi	-1	6100002	1						
28	127001	12700199	0	12700199	2		Arts/Prefab_lobby/14000850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_wedding.prefab		Audio/bgm_live3d_wedding_duoluoxi	bgm_live3d_wedding_duoluoxi	-1	6100003	1						
29	119008	11900801	0	11900801	2		Arts/Prefab_lobby/14000850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_wedding.prefab		Audio/bgm_live3d_wedding_duoluoxi	bgm_live3d_wedding_duoluoxi	-1	6100004	1						
30	119008	11900899	0	11900899	2		Arts/Prefab_lobby/14000850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_wedding.prefab		Audio/bgm_live3d_wedding_duoluoxi	bgm_live3d_wedding_duoluoxi	-1	6100005	1						
31	157008	15700850	1	15700850	2		Arts/Prefab_lobby/15700850_lobby.prefab			Arts/Prefab_home/Prefab_runtime_item/DeepInteraction_Scene_bar02.prefab		Audio/bgm_live3d_anya_bathroom	bgm_live3d_anya_bathroom	-1		1						
