id	animeId	lecturer	inTime	outTime	fadeIn	fadeOut	status	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	vo_live3d_11100205_idle1		1	4000	0	0	1	嗯~	嗯~	Hmm...	う～ん。	음~	อืมม~
2	vo_live3d_11100205_idle1		4900	6300	100	100	1	店长是~	店長是~	Manager.	店長は～	점장님은~	คุณผู้จัดการเนี่ย~
3	vo_live3d_11100205_idle1		7100	11200	100	100	1	来陪我的吗~？	來陪我的嗎~？	Are you here to keep me company?	私のために来てくれたの～？	절 만나러 오신 건가요~?	จะ​มา​อยู่​เป็นเพื่อน​ฉัน​เหรอ​~?​
4	vo_live3d_11100205_idle1_1		1	3800	0	0	1	嗯~	嗯~	Hmm...	う～ん。	음~	อืมม~
5	vo_live3d_11100205_idle1_1		9900	15200	100	100	1	店长~也来尝一尝嘛~	店長~也來嘗一嘗嘛~	Why don't you try it, Manager?	店長も～味見してみる～？	점장님도~ 맛보실래요~?	คุณ​ผู้จัดการ​~​ ก็​มา​ชิม​ด้วยกัน​สิ​~​
6	vo_live3d_11100205_idle1_2		1	3800	0	100	1	我醉了吗？	我醉了嗎？	Am I tipsy?	私、酔ったのかしら～？	나 취했어요?	นี่​...​ ฉัน​เมา​แล้ว​เหรอ​?​
7	vo_live3d_11100205_idle1_2		5000	7300	100	100	1	不用担心	不用擔心	Don't worry.	でも大丈夫。	괜찮아요.	ไม่ต้องห่วง
8	vo_live3d_11100205_idle1_2		8900	13200	100	100	1	你会一直陪着我的吧~	你會一直陪著我的吧~	You're gonna stay with me forever, right?	だって、貴方がずっとそばにいてくれるでしょ～	당신이 계속 제 곁에 있어 주실 거잖아요~	คุณ​จะ​อยู่​กับ​ฉัน​....​ ตลอดไป​สิ​นะ​~​
9	vo_live3d_11100205_idle1_3		1	1500	0	0	1	哎呀！	哎呀！	Ow!	あら！	어머!	อ๊ะ!
10	vo_live3d_11100205_idle1_3		2800	4300	0	0	1	嗯？	嗯？	Hmm?	うん？	음?	หืมม?
11	vo_live3d_11100205_idle1_3		5000	10200	100	100	1	店长~这是什么呢？	店長~這是什麼呢？	Manager, what is this thing?	店～長～、これはなにかしら～？	점장님~ 이게 뭔가요?	คุณ​ผู้จัดการ​~​ นี่​คือ​อะไร​เหรอ​？​
12	vo_live3d_11100205_idle2		1	3000	0	100	1	嗯？嗯哼~	嗯？嗯哼~	Hmm? Mm-hmm...	ん？うふふっ～	음? 후후~	หืม? อืมม~
13	vo_live3d_11100205_idle2_1		1	1000	0	100	1	嗯？	嗯？	Hmm?	うん？	음?	หืมม?
14	vo_live3d_11100205_idle2_1		2500	6000	100	100	1	今天的奖励~是~店长你吗？	今天的獎勵~是~店長你嗎？	So, is today's prize... you, Manager?	今日のご褒美は～店長なの？	으~음. 오늘 보상은 점장님인가요?	รางวัล​ของ​วันนี้​~​ ก็​คือ​~​ คุณ​ผู้จัดการ​งั้น​เหรอ​?​
15	vo_live3d_11100205_idle2_2		1	5200	0	0	1	胜利后的奖励，果然很舒服。	勝利後的獎勵，果然很舒服。	The victory reward is indeed quite delightful.	勝利の後のご褒美、やっぱり気持ちいいわ。	승리한 후에 받는 보상은 역시 기분 좋네요. 	รางวัล​หลัง​ได้รับ​ชัยชนะ​นี่​มันดี​จริงๆ​
16	vo_live3d_11100205_idle2_2		5700	6300	0	0	1	嗯~	嗯~	Hmm...	う～ん。	음~	อืมม~
17	vo_live3d_11100205_idle2_2		8200	10200	0	0	1	店长~	店長~	Manager~	店長～	점장님~	คุณผู้จัดการ~
18	vo_live3d_11100205_idle2_2		11000	12300	0	0	1	哎呀~	哎呀~	Ow!	あら～	어머~	อ๋า~
19	vo_live3d_11100205_idle2_2		13000	14000	0	0	1	嗯哼。	嗯哼。	Mm-hmm...	ふふっ。	후훗	อืมมม
20	vo_live3d_11100205_idle2_3		1000	4500	0	100	1	店长~也想进来吗？	店長~也想進來嗎？	Manager, you wanna come inside?	店長も～入ってみたい？	점장님도 들어오고 싶다구요? 	คุณ​ผู้จัดการ​~​ ก็​อยาก​เข้ามา​เหรอ​?​
