"w1_p1_m1","E_St_001_007","1","1","C2_S01_23","1","22.70977","-2.437763","0","w1_p1_m1","None","0","None",
"w1_p2_m1","E_St_001_007","1","2","C2_S01_26","1","26.93061","-0.606481","0","w1_p2_m1","RightToLeft","5","None",
"w1_p2_m2","E_St_001_007","1","2","C2_S01_26","1","26.93293","-4.373377","0","w1_p2_m2","RightToLeft","5","None",
"w1_p6_m1","E_St_001_007","1","6","C2_S01_24","1","29.86212","-4.6","0","w1_p6_m1","RightToLeft","8","None",
"w1_p6_m3","E_St_001_007","1","6","C2_S01_24","1","29.30271","-0.3958862","0","w1_p6_m3","RightToLeft","8","None",
"w1_p7_m1","E_St_001_007","1","7","C2_S01_34","1","17.03428","-4.571833","0","w1_p7_m1","None","0","None",
"w1_p7_m2","E_St_001_007","1","7","C2_S01_34","1","18.63556","-4.6","0","w1_p7_m2","None","0","None",
"w1_p8_m1","E_St_001_007","1","8","C2_S01_24","1","10","-4.6","0","w1_p8_m1","LeftToRight","3","None",
"w1_p8_m2","E_St_001_007","1","8","C2_S01_24","1","10.20684","0.1792194","0","w1_p8_m2","LeftToRight","3","None",
"w1_p9_m1","E_St_001_007","1","9","C2_S01_24","1","29.83548","-2.906255","0","w1_p9_m1","RightToLeft","4","None",
"w1_p9_m2","E_St_001_007","1","9","C2_S01_24","1","29.53634","-1.357764","0","w1_p9_m2","RightToLeft","4","None",
"w1_p10_m1","E_St_001_007","1","10","C2_S01_26","1","30","-2.043851","0","w1_p10_m1","RightToLeft","3","None",
"w1_p10_m2","E_St_001_007","1","10","C2_S01_26","1","27.1","-4.6","0","w1_p10_m2","RightToLeft","3","None",
"w1_p10_m3","E_St_001_007","1","10","C2_S01_26","1","30","0.2","0","w1_p10_m3","RightToLeft","3","None",
