"1","1","Wave1_Work1_Front1","CH6_F_C592R_G1","AD_H_P2_002_003_Wave1",
"1","1","Wave1_Work1_Front2","CH6_F_C592R_G1","AD_H_P2_002_003_Wave1",
"1","1","Wave1_Work1_Middle1","CH6_M_C559R_G1","AD_H_P2_002_003_Wave1",
"1","1","Wave1_Work1_Middle2","CH6_M_C559R_G1","AD_H_P2_002_003_Wave1",
"1","1","Wave1_Work1_Back1","CH6_B_C025G_G1","AD_H_P2_002_003_Wave1",
"2","2","Wave2_Work2_Front1","CH6_F_C005_G2","AD_H_P2_002_003_Wave2",
"2","2","Wave2_Work2_Middle1","CH6_M_C589R_G1","AD_H_P2_002_003_Wave2",
"2","2","Wave2_Work2_Middle2","CH6_M_C589R_G1","AD_H_P2_002_003_Wave2",
"2","2","Wave2_Work2_Back1","CH6_B_C594R_G1","AD_H_P2_002_003_Wave2",
"2","2","Wave2_Work2_Back2","CH6_B_C594R_G1","AD_H_P2_002_003_Wave2",
