Id,Picture,,index,Link,Type,Params
1001,ui_zjm_banner_4,等级奖励,1,1100104,1,100104
1002,ui_zjm_banner_5,星海纪闻-雷雷,2,1100101,1,100101
1004,ui_zjm_banner_6,首充,3,1100102,1,100114
1005,ui_zjm_banner_10,无暗灰巢,4,1100107,1,100107
1006,ui_zjm_banner_11,无光呓语,5,1100108,1,100108
1007,ui_zjm_banner_42,成长基金,6,999999,1,999999
1008,ui_zjm_banner_cz_1,连充返利,7,,1,100122
1009,ui_zjm_banner_5_2,星海纪闻-纳菲,8,,1,100119
1010,ui_zjm_banner_39,丰收时刻,9,,1,100120
1011,ui_zjm_banner_5_3,星海纪闻-未来,8,,1,100131
1012,ui_zjm_banner_5_14,星海纪闻-神光,8,,1,100136
1013,ui_zjm_banner_5_5,星海纪闻-大波斯菊,8,,1,100143
1014,ui_zjm_banner_5_17,星海纪闻-桃,8,,1,100145
2001,ui_zjm_banner_3_44,神光UP池,100,10016,2,1001
2002,ui_zjm_banner_3_5,桃UP池,100,10016,2,1002
2003,ui_zjm_banner_3_13,塞蕾丝蒂娜UP池,100,10016,2,1003
2004,ui_zjm_banner_3_15,瑞比亚UP池,100,10016,2,1004
2005,ui_zjm_banner_3_16,昔莱UP池,100,10016,2,1005
2006,ui_zjm_banner_3_24,奈奥米UP池,100,10016,2,1006
2007,ui_zjm_banner_3_19,大波斯菊,100,10016,2,1007
2008,ui_zjm_banner_3_51,爱尔维拉Up,100,,2,1009
2009,ui_zjm_banner_3_31,诺维亚,100,,2,1008
2101,ui_zjm_banner_3_39,小闪UP轮替池,90,10016,2,1900
2102,ui_zjm_banner_3_9,耶坦尼亚UP轮替池,90,10016,2,1901
2103,ui_zjm_banner_3_11,克尔苏娜UP轮替池,90,10016,2,1902
2104,ui_zjm_banner_3_6,伊卡洛斯UP轮替池,90,10016,2,1903
2105,ui_zjm_banner_3_12,安普莎UP轮替池,90,10016,2,1904
2106,ui_zjm_banner_3_20,吉拉蒂亚UP轮替池,90,10016,2,1905
2107,ui_zjm_banner_3_2,牧UP轮替池,90,10016,2,1906
2108,ui_zjm_banner_3_14,雷雷UP轮替池,90,10016,2,1907
2109,ui_zjm_banner_3_18,希夕莉UP轮替池,90,10016,2,1908
2110,ui_zjm_banner_3_1,萨拉UP轮替池,90,10016,2,1909
2111,ui_zjm_banner_3_10,丹妮UP轮替池,90,10016,2,1910
2112,ui_zjm_banner_zw_23,专武-神光UP池,80,,2,210001
2113,ui_zjm_banner_zw_18,专武-桃UP池,80,,2,210002
2114,0,专武-塞蕾丝蒂娜UP池,80,,2,210003
2115,0,专武-瑞比亚UP池,80,,2,210004
2116,ui_zjm_banner_zw_22,专武-昔莱UP池,80,,2,210005
2117,ui_zjm_banner_zw_31,专武-奈奥米UP池,80,,2,210006
2118,ui_zjm_banner_zw_21,专武-异邦波斯菊UP池,80,,2,210007
2119,ui_zjm_banner_zw_24,专武-小闪UP轮替池,70,,2,220001
2120,ui_zjm_banner_zw_19,专武-耶坦尼亚UP轮替池,70,,2,220002
2121,ui_zjm_banner_zw_17,专武-克尔苏娜UP轮替池,70,,2,220003
2122,ui_zjm_banner_zw_20,专武-伊卡洛斯UP轮替池,70,,2,220004
2123,ui_zjm_banner_zw_15,专武-安普莎UP轮替池,70,,2,220005
2124,ui_zjm_banner_zw_16,专武-吉拉蒂亚UP轮替池,70,,2,220006
2125,ui_zjm_banner_zw_26,专武-牧UP轮替池,70,,2,220007
2126,ui_zjm_banner_zw_25,专武-雷雷UP轮替池,70,,2,220008
2127,ui_zjm_banner_zw_27,专武-希夕莉UP轮替池,70,,2,220009
2128,ui_zjm_banner_zw_29,专武-萨拉UP轮替池,70,,2,220010
2129,ui_zjm_banner_zw_28,专武-丹妮UP轮替池,70,,2,220011
2130,ui_zjm_banner_zw_32,专武-爱尔维拉,80,,2,210009
2131,ui_zjm_banner_zw_33,专武-诺维亚,80,,2,210008
