Id,RoleResId,Name,,Type,ItemId,SkinTag,SkinUpgrade,SkinUpgradeTag,ResourcesType,Resources,Resources_Hx,EffectPathFile,SkillShowMini,SkillShow,FilesTitle,FilesStory,CanvasSize,Offset,UnlockDesc,skin_desc,StoryPackage,Open
9002,0,skin_name_9002,圣诞头像框,1,9002,,,,1,HeadFrame/ui_icon_touxiangkuang_1,0,0,,,0,0,,0,skin_unlock_desc_02,skin_desc_9002,,-1
9003,0,skin_name_9003,耀胜帝星,1,9003,,,,3,HeadFrame/ui_headframe_geren_3,0,ui_headframe_geren_3_liuguang,,,0,0,,0,skin_unlock_desc_03,skin_desc_9003,,-1
9004,0,skin_name_9004,物种洗牌,1,9004,,,,3,HeadFrame/ui_headframe_geren_2,0,0,,,0,0,,0,skin_unlock_desc_04,skin_desc_9004,,-1
9005,0,skin_name_9005,传说起始,1,9005,,,,3,HeadFrame/ui_headframe_geren_1,0,0,,,0,0,,0,skin_unlock_desc_05,skin_desc_9005,,-1
9006,0,skin_name_9006,不毁之城,1,9006,,,,3,HeadFrame/ui_headframe_guanqia_3,0,ui_headframe_guanqia_3_liuguang,,,0,0,,0,skin_unlock_desc_06,skin_desc_9006,,-1
9007,0,skin_name_9007,固若金汤,1,9007,,,,3,HeadFrame/ui_headframe_guanqia_2,0,0,,,0,0,,0,skin_unlock_desc_07,skin_desc_9007,,-1
9008,0,skin_name_9008,森严壁垒,1,9008,,,,3,HeadFrame/ui_headframe_guanqia_1,0,0,,,0,0,,0,skin_unlock_desc_08,skin_desc_9008,,-1
9009,0,skin_name_9009,试锻黑铁,1,9009,,,,3,HeadFrame/ui_headframe_duanwei_1,0,0,,,0,0,,0,skin_unlock_desc_09,skin_desc_9009,,-1
9010,0,skin_name_9010,冶铸青铜,1,9010,,,,3,HeadFrame/ui_headframe_duanwei_2,0,0,,,0,0,,0,skin_unlock_desc_10,skin_desc_9010,,-1
9011,0,skin_name_9011,精研白银,1,9011,,,,3,HeadFrame/ui_headframe_duanwei_3,0,0,,,0,0,,0,skin_unlock_desc_11,skin_desc_9011,,-1
9012,0,skin_name_9012,熔炼黄金,1,9012,,,,3,HeadFrame/ui_headframe_duanwei_4,0,0,,,0,0,,0,skin_unlock_desc_12,skin_desc_9012,,"0,2,3,4,5,6,7,8,9,10"
